instance,grid,arcflow_LP,setpart_LP_given,arcflow_integer,pool_MIP_given,GIRO_target,solve_s,status
k02_s1,15kWh/10min,2.181818181818,2.181818182,3,4,2,600.872,fleet_proven_LP_plus_integral_witness;cost_limit
k02_s2,15kWh/10min,2.187500000000,2.187500000,3,4,2,113.485,fleet_proven;fixed_fleet_cost_optimal;agrees_corrected_branch_and_price
k02_s3,15kWh/10min,2.274725274725,2.274725275,3,7,2,602.081,fleet_proven_LP_plus_integral_witness;cost_limit
k03_s1,15kWh/10min,3.181818181818,3.181818182,4,5,3,601.464,fleet_proven_LP_plus_integral_witness;cost_limit
k03_s2,15kWh/10min,3.404697986577,3.404697987,4,10,3,603.405,fleet_proven_LP_plus_integral_witness;cost_limit
k03_s3,15kWh/10min,3.000000000000,3.000000000,3,4,3,167.766,fleet_proven;fixed_fleet_cost_optimal
k05_s1,15kWh/10min,5.323651452282,5.323651452,,11,5,601.342,integer_limit_no_incumbent;true_fleet_6_to_11
k05_s2,15kWh/10min,5.000000000000,5.000000000,5,6,5,601.344,fleet_proven_LP_plus_integral_witness;cost_limit
k05_s3,15kWh/10min,5.000000000000,5.000000000,,,5,601.457,integer_limit_no_incumbent;true_fleet_at_least_5
k02_s1,1kWh/5min,,2.000000000,,,2,607.265,G1_G2_pass;G3_LP_limit;stopped_per_gate_order
k02_s2,1kWh/5min,,2.000000000,,2,2,,not_run_after_fine_grid_G3_stop
k02_s3,1kWh/5min,,2.000000000,,2,2,,not_run_after_fine_grid_G3_stop
k03_s1,1kWh/5min,,,,,3,,not_run_after_fine_grid_G3_stop
k03_s2,1kWh/5min,,,,,3,,not_run_after_fine_grid_G3_stop
k03_s3,1kWh/5min,,,,,3,,not_run_after_fine_grid_G3_stop
k05_s1,1kWh/5min,,,,,5,,not_run_after_fine_grid_G3_stop
k05_s2,1kWh/5min,,,,,5,,not_run_after_fine_grid_G3_stop
k05_s3,1kWh/5min,,,,,5,,not_run_after_fine_grid_G3_stop
