scale_family,scale,availability,artifact_count,target_reached_in_lp,zero_artificials,pricing_certified,exact_integer_partition_found,finite_pool_fleet_proven,source_artifacts,notes
single,single duties,not available,0,,,,,,,No verified supplied artifact.
pair,pairs,not available,0,,,,,,,No verified supplied artifact.
union,3,not available,0,,,,,,,No verified supplied artifact.
union,5,not available,0,,,,,,,No verified supplied artifact.
union,8,not available,0,,,,,,,No verified supplied artifact.
union,13,not available,0,,,,,,,No verified supplied artifact.
union,15,not available,0,,,,,,,No verified supplied artifact.
union,20,not available,0,,,,,,,No verified supplied artifact.
union,30,not available,0,,,,,,,No verified supplied artifact.
union,40,not available,0,,,,,,,No verified supplied artifact.
