cell_id,duty_id,soc_step,block_min,failed_local_from_trip,failed_local_to_trip,failed_ordered_from_trip,failed_ordered_to_trip,position,option_kind,station,predecessor_level,predecessor_soc_kwh,trip_energy_kwh,soc_after_trip_kwh,trip_to_station_arc_type,station_to_successor_arc_type,direct_arc_type,station_arrival_min,arrival_min,station_arrival_soc_before_floor_kwh,station_entry_level,station_entry_soc_kwh,first_charging_block,last_charging_block,last_possible_charging_block,usable_blocks,usable_minutes,delayed_charging,charge_gain_before_floor_kwh,charge_gain_after_floor_kwh,cumulative_grid_charge_gain_kwh,battery_cap_kwh,departure_min,deadline_min,outgoing_deadhead_min,outgoing_deadhead_kwh,resulting_soc_before_floor_kwh,resulting_soc_level,resulting_soc_kwh,successor_energy_kwh,reserve_kwh,accepted,predicates_json,failed_predicates_json
k05_s1,13411,15.0,10,46,53,106,119,7,direct,,4,60.0,41.7299995,18.270000500000002,,,trip_trip,,889.0,,,,,,,,,,,,,,,896.0,0.0,0.0,18.270000500000002,1,15.0,42.5,0.0,False,"{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false}","[""successor_energy_and_reserve_satisfied""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,2190L_0,4,60.0,41.7299995,18.270000500000002,trip_station,station_trip,,911.0,,-19.3299995,-1,,92,,86,0,0,,,,,,,896.0,22.0,37.6,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":false,""station_entry_level_valid"":false,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block"",""station_arrival_soc_meets_reserve"",""station_entry_level_valid""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,3127L_0,4,60.0,41.7299995,18.270000500000002,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,4808_0,4,60.0,41.7299995,18.270000500000002,trip_station,station_trip,,889.0,,18.270000500000002,1,15.0,89,,88,0,0,,,,,,,896.0,0.0,0.0,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":true,""station_entry_level_valid"":true,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,7880C_0,4,60.0,41.7299995,18.270000500000002,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,JON_A_0,4,60.0,41.7299995,18.270000500000002,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,15.0,10,46,53,106,119,7,station,PARX_1,4,60.0,41.7299995,18.270000500000002,trip_station,station_trip,,896.0,,10.470000500000001,0,0.0,90,,87,0,0,,,,,,,896.0,7.0,7.8,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":true,""station_entry_level_valid"":true,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block""]"
k05_s1,13411,5.0,10,46,53,106,119,7,direct,,15,75.0,41.7299995,33.2700005,,,trip_trip,,889.0,,,,,,,,,,,,,,,896.0,0.0,0.0,33.2700005,6,30.0,42.5,0.0,False,"{""deadline_satisfied"":true,""direct_arc_exists"":true,""resulting_level_valid"":true,""resulting_soc_meets_reserve"":true,""successor_energy_and_reserve_satisfied"":false}","[""successor_energy_and_reserve_satisfied""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,2190L_0,15,75.0,41.7299995,33.2700005,trip_station,station_trip,,911.0,,-4.3299995,-1,,92,,86,0,0,,,,,,,896.0,22.0,37.6,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":false,""station_entry_level_valid"":false,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block"",""station_arrival_soc_meets_reserve"",""station_entry_level_valid""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,3127L_0,15,75.0,41.7299995,33.2700005,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,4808_0,15,75.0,41.7299995,33.2700005,trip_station,station_trip,,889.0,,33.2700005,6,30.0,89,,88,0,0,,,,,,,896.0,0.0,0.0,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":true,""station_entry_level_valid"":true,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,7880C_0,15,75.0,41.7299995,33.2700005,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,JON_A_0,15,75.0,41.7299995,33.2700005,,,,,,,,,,,,,,,,,,,,896.0,,,,,,42.5,,False,"{""station_to_successor_arc_exists"":false,""trip_to_station_arc_exists"":false}","[""station_to_successor_arc_exists"",""trip_to_station_arc_exists""]"
k05_s1,13411,5.0,10,46,53,106,119,7,station,PARX_1,15,75.0,41.7299995,33.2700005,trip_station,station_trip,,896.0,,25.4700005,5,25.0,90,,87,0,0,,,,,,,896.0,7.0,7.8,,,,42.5,0.0,False,"{""charging_window_has_usable_block"":false,""station_arrival_soc_meets_reserve"":true,""station_entry_level_valid"":true,""station_to_successor_arc_exists"":true,""trip_to_station_arc_exists"":true}","[""charging_window_has_usable_block""]"
