elapsed_s,iteration,lp_obj,route_weight,artificials,min_rc,pool_columns
42.00,1,2900000.000000,29.000000000,0.000000,-1499888.664000,29
42.28,2,1400111.336000,14.000000000,0.000000,-1199955.816000,59
42.48,3,200155.520000,2.000000000,0.000000,-68.608000,89
42.71,4,200155.520000,2.000000000,0.000000,-91.504000,119
43.01,5,200155.520000,2.000000000,0.000000,-100083.236000,149
43.21,6,200155.520000,2.000000000,0.000000,-77.904000,172
43.33,7,200155.520000,2.000000000,0.000000,-75113.872000,194
43.53,8,200155.520000,2.000000000,0.000000,-91.369333,197
43.71,9,200155.520000,2.000000000,0.000000,-84.640000,214
43.94,10,200155.520000,2.000000000,0.000000,-100043.728000,232
44.16,11,200155.520000,2.000000000,0.000000,-60.832000,262
44.35,12,200155.520000,2.000000000,0.000000,-93.131200,290
44.55,13,200155.520000,2.000000000,0.000000,-91.048000,315
44.78,14,200155.520000,2.000000000,0.000000,-79.472000,327
45.00,15,200155.520000,2.000000000,0.000000,-117.416000,352
45.24,16,200155.520000,2.000000000,0.000000,-68.720000,368
45.50,17,200155.520000,2.000000000,0.000000,-75.873667,398
45.74,18,200155.520000,2.000000000,0.000000,-73.860800,428
45.96,19,200155.520000,2.000000000,0.000000,-85.590222,454
46.15,20,200155.520000,2.000000000,0.000000,-51.222154,478
46.31,21,200155.520000,2.000000000,0.000000,-83.800000,508
46.50,22,200155.520000,2.000000000,0.000000,-69.154301,517
46.74,23,200155.520000,2.000000000,0.000000,-53.110150,529
46.86,24,200155.520000,2.000000000,0.000000,-63.330000,559
47.08,25,200155.520000,2.000000000,0.000000,-69.006588,562
47.25,26,200155.520000,2.000000000,0.000000,-55.442554,592
47.41,27,200155.520000,2.000000000,0.000000,-46.217889,622
47.61,28,200155.520000,2.000000000,0.000000,-46.498000,631
47.86,29,200155.520000,2.000000000,0.000000,-42.458444,661
48.13,30,200155.520000,2.000000000,0.000000,-70.456061,687
48.30,31,200155.520000,2.000000000,0.000000,-54.625640,714
48.49,32,200155.520000,2.000000000,0.000000,-40.171449,744
48.78,33,200155.520000,2.000000000,0.000000,-87016.395309,774
49.02,34,200155.520000,2.000000000,0.000000,-43.136665,790
49.23,35,200155.520000,2.000000000,0.000000,-41.220522,816
49.41,36,200155.520000,2.000000000,0.000000,-53.561920,844
49.61,37,200155.520000,2.000000000,0.000000,-58.796589,874
49.78,38,200155.520000,2.000000000,0.000000,-29.355076,886
49.97,39,200155.520000,2.000000000,0.000000,-34.855698,916
50.16,40,200155.520000,2.000000000,0.000000,-50.204222,933
50.35,41,200155.520000,2.000000000,0.000000,-51.096545,963
50.56,42,200155.520000,2.000000000,0.000000,-38.951689,992
50.72,43,200155.520000,2.000000000,0.000000,-40.541076,1011
50.84,44,200155.520000,2.000000000,0.000000,-60.658559,1024
51.02,45,200155.520000,2.000000000,0.000000,-54.591647,1028
51.26,46,200155.520000,2.000000000,0.000000,-56.838545,1049
51.45,47,200155.520000,2.000000000,0.000000,-39.558796,1070
51.69,48,200155.520000,2.000000000,0.000000,-47.248960,1090
51.85,49,200155.520000,2.000000000,0.000000,-24.127831,1119
51.97,50,200155.520000,2.000000000,0.000000,-33.076566,1135
52.13,51,200155.520000,2.000000000,0.000000,-33.310170,1139
52.28,52,200155.520000,2.000000000,0.000000,-23.953279,1157
52.44,53,200155.520000,2.000000000,0.000000,-30.258706,1168
52.61,54,200155.520000,2.000000000,0.000000,-31.970667,1197
52.73,55,200155.520000,2.000000000,0.000000,-16.736778,1217
52.89,56,200155.520000,2.000000000,0.000000,-20.490233,1225
53.04,57,200155.520000,2.000000000,0.000000,-19.308000,1239
53.23,58,200155.520000,2.000000000,0.000000,-30.688100,1256
53.37,59,200155.520000,2.000000000,0.000000,-26.727868,1277
53.52,60,200155.520000,2.000000000,0.000000,-21.651733,1289
53.71,61,200155.520000,2.000000000,0.000000,-36.666988,1302
53.84,62,200155.520000,2.000000000,0.000000,-17.762034,1317
53.97,63,200155.520000,2.000000000,0.000000,-19.526677,1328
54.13,64,200155.520000,2.000000000,0.000000,-20.065143,1337
54.27,65,200155.520000,2.000000000,0.000000,-21.892706,1350
54.41,66,200155.520000,2.000000000,0.000000,-14.588549,1363
54.58,67,200155.520000,2.000000000,0.000000,-21.795130,1370
54.71,68,200155.520000,2.000000000,0.000000,-20.868078,1387
54.84,69,200155.520000,2.000000000,0.000000,-14.998380,1401
54.97,70,200155.520000,2.000000000,0.000000,-12.363636,1411
55.09,71,200155.520000,2.000000000,0.000000,-17.485286,1420
55.27,72,200155.520000,2.000000000,0.000000,-28.259649,1422
55.40,73,200155.520000,2.000000000,0.000000,-16.616000,1434
55.52,74,200155.520000,2.000000000,0.000000,-12.601905,1438
55.65,75,200155.520000,2.000000000,0.000000,-17.711795,1441
55.77,76,200155.520000,2.000000000,0.000000,-12.434667,1451
55.90,77,200155.520000,2.000000000,0.000000,-15.168000,1457
56.04,78,200155.520000,2.000000000,0.000000,-16.940114,1464
56.17,79,200155.520000,2.000000000,0.000000,-18.174261,1472
56.30,80,200155.520000,2.000000000,0.000000,-14.829778,1479
56.42,81,200155.520000,2.000000000,0.000000,-11.109000,1482
56.53,82,200155.520000,2.000000000,0.000000,-10.402000,1484
56.67,83,200145.848000,2.000000000,0.000000,-12.337600,1487
56.81,84,200145.848000,2.000000000,0.000000,-13.232000,1498
56.94,85,200145.848000,2.000000000,0.000000,-12.402400,1510
57.07,86,200145.848000,2.000000000,0.000000,-8.781600,1520
57.20,87,200145.848000,2.000000000,0.000000,-9.142545,1529
57.33,88,200145.848000,2.000000000,0.000000,-10.406400,1538
57.44,89,200145.848000,2.000000000,0.000000,-5.992000,1549
57.55,90,200145.848000,2.000000000,0.000000,-4.752000,1553
57.65,91,200145.848000,2.000000000,0.000000,-4.920842,1557
57.76,92,200145.848000,2.000000000,0.000000,-6.096889,1561
57.89,93,200145.848000,2.000000000,0.000000,-10.412267,1566
58.04,94,200145.848000,2.000000000,0.000000,-12.718400,1572
58.15,95,200145.848000,2.000000000,0.000000,-4.112000,1583
58.26,96,200145.848000,2.000000000,0.000000,-5.238000,1588
58.37,97,200145.848000,2.000000000,0.000000,-4.712000,1593
58.47,98,200145.848000,2.000000000,0.000000,-3.432000,1599
58.58,99,200145.848000,2.000000000,0.000000,-4.433444,1603
58.69,100,200145.848000,2.000000000,0.000000,-3.078000,1608
58.80,101,200145.848000,2.000000000,0.000000,-4.792000,1609
58.90,102,200145.848000,2.000000000,0.000000,-2.064000,1611
59.00,103,200145.848000,2.000000000,0.000000,-0.744000,1614
59.11,104,200145.848000,2.000000000,0.000000,-1.816000,1617
59.22,105,200145.848000,2.000000000,0.000000,-5.413333,1625
59.33,106,200145.848000,2.000000000,0.000000,-4.226286,1630
59.43,107,200145.848000,2.000000000,0.000000,-2.312000,1634
59.71,108,200145.848000,2.000000000,0.000000,-33284.477333,1638
59.83,109,200145.848000,2.000000000,0.000000,-4.506000,1668
59.93,110,200145.848000,2.000000000,0.000000,-1.900000,1673
60.11,111,200145.848000,2.000000000,0.000000,-103.004000,1675
60.21,112,200145.848000,2.000000000,0.000000,-1.528000,1683
60.32,113,200145.848000,2.000000000,0.000000,-0.496000,1684
60.42,114,200145.600000,2.000000000,0.000000,-0.496000,1686
60.52,115,200145.600000,2.000000000,0.000000,-0.496000,1688
60.62,116,200145.600000,2.000000000,0.000000,-0.248000,1689
60.72,117,200145.352000,2.000000000,0.000000,-0.000000,1689
