elapsed_s,iteration,lp_obj,route_weight,artificials,min_rc,pool_columns
491.95,1,10100000.000000,101.000000000,0.000000,-3899901.680000,101
492.63,2,6200098.320000,62.000000000,0.000000,-2999886.224000,131
493.59,3,3300215.112000,33.000000000,0.000000,-1299950.112000,161
494.39,4,2200251.816000,22.000000000,0.000000,-1400009.416000,191
495.50,5,2200248.196800,22.000000000,0.000000,-1999932.672000,221
496.10,6,2200248.196800,22.000000000,0.000000,-2199987.163200,251
497.07,7,2106924.009067,21.066666667,0.000000,-2739988.342400,281
497.95,8,1840269.640000,18.400000000,0.000000,-2360057.204000,311
498.66,9,1735267.009600,17.350000000,0.000000,-2299985.200000,341
499.30,10,1520265.058800,15.200000000,0.000000,-1379928.395200,371
499.84,11,1506517.118500,15.062500000,0.000000,-1843745.629500,401
500.42,12,1481349.403784,14.810810811,0.000000,-1899980.492000,431
500.83,13,1481349.403784,14.810810811,0.000000,-2075644.740865,461
501.36,14,1451211.163774,14.509433962,0.000000,-1599989.872000,491
502.21,15,1396566.221580,13.962962963,0.000000,-1855519.073630,521
502.89,16,1381947.986779,13.816793893,0.000000,-2012160.783481,551
503.48,17,1312275.049787,13.120000000,0.000000,-1967977.619680,581
504.40,18,1277532.339511,12.772558714,0.000000,-1734142.638734,611
505.21,19,1252314.533638,12.520389481,0.000000,-2061221.010202,641
505.72,20,1225493.312267,12.252208047,0.000000,-1750857.454519,671
506.59,21,1210786.708129,12.105166052,0.000000,-1846153.062531,701
507.37,22,1195401.116460,11.951318458,0.000000,-1994795.750737,731
508.30,23,1177172.370285,11.769024541,0.000000,-2033089.747686,761
509.08,24,1166768.696397,11.664988381,0.000000,-1660062.946758,791
509.85,25,1148929.631869,11.486611246,0.000000,-1858057.139518,821
510.74,26,1137963.250792,11.376940849,0.000000,-1920124.382192,851
511.69,27,1127528.330119,11.272591006,0.000000,-1724120.000083,881
512.53,28,1119443.115486,11.191735608,0.000000,-1581321.767644,911
513.04,29,1115583.853328,11.153143403,0.000000,-1684057.030545,941
513.84,30,1104081.418246,11.038116019,0.000000,-1969487.802720,971
