instance,soc_step_kwh,event_uniform_containment_min,certified_lp,certified,dag_nodes,dag_arcs,iterations,wall_s,stop_reason,producer_commit
k02_s1,15.0,5,2.1052631578947367,True,725,153611,227,21.93311643600464,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s2,15.0,5,2.0,True,408,58860,110,4.694871187210083,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s3,15.0,5,2.1228070175438596,True,874,227925,320,43.16360855102539,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s1,10.0,5,1.9999999999999993,True,1074,346024,304,43.8652069568634,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s2,10.0,5,2.090909090909091,True,582,121564,88,6.517146825790405,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s3,10.0,5,2.081081081081081,True,1284,501412,290,53.4878876209259,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s1,2.5,5,2.0,True,4233,5353758,523,386.82270765304565,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s2,2.5,5,2.0,True,2322,1920614,117,62.3577196598053,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s3,2.5,5,2.0,True,5077,7810190,673,803.7566587924957,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s1,1.0,5,2.0,True,10524,33282366,393,1780.74805021286,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
k02_s2,1.0,5,2.0,True,5758,11803031,114,352.3521001338959,certified,92dd6c1d46d49de304f80e69e3a3fc955a8db462
