cell,duty,tariff,grid_cost,continuous_cost,saving_%,charge_events,delayed_starts,peak_kW,charger_concurrency_max,terminal_SOC_policy,replay_ok
k02_s1,13310,flat,,100040.168153150,,4,0,240.0,1,>= reserve,true
k02_s1,13310,peak12,,100054.535302972,,4,0,240.0,1,>= reserve,true
k02_s1,13316m,flat,,100033.287916578,,3,1,240.0,1,>= reserve,true
k02_s1,13316m,peak12,,100045.991234759,,3,0,240.0,1,>= reserve,true
k02_s2,13406,flat,,100051.228831653,,3,1,240.0,1,>= reserve,true
k02_s2,13406,peak12,,100073.197206407,,4,2,240.0,1,>= reserve,true
k02_s2,13413,flat,,100092.448671653,,10,1,240.0,1,>= reserve,true
k02_s2,13413,peak12,,100095.645784275,,10,1,240.0,1,>= reserve,true
k02_s3,13305,flat,,100043.685289277,,4,0,240.0,1,>= reserve,true
k02_s3,13305,peak12,,100057.607985026,,4,1,240.0,1,>= reserve,true
k02_s3,13322,flat,,100044.755977382,,5,0,240.0,1,>= reserve,true
k02_s3,13322,peak12,,100060.376460202,,5,1,240.0,1,>= reserve,true
k03_s1,13310,flat,,100040.168153150,,4,0,240.0,1,>= reserve,true
k03_s1,13310,peak12,,100054.535302972,,4,0,240.0,1,>= reserve,true
k03_s1,13316m,flat,,100033.287916578,,3,1,240.0,1,>= reserve,true
k03_s1,13316m,peak12,,100045.991234759,,3,0,240.0,1,>= reserve,true
k03_s1,13406,flat,,100051.228831653,,3,1,240.0,1,>= reserve,true
k03_s1,13406,peak12,,100073.197206407,,4,2,240.0,1,>= reserve,true
k03_s2,13305,flat,,100043.685289277,,4,0,240.0,1,>= reserve,true
k03_s2,13305,peak12,,100057.607985026,,4,1,240.0,1,>= reserve,true
k03_s2,13322,flat,,100044.755977382,,5,0,240.0,1,>= reserve,true
k03_s2,13322,peak12,,100060.376460202,,5,1,240.0,1,>= reserve,true
k03_s2,13413,flat,,100092.448671653,,10,1,240.0,1,>= reserve,true
k03_s2,13413,peak12,,100095.645784275,,10,1,240.0,1,>= reserve,true
k03_s3,13319,flat,,100051.769318038,,5,1,240.0,1,>= reserve,true
k03_s3,13319,peak12,,100043.904512491,,5,1,240.0,1,>= reserve,true
k03_s3,13323,flat,100008.968000000,100000.000000000,0.008967196,0,0,0.0,0,>= reserve,true
k03_s3,13323,peak12,100011.781616633,100000.000000000,0.011780229,0,0,0.0,0,>= reserve,true
k03_s3,13414,flat,,100047.873215702,,4,1,240.0,1,>= reserve,true
k03_s3,13414,peak12,,100062.135543363,,6,1,240.0,1,>= reserve,true
k05_s1,13302,flat,,100111.160293473,,11,0,240.0,1,>= reserve,true
k05_s1,13302,peak12,,100118.354847903,,13,0,240.0,1,>= reserve,true
k05_s1,13408,flat,,100035.737439752,,2,0,240.0,1,>= reserve,true
k05_s1,13408,peak12,,100059.692432982,,5,1,240.0,1,>= reserve,true
k05_s1,13410,flat,,100077.372287603,,7,1,240.0,1,>= reserve,true
k05_s1,13410,peak12,,100078.096863800,,7,2,240.0,1,>= reserve,true
k05_s1,13411,flat,,100091.228831653,,11,0,240.0,1,>= reserve,true
k05_s1,13411,peak12,,100111.125192852,,12,0,240.0,1,>= reserve,true
k05_s1,13412,flat,,100062.372287603,,4,2,240.0,1,>= reserve,true
k05_s1,13412,peak12,,100068.327338085,,5,1,240.0,1,>= reserve,true
k05_s2,13307,flat,100020.872000000,100011.282633334,0.009587366,1,0,240.0,1,>= reserve,true
k05_s2,13307,peak12,100028.529779695,100012.890140729,0.015635178,1,0,240.0,1,>= reserve,true
k05_s2,13315,flat,,100045.263583966,,5,0,240.0,1,>= reserve,true
k05_s2,13315,peak12,,100063.614512668,,5,0,240.0,1,>= reserve,true
k05_s2,13326,flat,,100027.747475064,,2,0,240.0,1,>= reserve,true
k05_s2,13326,peak12,,100047.118295139,,2,0,240.0,1,>= reserve,true
k05_s2,13402,flat,,100095.804287603,,9,0,240.0,1,>= reserve,true
k05_s2,13402,peak12,,100095.925961270,,10,1,240.0,1,>= reserve,true
k05_s2,13407,flat,,100080.727903554,,6,2,240.0,1,>= reserve,true
k05_s2,13407,peak12,,100095.421756816,,8,2,240.0,1,>= reserve,true
k05_s3,13304,flat,,100061.624937264,,5,1,240.0,1,>= reserve,true
k05_s3,13304,peak12,,100062.838812662,,5,0,240.0,1,>= reserve,true
k05_s3,13305,flat,,100043.685289277,,4,0,240.0,1,>= reserve,true
k05_s3,13305,peak12,,100057.607985026,,4,1,240.0,1,>= reserve,true
k05_s3,13308,flat,,100055.629564443,,4,1,240.0,1,>= reserve,true
k05_s3,13308,peak12,,100059.960907243,,5,0,240.0,1,>= reserve,true
k05_s3,13413,flat,,100092.448671653,,10,1,240.0,1,>= reserve,true
k05_s3,13413,peak12,,100095.645784275,,10,1,240.0,1,>= reserve,true
k05_s3,13414,flat,,100047.873215702,,4,1,240.0,1,>= reserve,true
k05_s3,13414,peak12,,100062.135543363,,6,1,240.0,1,>= reserve,true
