duty,event_cap_N,source
13302,13,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13408,9,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13410,13,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13411,13,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13412,12,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13307,3,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13315,6,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13326,3,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13402,15,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13407,16,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13304,9,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13305,8,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13308,6,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13413,14,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
13414,9,data/tariff_response/giro40_duty_manifest.csv recorded_charge_count
