demand_classification,timeline_scope,tariff,terminal_policy,arm,hour,fixed_matched_duties,charged_kwh,average_load_kW,global_concurrency_max,peak_kW,max_same_station_concurrency,station_concurrency_max_json
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,0,30,0.0,0.0,0,0.0,0,"{""2190L_0"":0,""3127L_0"":0,""4808_0"":0,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,1,30,0.0,0.0,0,0.0,0,"{""2190L_0"":0,""3127L_0"":0,""4808_0"":0,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,2,30,0.0,0.0,0,0.0,0,"{""2190L_0"":0,""3127L_0"":0,""4808_0"":0,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,3,30,0.0,0.0,0,0.0,0,"{""2190L_0"":0,""3127L_0"":0,""4808_0"":0,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,4,30,0.0,0.0,0,0.0,0,"{""2190L_0"":0,""3127L_0"":0,""4808_0"":0,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,5,30,134.3,134.3,2,480.0,1,"{""2190L_0"":1,""3127L_0"":1,""4808_0"":1,""7880C_0"":0,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,6,30,240.2299995,240.2299995,3,720.0,1,"{""2190L_0"":1,""3127L_0"":1,""4808_0"":1,""7880C_0"":1,""JON_A_0"":0,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,7,30,342.099995,342.099995,2,480.0,2,"{""2190L_0"":2,""3127L_0"":1,""4808_0"":0,""7880C_0"":1,""JON_A_0"":1,""PARX_1"":0}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,8,30,509.15499467999996,509.15499467999996,4,960.0,2,"{""2190L_0"":1,""3127L_0"":2,""4808_0"":1,""7880C_0"":1,""JON_A_0"":1,""PARX_1"":1}"
unconstrained_charger_demand_not_capacity_feasible,shared_service_day_fixed_common_duty_set,flat,>= reserve,uncapped_arrival,9,30,593.7669919599999,593.7669919599999,4,960.0,2,"{""2190L_0"":1,""3127L_0"":2,""4808_0"":1,""7880C_0"":1,""JON_A_0"":1,""PARX_1"":0}"
