duty,trip_count,tariff,terminal_policy,event_cap_N,matched_feasible,infeasible_under_cap,uncapped_arrival_feasible,uncapped_arrival_reason,uncapped_arrival_charging_cost,uncapped_arrival_charge_events,uncapped_arrival_charge_starts,uncapped_arrival_peak_kW,uncapped_arrival_charger_concurrency_max,uncapped_arrival_total_kwh,uncapped_arrival_terminal_soc_kwh,uncapped_arrival_replay_ok,uncapped_optimized_feasible,uncapped_optimized_reason,uncapped_optimized_charging_cost,uncapped_optimized_charge_events,uncapped_optimized_charge_starts,uncapped_optimized_peak_kW,uncapped_optimized_charger_concurrency_max,uncapped_optimized_total_kwh,uncapped_optimized_terminal_soc_kwh,uncapped_optimized_replay_ok,capped_arrival_feasible,capped_arrival_reason,capped_arrival_charging_cost,capped_arrival_charge_events,capped_arrival_charge_starts,capped_arrival_peak_kW,capped_arrival_charger_concurrency_max,capped_arrival_total_kwh,capped_arrival_terminal_soc_kwh,capped_arrival_replay_ok,capped_optimized_feasible,capped_optimized_reason,capped_optimized_charging_cost,capped_optimized_charge_events,capped_optimized_charge_starts,capped_optimized_peak_kW,capped_optimized_charger_concurrency_max,capped_optimized_total_kwh,capped_optimized_terminal_soc_kwh,capped_optimized_replay_ok,uncapped_timing_value,uncapped_timing_pct,capped_timing_value,capped_timing_pct,cap_cost,cap_cost_pct_of_uncapped_arrival
13301,36,peak12,>= reserve,7,True,False,True,,27.888245191969865,10,10,240.0,1,414.05899786,0.0,True,True,,27.888245191969865,10,10,240.0,1,414.05899786,0.0,True,True,,30.347118930937647,7,7,240.0,1,410.33499785999965,0.0,True,True,,30.347118930937693,7,7,240.0,1,410.33499786,0.0,True,0.0,0.0,-4.618527782440651e-14,-1.521899918391347e-13,2.4588737389677817,8.816882245698949
13302,50,peak12,>= reserve,13,True,False,True,,49.48989835472937,19,19,240.0,1,566.13199066,6.750155989720952e-14,True,True,,49.48989835472937,19,19,240.0,1,566.13199066,3.907985046680551e-14,True,True,,53.35484790311484,13,13,240.0,1,566.13199066,2.4868995751603507e-14,True,True,,53.35484790311484,13,13,240.0,1,566.13199066,2.4868995751603507e-14,True,0.0,0.0,0.0,0.0,3.864949548385468,7.809572613551598
13303,54,peak12,>= reserve,10,False,True,True,,66.2089066322425,16,16,240.0,1,509.71899570000005,4.085620730620576e-14,True,True,,66.2089066322425,16,16,240.0,1,509.71899570000005,4.085620730620576e-14,True,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,,,,,,
13304,37,peak12,>= reserve,9,True,False,True,,22.486475810465382,15,15,240.0,1,371.20299661999996,3.552713678800501e-15,True,True,,22.477766881987172,15,15,240.0,1,371.20299661999996,2.6645352591003757e-14,True,True,,25.966761657461383,9,9,240.0,1,369.20299662,1.7763568394002505e-15,True,True,,25.966761657461383,9,9,240.0,1,369.20299661999996,0.0,True,0.008708928478210254,0.03872962820682221,0.0,0.0,3.4802858469960007,15.477240081241403
13305,30,peak12,>= reserve,8,True,False,True,,27.700004147522645,7,7,240.0,1,238.76299673999998,1.865174681370263e-14,True,True,,27.70000414752273,7,7,240.0,1,238.7629967400004,4.1655567883935873e-13,True,True,,27.700004147522645,7,7,240.0,1,238.76299673999998,1.865174681370263e-14,True,True,,27.70000414752256,7,7,240.0,1,238.76299673999958,0.0,True,-8.526512829121202e-14,-3.0781630153235095e-13,8.526512829121202e-14,3.0781630153235095e-13,0.0,0.0
13306,30,peak12,>= reserve,7,True,False,True,,43.296621320322394,8,8,240.0,1,257.03799598,0.0,True,True,,42.899072549670336,8,8,240.0,1,257.03799598,0.0,True,True,,44.09846757758329,7,7,240.0,1,257.03799598,0.0,True,True,,43.70091880693126,7,7,240.0,1,257.0379959800001,7.283063041541027e-14,True,0.3975487706520582,0.9181981377042424,0.39754877065202976,0.9015024614009873,0.8018462572608982,1.8519834407599163
13307,15,peak12,>= reserve,3,True,False,True,,4.734673286484484,3,3,240.0,1,63.332997320000004,1.7763568394002505e-15,True,True,,4.734673286484472,3,3,240.0,1,63.33299731999986,0.0,True,True,,4.734673286484484,3,3,240.0,1,63.332997320000004,1.7763568394002505e-15,True,True,,4.734673286484484,3,3,240.0,1,63.332997320000004,1.7763568394002505e-15,True,1.2434497875801753e-14,2.6262631280804643e-13,0.0,0.0,0.0,0.0
13308,31,peak12,>= reserve,6,True,False,True,,26.16298639972591,9,9,240.0,1,359.16899639999997,0.0,True,True,,25.53328409487035,11,11,240.0,1,359.16899639999997,0.0,True,True,,31.375771854985768,6,6,240.0,1,359.16899639999997,1.7763568394002505e-14,True,True,,31.371616299488245,6,6,240.0,1,359.16899639999997,1.7763568394002505e-14,True,0.6297023048555594,2.4068441394066404,0.004155555497522556,0.013244472571794971,5.2127854552598585,19.924275369857888
13309,22,peak12,>= reserve,4,True,False,True,,23.3640974438444,6,6,240.0,1,225.24199689999995,3.552713678800501e-15,True,True,,22.718080691534816,6,6,240.0,1,225.2419969,3.907985046680551e-14,True,True,,26.80214918495049,4,4,240.0,1,222.2419968999998,0.0,True,True,,26.322570479180712,4,4,240.0,1,225.44199689998234,0.0,True,0.6460167523095848,2.764997680147011,0.4795787057697787,1.7893292902013394,3.43805174110609,14.715106155371275
13310,24,peak12,>= reserve,5,True,False,True,,31.793902754797287,7,7,240.0,1,203.30799546,0.0,True,True,,31.125697540413206,7,7,240.0,1,203.30799546,0.0,True,True,,33.04334428378028,5,5,240.0,1,203.30799546000006,5.861977570020827e-14,True,True,,33.043344283780264,5,5,240.0,1,203.30799546,0.0,True,0.6682052143840806,2.101677228924836,1.4210854715202004e-14,4.300670838023369e-14,1.2494415289829917,3.929814903879541
