tariff,terminal_policy,arm,matched_feasible_duties,station,start_min,end_min,active_buses,load_kW
peak12,>= reserve,uncapped_arrival,39,2190L_0,321.0,326.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,341.0,353.575,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,361.0,368.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,376.0,387.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,387.0,398.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,398.0,398.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,398.057499875,408.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,408.0,418.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,418.0,419.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,419.0,419.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,419.057499875,429.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,430.0,440.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,440.0,451.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,451.0,459.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,459.0,460.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,460.0,461.632499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,461.632499875,469.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,469.0,480.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,481.0,491.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,491.0,494.05749987499996,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,494.05749987499996,501.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,501.0,509.632499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,509.632499875,511.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,511.0,520.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,520.0,522.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,522.0,530.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,530.0,532.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,532.0,537.632499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,537.632499875,543.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,543.0,546.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,546.057499875,549.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,554.0,560.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,564.0,570.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,573.0,582.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,582.0,584.287499375,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,584.287499375,590.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,592.0,600.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,602.0,607.8049995,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,611.0,620.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,621.0,630.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,639.0,646.287499375,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,679.0,689.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,689.0,696.9199992499999,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,800.0,807.862499375,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,810.0,820.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,820.0,830.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,850.0,859.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,870.0,871.71999925,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,880.0,890.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,890.0,891.2299995,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,891.2299995,897.34499925,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,902.0,909.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,912.0,922.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,922.0,925.287499375,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,925.287499375,929.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,932.0,938.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,943.0,948.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,953.0,958.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,964.0,974.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,974.0,978.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,978.0,986.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,986.0,988.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,988.0,996.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,996.0,999.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,999.0,1006.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1006.0,1009.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1009.0,1016.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1016.0,1020.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1020.0,1027.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1027.0,1031.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1031.0,1037.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1037.0,1041.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1041.057499875,1047.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1047.0,1047.432499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1047.432499875,1057.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1057.0,1061.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1061.0,1066.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1066.0,1070.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1070.057499875,1075.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1075.0,1077.057499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1077.057499875,1082.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1084.0,1092.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1094.0,1102.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1102.0,1105.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1105.0,1109.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1111.0,1121.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1121.0,1121.432499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1121.432499875,1129.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1131.0,1141.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1141.0,1141.432499875,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1141.432499875,1148.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1150.0,1159.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1160.0,1173.48999975,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1175.0,1185.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1189.0,1199.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1206.0,1216.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1220.0,1230.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1234.0,1244.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1249.0,1259.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1264.0,1274.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1279.0,1289.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1294.0,1301.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1309.0,1322.48999975,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1324.0,1330.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1348.0,1368.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1368.0,1369.43999975,2,480.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1369.43999975,1378.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1387.0,1394.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1407.0,1414.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1427.0,1437.432499875,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1446.0,1453.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1466.0,1472.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1496.0,1503.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,2190L_0,1526.0,1533.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,326.0,334.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,345.0,353.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,356.0,369.476250075,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,375.0,377.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,387.0,393.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,401.0,410.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,410.0,417.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,417.0,421.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,421.0,423.461250025,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,423.461250025,427.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,429.0,437.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,439.0,442.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,443.0,449.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,449.0,450.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,450.0,457.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,464.0,466.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,474.0,477.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,481.0,492.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,494.0,497.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,500.0,523.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,523.0,525.543749865,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,525.543749865,527.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,529.0,532.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,543.0,548.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,548.0,552.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,552.0,555.5705001,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,563.0,568.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,568.0,572.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,572.0,588.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,588.0,591.063499275,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,593.0,618.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,623.0,628.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,628.0,633.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,633.0,638.411248365,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,653.0,660.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,712.0,718.059498995,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,828.0,829.8847492,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,842.0,851.469997615,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,862.0,866.542999135,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,868.0,870.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,882.0,888.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,888.0,890.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,890.0,895.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,899.0,900.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,914.0,914.9999999999999,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,922.0,929.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,943.0,944.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,944.0,945.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,945.0,947.608749565,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,948.0,957.257249825,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,963.0,964.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,964.0,968.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,968.0,978.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,983.0,988.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,989.0,992.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,992.0,995.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,995.0,998.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1009.0,1019.613249275,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1023.0,1024.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1024.0,1025.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1025.0,1035.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1042.0,1044.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1044.0,1045.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1045.0,1048.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1048.0,1050.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1050.0,1054.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1054.0,1055.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1055.0,1056.7459991,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1061.0,1068.0,1,240.0
