Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,0,489
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,1,492
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,2,887
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,3,890
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,4,373
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,5,380
Regular,13421,8:25,8:43,6480,10.809,21.618,6,207
Regular,PC_5,14:57,15:28,HED_E,10.088,20.1809998,7,427
Regular,HED_D,15:39,16:07,PC_5,9.931,19.8619995,8,435
Regular,PC_10,16:07,16:43,HED_E,11.168,22.3409996,9,308
Regular,HED_D,16:45,17:17,PC_10,10.664,21.3279991,10,314
Regular,13215,17:17,17:34,3127,10.033,20.066,11,323
Regular,HED_D,17:41,18:07,PC_5,9.931,19.8619995,12,455
Regular,PC_10,18:07,18:41,HED_E,11.168,22.3409996,13,330
