Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,JON_A,6:13,6:27,PC_9,6.171,12.342,0,885
Regular,PC_7,6:30,6:54,GMV_G,9.319,18.6380005,1,578
Regular,GMV_H,7:00,7:27,PC_7,9.153,18.3059998,2,582
Regular,PC_10,7:27,8:04,HED_E,11.168,22.3409996,3,241
Regular,PC_9,8:45,8:50,13722,2.59,5.17999983,4,903
Regular,13722,8:52,8:57,PC_9,2.518,5.03599977,5,905
Regular,PC_7,11:10,11:34,GMV_G,9.319,18.6380005,6,610
Regular,GMV_H,11:42,12:07,PC_7,9.153,18.3059998,7,614
Regular,PC_7,12:10,12:34,GMV_G,9.319,18.6380005,8,618
Regular,GMV_H,12:42,13:07,PC_7,9.153,18.3059998,9,622
Regular,PC_10,13:07,13:42,HED_E,11.168,22.3409996,10,274
Regular,HED_D,13:56,14:27,PC_10,10.664,21.3279991,11,280
Regular,PC_9,14:27,14:44,JON_B,6.191,12.3870001,12,932
Regular,JON_A,14:53,15:07,PC_9,6.171,12.342,13,936
Regular,PC_10,15:07,15:43,HED_E,11.168,22.3409996,14,293
Regular,HED_D,15:49,16:17,PC_5,9.931,19.8619995,15,436
Regular,PC_9,16:27,16:44,JON_B,6.191,12.3870001,16,946
Regular,JON_A,16:53,17:07,PC_9,6.171,12.342,17,950
Regular,13215,17:07,17:24,3127,10.033,20.066,18,319
Regular,HED_D,17:25,17:57,PC_10,10.664,21.3279991,19,324
Regular,PC_3,17:57,18:13,13329,4.783,9.5710001,20,738
Regular,13329,18:16,18:27,PC_3,4.645,9.28999996,21,740
Regular,PC_7,18:30,18:53,GMV_G,9.319,18.6380005,22,658
