Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,JON_A,6:13,6:27,PC_9,6.171,12.342,0,886
Regular,PC_7,6:30,6:54,GMV_G,9.319,18.6380005,1,579
Regular,GMV_H,7:00,7:27,PC_7,9.153,18.3059998,2,583
Regular,PC_10,7:27,8:04,HED_E,11.168,22.3409996,3,242
Regular,PC_7,11:10,11:34,GMV_G,9.319,18.6380005,4,611
Regular,GMV_H,11:42,12:07,PC_7,9.153,18.3059998,5,615
Regular,PC_7,12:10,12:34,GMV_G,9.319,18.6380005,6,619
Regular,GMV_H,12:42,13:07,PC_7,9.153,18.3059998,7,623
Regular,PC_10,13:07,13:42,HED_E,11.168,22.3409996,8,275
Regular,HED_D,13:56,14:27,PC_10,10.664,21.3279991,9,281
Regular,PC_9,14:27,14:44,JON_B,6.191,12.3870001,10,933
Regular,JON_A,14:53,15:07,PC_9,6.171,12.342,11,937
Regular,PC_10,15:07,15:43,HED_E,11.168,22.3409996,12,294
Regular,HED_D,15:49,16:17,PC_5,9.931,19.8619995,13,437
Regular,PC_9,16:27,16:44,JON_B,6.191,12.3870001,14,947
Regular,JON_A,16:53,17:07,PC_9,6.171,12.342,15,951
Regular,13215,17:07,17:24,3127,10.033,20.066,16,320
Regular,HED_D,17:25,17:57,PC_10,10.664,21.3279991,17,325
Regular,PC_3,17:57,18:13,13329,4.783,9.5710001,18,739
Regular,13329,18:16,18:27,PC_3,4.645,9.28999996,19,741
Regular,PC_7,18:30,18:53,GMV_G,9.319,18.6380005,20,659
