Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,0,239
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,1,250
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,2,593
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,3,597
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,4,506
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,5,510
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,6,707
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,7,709
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,8,514
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,9,518
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,10,408
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,11,412
Regular,13722,14:07,14:12,PC_9,2.518,5.03599977,12,930
Regular,13215,14:42,14:59,3127,10.033,20.066,13,287
Regular,HED_D,15:00,15:27,PC_5,9.931,19.8619995,14,429
Regular,PC_10,15:27,16:03,HED_E,11.168,22.3409996,15,299
Regular,HED_D,16:08,16:37,PC_5,9.931,19.8619995,16,441
Regular,6480,16:55,17:14,13421,11.116,22.2320004,17,212
