Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,4808,5:25,6:16,2190,21.25,42.5,1,6
Regular,4808,5:36,6:27,2190,21.25,42.5,2,8
Regular,2190,6:38,7:35,4808,20.865,41.7299995,3,20
Regular,2190,6:48,7:45,4808,20.865,41.7299995,4,22
Regular,4808,7:42,8:42,2190,21.25,42.5,5,33
Regular,4808,7:52,8:52,2190,21.25,42.5,6,35
Regular,2190,8:59,9:57,4808,20.865,41.7299995,7,48
Regular,2190,9:40,10:37,4808,20.865,41.7299995,8,56
Regular,4808,10:04,10:59,2190,21.25,42.5,9,61
Regular,4808,10:44,11:39,2190,21.25,42.5,10,69
Regular,2190,11:09,12:07,4808,20.865,41.7299995,11,74
Regular,2190,11:49,12:47,4808,20.865,41.7299995,12,82
Regular,4808,12:14,13:09,2190,21.25,42.5,13,87
Regular,4808,12:54,13:50,2190,21.25,42.5,14,95
Regular,2190,14:00,14:59,4808,20.865,41.7299995,15,108
Regular,2190,14:38,15:40,4808,20.865,41.7299995,16,116
Regular,4808,15:06,16:04,2190,21.25,42.5,17,121
Regular,4808,15:47,16:46,2190,21.25,42.5,18,129
Regular,2190,16:18,17:21,4808,20.865,41.7299995,19,135
Regular,2190,17:00,18:00,4808,20.865,41.7299995,20,144
Regular,4808,17:27,18:22,2190,21.25,42.5,21,149
Regular,4808,18:07,19:01,2190,21.25,42.5,22,157
