Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,2,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,3,572
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,4,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,5,883
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,6,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,7,775
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,8,778
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,9,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,10,372
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,11,375
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,12,243
Regular,3127,7:53,8:07,13215,9.735,19.4699993,13,247
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,14,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,15,899
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,16,902
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,17,255
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,18,700
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,19,701
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,20,907
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,21,702
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,22,908
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,23,703
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,24,259
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,25,508
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,26,512
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,27,264
Regular,PC_3,10:57,11:13,13329,4.783,9.5710001,28,710
Regular,13329,11:15,11:27,PC_3,4.645,9.28999996,29,711
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,30,915
Regular,PC_6,11:27,11:53,ÖS_J,8.581,17.1669998,31,516
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,32,916
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,33,267
Regular,ÖS_H,12:05,12:27,PC_6,8.205,16.4099998,34,520
Regular,PC_3,12:27,12:43,13329,4.783,9.5710001,35,716
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,36,271
Regular,13329,12:45,12:57,PC_3,4.645,9.28999996,37,717
Regular,PC_6,12:57,13:23,ÖS_J,8.581,17.1669998,38,523
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,39,923
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,40,926
Regular,ÖS_H,13:35,13:57,PC_6,8.205,16.4099998,41,526
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,42,630
Regular,PC_6,13:57,14:24,ÖS_J,8.581,17.1669998,43,527
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,44,633
Regular,ÖS_H,14:35,14:57,PC_6,8.205,16.4099998,45,530
Regular,PC_10,14:47,15:22,HED_E,11.168,22.3409996,46,288
Regular,PC_3,14:57,15:13,13329,4.783,9.5710001,47,726
Regular,13329,15:15,15:27,PC_3,4.645,9.28999996,48,727
Regular,PC_9,15:27,15:44,JON_B,6.191,12.3870001,49,940
Regular,HED_D,15:29,15:57,PC_5,9.931,19.8619995,50,433
Regular,JON_A,15:53,16:07,PC_9,6.171,12.342,51,943
Regular,PC_7,15:57,16:14,JON_B,5.137,10.2790003,52,835
Regular,13215,16:07,16:24,3127,10.033,20.066,53,307
Regular,HED_D,16:25,16:57,PC_10,10.664,21.3279991,54,310
Regular,JON_A,16:25,16:37,PC_7,5.133,10.2659998,55,838
Regular,PC_7,16:37,16:54,JON_B,5.137,10.2790003,56,839
Regular,PC_6,16:57,17:24,ÖS_J,8.581,17.1669998,57,539
Regular,JON_A,17:05,17:17,PC_7,5.133,10.2659998,58,842
Regular,PC_7,17:17,17:34,JON_B,5.137,10.2790003,59,843
Regular,ÖS_H,17:34,17:57,PC_6,8.205,16.4099998,60,542
Regular,JON_A,17:45,17:57,PC_7,5.133,10.2659998,61,846
Regular,PC_5,17:57,18:28,HED_E,10.088,20.1809998,62,457
Regular,PC_6,17:57,18:23,ÖS_J,8.581,17.1669998,63,543
Regular,HED_D,18:32,18:57,PC_5,9.931,19.8619995,64,460
Regular,ÖS_H,18:35,18:57,PC_6,8.205,16.4099998,65,546
Regular,PC_3,18:57,19:13,13329,4.783,9.5710001,66,744
Regular,PC_7,18:57,19:14,JON_B,5.137,10.2790003,67,853
Regular,JON_A,19:15,19:27,PC_7,5.133,10.2659998,68,854
Regular,13329,19:16,19:27,PC_3,4.645,9.28999996,69,745
Regular,PC_3,19:27,19:43,13329,4.783,9.5710001,70,746
