Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID,Source_Duty
Regular,4808,4:50,5:41,2190,21.25,42.5,0,3,13404
Regular,2190,5:44,6:37,4808,20.865,41.7299995,1,9,13407
Regular,4808,5:56,6:48,2190,21.25,42.5,2,11,13409
Regular,2190,5:58,6:53,4808,20.865,41.7299995,3,12,13404
Regular,4808,6:42,7:40,2190,21.25,42.5,4,21,13407
Regular,2190,6:58,7:56,4808,20.865,41.7299995,5,24,13409
Regular,4808,7:01,8:01,2190,21.25,42.5,6,25,13404
Regular,2190,7:49,8:49,4808,20.865,41.7299995,7,34,13407
Regular,4808,8:03,9:03,2190,21.25,42.5,8,37,13409
Regular,2190,8:20,9:19,4808,20.865,41.7299995,9,40,13404
Regular,4808,8:56,9:52,2190,21.25,42.5,10,47,13407
Regular,2190,9:09,10:07,4808,20.865,41.7299995,11,50,13409
Regular,4808,9:26,10:21,2190,21.25,42.5,12,53,13404
Regular,2190,10:00,10:57,4808,20.865,41.7299995,13,60,13407
Regular,4808,10:14,11:09,2190,21.25,42.5,14,63,13409
Regular,2190,10:30,11:27,4808,20.865,41.7299995,15,66,13404
Regular,4808,11:04,11:59,2190,21.25,42.5,16,73,13407
Regular,2190,11:19,12:17,4808,20.865,41.7299995,17,76,13409
Regular,4808,11:34,12:29,2190,21.25,42.5,18,79,13404
Regular,4808,12:24,13:20,2190,21.25,42.5,19,89,13409
Regular,2190,12:39,13:37,4808,20.865,41.7299995,20,92,13407
Regular,2190,12:49,13:47,4808,20.865,41.7299995,21,94,13404
Regular,2190,13:30,14:29,4808,20.865,41.7299995,22,102,13409
Regular,4808,13:44,14:40,2190,21.25,42.5,23,105,13407
Regular,4808,13:54,14:50,2190,21.25,42.5,24,107,13404
Regular,4808,14:36,15:32,2190,21.25,42.5,25,115,13409
Regular,2190,14:59,16:01,4808,20.865,41.7299995,26,120,13404
Regular,2190,15:19,16:22,4808,20.865,41.7299995,27,124,13407
Regular,2190,15:38,16:41,4808,20.865,41.7299995,28,128,13409
Regular,4808,16:08,17:07,2190,21.25,42.5,29,133,13404
Regular,4808,16:28,17:27,2190,21.25,42.5,30,137,13407
Regular,4808,16:48,17:46,2190,21.25,42.5,31,141,13409
Regular,2190,17:22,18:20,4808,20.865,41.7299995,32,148,13404
Regular,2190,17:41,18:38,4808,20.865,41.7299995,33,152,13407
Regular,4808,18:27,19:20,2190,21.25,42.5,34,161,13404
Regular,2190,18:36,19:32,4808,20.865,41.7299995,35,162,13409
Regular,4808,18:42,19:35,2190,21.25,42.5,36,163,13407
Regular,4808,19:42,20:34,2190,21.25,42.5,37,171,13409
Regular,2190,19:49,20:45,4808,20.865,41.7299995,38,172,13407
Regular,2190,20:04,21:00,4808,20.865,41.7299995,39,174,13404
Regular,2190,20:50,21:45,4808,20.865,41.7299995,40,180,13409
Regular,4808,20:57,21:49,2190,21.25,42.5,41,181,13407
Regular,4808,21:12,22:04,2190,21.25,42.5,42,183,13404
Regular,4808,21:56,22:48,2190,21.25,42.5,43,187,13409
Regular,2190,22:10,23:05,4808,20.865,41.7299995,44,188,13404
Regular,2190,22:30,23:24,4808,20.865,41.7299995,45,190,13407
Regular,4808,23:16,24:06,2190,21.25,42.5,46,195,13404
Regular,2190,23:32,24:23,4808,20.865,41.7299995,47,196,13409
Regular,4808,23:36,24:26,2190,21.25,42.5,48,197,13407
Regular,2190,24:32,25:23,4808,20.865,41.7299995,49,200,13407
Regular,4808,24:36,25:26,2190,21.25,42.5,50,201,13409
