Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID,Source_Duty
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0,13401
Regular,4808,5:25,6:16,2190,21.25,42.5,1,6,13401
Regular,4808,5:36,6:27,2190,21.25,42.5,2,8,13408
Regular,2190,6:38,7:35,4808,20.865,41.7299995,3,20,13408
Regular,2190,6:48,7:45,4808,20.865,41.7299995,4,22,13401
Regular,4808,6:51,7:49,2190,21.25,42.5,5,23,13414
Regular,4808,7:42,8:42,2190,21.25,42.5,6,33,13408
Regular,4808,7:52,8:52,2190,21.25,42.5,7,35,13401
Regular,2190,8:00,8:59,4808,20.865,41.7299995,8,36,13414
Regular,2190,8:59,9:57,4808,20.865,41.7299995,9,48,13408
Regular,4808,9:06,10:02,2190,21.25,42.5,10,49,13414
Regular,2190,9:40,10:37,4808,20.865,41.7299995,11,56,13401
Regular,4808,10:04,10:59,2190,21.25,42.5,12,61,13408
Regular,2190,10:40,11:37,4808,20.865,41.7299995,13,68,13414
Regular,4808,10:44,11:39,2190,21.25,42.5,14,69,13401
Regular,2190,11:09,12:07,4808,20.865,41.7299995,15,74,13408
Regular,4808,11:44,12:39,2190,21.25,42.5,16,81,13414
Regular,2190,11:49,12:47,4808,20.865,41.7299995,17,82,13401
Regular,4808,12:14,13:09,2190,21.25,42.5,18,87,13408
Regular,4808,12:54,13:50,2190,21.25,42.5,19,95,13401
Regular,2190,13:20,14:19,4808,20.865,41.7299995,20,100,13414
Regular,2190,14:00,14:59,4808,20.865,41.7299995,21,108,13408
Regular,4808,14:26,15:22,2190,21.25,42.5,22,113,13414
Regular,2190,14:38,15:40,4808,20.865,41.7299995,23,116,13401
Regular,4808,15:06,16:04,2190,21.25,42.5,24,121,13408
Regular,2190,15:29,16:32,4808,20.865,41.7299995,25,126,13414
Regular,4808,15:47,16:46,2190,21.25,42.5,26,129,13401
Regular,2190,16:18,17:21,4808,20.865,41.7299995,27,135,13408
Regular,4808,16:38,17:37,2190,21.25,42.5,28,139,13414
Regular,2190,17:00,18:00,4808,20.865,41.7299995,29,144,13401
Regular,4808,17:27,18:22,2190,21.25,42.5,30,149,13408
Regular,2190,17:51,18:48,4808,20.865,41.7299995,31,154,13414
Regular,4808,18:07,19:01,2190,21.25,42.5,32,157,13401
Regular,4808,18:56,19:49,2190,21.25,42.5,33,165,13414
Regular,2190,20:35,21:30,4808,20.865,41.7299995,34,178,13414
