source_commit,source_artifact,physics_label,cell_id,target_fleet,representation_id,time_model,soc_step_kwh,block_min,L_model,L_model_certified,I_model_exact,I_model_lower,I_model_upper,I_model_proven,I_model_method,I_pool_exact,I_pool_lower,I_pool_upper,I_pool_proven,I_timed,timed_fleet_proven,proof_state,target_role,physical_witness_valid,source_cg_wall_s,source_cg_iterations,pool_columns,optimality_scope,model_evidence
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,event_2p5_event5,event,2.5,5,1.9999999529999963,true,2,2,2,true,industrial_event_partition_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,297.3883872583974,523,9504,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k02_s1/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,uniform_10_10,uniform,10,10,2.2083332863333758,true,3,3,3,true,arcflow_integral_witness_sandwich,4,4,4,true,4,true,model_and_pool_proven,industrial_comparator_only,true,20.081397689238656,221,2540,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/arcflow/k02_s1/uniform_10_10/oracle.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,uniform_4_5,uniform,4,5,1.9999999530000285,true,2,2,2,true,arcflow_integral_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,90.1584581520292,324,4481,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/arcflow/k02_s1/uniform_4_5/oracle.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,uniform_2_5,uniform,2,5,1.9999999530000263,true,,2,3,false,censored_after_sandwich_and_arcflow,3,3,3,true,3,true,pool_proven_model_open,industrial_comparator_only,true,160.88580096539226,312,6305,full_pool_lexicographic,
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,uniform_2_2,uniform,2,2,1.999999952999969,true,2,2,2,true,industrial_uniform_partition_sandwich,3,3,3,true,3,true,model_and_pool_proven,validated_same-model_upper_bound,true,504.69841659613303,410,5741,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k02_s1/uniform_2_2/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s1,2,uniform_2_1,uniform,2,1,1.9999999530000254,true,2,2,2,true,industrial_uniform_partition_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,2627.2577416127024,665,5988,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k02_s1/uniform_2_1/witness-v2.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s2,2,event_2p5_event5,event,2.5,5,1.9999999709999918,true,2,2,2,true,industrial_event_partition_sandwich,2,2,2,true,2,true,model_and_pool_proven,validated_same-model_upper_bound,true,62.89626464777393,117,1689,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k02_s2/witness.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s2,2,uniform_10_10,uniform,10,10,2.399999971000009,true,3,3,3,true,arcflow_integral_witness_sandwich,5,5,5,true,5,true,model_and_pool_proven,industrial_comparator_only,true,3.6407037698081695,70,566,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/arcflow/k02_s2/uniform_10_10/oracle.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s2,2,uniform_4_5,uniform,4,5,2.1249999709999274,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,industrial_comparator_only,true,11.893969864380779,88,615,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k02_s2/uniform_4_5/mip.json
2683c775c2ba29018404c5f41ca2aff3266b5739,analysis/event_uniform_envelope_20260821/panel_a.csv,240kWh_battery_240kW_charger_zero_reserve,k02_s2,2,uniform_2_5,uniform,2,5,2.1249999709999887,true,3,3,3,true,finite_pool_witness_sandwich,3,3,3,true,3,true,model_and_pool_proven,industrial_comparator_only,true,19.68751640006667,80,668,full_pool_lexicographic,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k02_s2/uniform_2_5/mip.json
