cell_id,scale,selection_replicate,trip_count,trip_size_stratum_within_scale,direct_compatibility_density_stratum,representation_id,battery_kwh,charge_kw,reserve_fraction,soc_step_kwh,time_model,cg_budget_s,planned_wave,run_status,source_result_commit,L_model,L_model_certified,I_model_exact,I_model_lower,I_model_upper,I_model_proven,I_pool_exact,I_pool_lower,I_pool_upper,I_pool_proven,I_timed,cg_wall_s,cg_iterations,pool_columns,physical_witness_valid,result_censoring
k02_s1,2,1,47,middle,high,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,1.9999999529999963,true,2,2,2,true,2,2,2,true,2,297.3883872583974,523,9504,true,none_for_pool_fleet
k02_s2,2,2,29,low,middle,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,1.9999999709999918,true,2,2,2,true,2,2,2,true,2,62.89626464777393,117,1689,true,none_for_pool_fleet
k02_s3,2,3,56,high,high,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,1.9999999439999823,true,2,2,2,true,2,2,2,true,2,557.5899436899344,673,15846,true,none_for_pool_fleet
k02_s4,2,4,39,middle,low,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k02_s5,2,5,30,low,middle,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k02_s6,2,6,83,high,low,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k03_s1,3,1,61,middle,middle,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,2.999999939000001,true,3,3,3,true,3,3,3,true,3,486.94799472310115,665,15168,true,none_for_pool_fleet
k03_s2,3,2,71,middle,high,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,2.9999999290000017,true,3,3,3,true,3,3,3,true,3,750.7859043911449,758,20753,true,none_for_pool_fleet
k03_s3,3,3,47,low,low,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,2.999999953000008,true,3,3,3,true,3,3,3,true,3,236.1006106560235,627,7654,true,none_for_pool_fleet
k03_s4,3,4,105,high,middle,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k03_s5,3,5,91,high,high,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k03_s6,3,6,40,low,low,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k05_s1,5,1,105,middle,low,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,4.999999895000181,true,5,5,5,true,5,5,5,true,5,5250.275371580035,1908,52601,true,none_for_pool_fleet
k05_s2,5,2,101,low,high,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,4.999999899000092,true,5,5,5,true,,6,12,false,12,1014.6206268206006,639,16221,true,finite_pool_integer_interval_open
k05_s3,5,3,125,middle,middle,event_2p5_event5,240,240,0,2.5,event,21600,completed_small_envelope,committed_result_available,2683c775c2ba29018404c5f41ca2aff3266b5739,4.999999874999959,true,5,5,5,true,,5,15,false,15,6274.866780188371,1634,43650,true,finite_pool_integer_interval_open
k05_s4,5,4,127,high,middle,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k05_s5,5,5,97,low,low,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k05_s6,5,6,127,high,high,event_2p5_event5,240,240,0,2.5,event,21600,wave2_anchor_replication,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s1,8,1,203,high,middle,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s2,8,2,183,middle,high,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s3,8,3,159,middle,high,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s4,8,4,186,high,middle,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s5,8,5,136,low,low,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k08_s6,8,6,144,low,low,event_2p5_event5,240,240,0,2.5,event,43200,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s1,13,1,289,low,low,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s2,13,2,265,low,middle,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s3,13,3,325,middle,high,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s4,13,4,308,middle,low,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s5,13,5,382,high,high,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k13_s6,13,6,356,high,middle,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s1,20,1,443,low,low,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s2,20,2,471,high,low,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s3,20,3,435,low,middle,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s4,20,4,488,high,high,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s5,20,5,453,middle,high,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k20_s6,20,6,467,middle,middle,event_2p5_event5,240,240,0,2.5,event,86400,wave1_medium_existing,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k30_s1,30,1,714,high,high,event_2p5_event5,240,240,0,2.5,event,86400,wave1_scale_boundary_probe,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k30_s2,30,2,654,middle,low,event_2p5_event5,240,240,0,2.5,event,86400,wave1_scale_boundary_probe,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k30_s3,30,3,636,low,middle,event_2p5_event5,240,240,0,2.5,event,86400,wave1_scale_boundary_probe,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
k40_s2,40,2,947,single,single,event_2p5_event5,240,240,0,2.5,event,86400,wave1_scale_boundary_probe,validated_input_not_run,,,,,,,,,,,,,,,,,not_run
