Iteration,Master_Obj,Master_Improvement,Master_Time_s,Pricing_Time_s,Cumulative_Master_Time_s,Cumulative_Pricing_Time_s,Cols_Added,Best_RC,Timed_Out,Pricing_TimeLimit_Used,Stagnant_Counter,Total_Runtime_s
1,307000000.0,inf,0.00033926963806152344,501.584547996521,0.00033926963806152344,501.584547996521,200,-29899956.99369599,False,100000.0,0,504.7606723308563
2,253201019.58980915,53798980.41019085,0.0019884109497070312,501.27007126808167,0.0023276805877685547,1002.8546192646027,200,-24399951.51433596,False,100000.0,0,1006.0633363723755
3,218901394.0092656,34299625.58054355,0.003929853439331055,500.9251883029938,0.006257534027099609,1503.7798075675964,200,-21800100.612832416,False,100000.0,0,1507.0430269241333
4,187802082.21107838,31099311.798187226,0.005620479583740234,501.4320659637451,0.011878013610839844,2005.2118735313416,200,-16499990.1677121,False,100000.0,0,2008.537338256836
5,155202705.12882116,32599377.08225721,0.005043506622314453,500.570592880249,0.016921520233154297,2505.7824664115906,200,-18400185.622096017,False,100000.0,0,2509.203394651413
6,130703529.9946835,24499175.13413766,0.003355741500854492,500.7752802371979,0.02027726173400879,3006.5577466487885,200,-15300265.73405549,False,100000.0,0,3010.0901029109955
7,109003693.25953043,21699836.73515308,0.004317760467529297,501.15428948402405,0.024595022201538086,3507.7120361328125,200,-12800195.771639923,False,100000.0,0,3511.3505249023438
8,96203525.08688201,12800168.172648415,0.004136800765991211,440.8776204586029,0.028731822967529297,3948.5896565914154,200,-15000528.769159095,False,100000.0,0,3952.3324275016785
9,68703397.24982278,27500127.83705923,0.004976511001586914,249.91556930541992,0.03370833396911621,4198.505225896835,200,-12400493.786111373,False,100000.0,0,4202.329475641251
10,55253005.93929779,13450391.310524993,0.0051996707916259766,290.7878351211548,0.03890800476074219,4489.29306101799,200,-10450503.55449191,False,100000.0,0,4493.207020282745
11,44252656.99584056,11000348.94345723,0.0101318359375,203.26228713989258,0.04903984069824219,4692.555348157883,200,-9000433.031150091,False,100000.0,0,4696.575562477112
12,31111575.969726052,13141081.026114505,0.011378765106201172,155.1031472682953,0.06041860580444336,4847.658495426178,200,-7009382.201036162,False,100000.0,0,4851.791706323624
13,24502262.003246356,6609313.966479696,0.011645317077636719,125.5974907875061,0.07206392288208008,4973.255986213684,200,-6200339.4344781665,False,100000.0,0,4977.506408214569
14,18102262.48056322,6399999.522683136,0.00979471206665039,113.09114527702332,0.08185863494873047,5086.347131490707,200,-4300564.720780032,False,100000.0,0,5090.7171239852905
15,14402115.050054027,3700147.430509193,0.01345515251159668,97.63082265853882,0.09531378746032715,5183.977954149246,200,-3900437.6301919203,False,100000.0,0,5188.4805064201355
16,10801971.704617843,3600143.3454361837,0.011255502700805664,133.30517029762268,0.10656929016113281,5317.283124446869,200,-3200567.060751277,False,100000.0,0,5321.922060251236
17,8201859.1220793165,2600112.5825385265,0.014316320419311523,95.77814984321594,0.12088561058044434,5413.061274290085,200,-2700564.8459309638,False,100000.0,0,5417.843008518219
18,5901665.419609776,2300193.7024695408,0.018976449966430664,80.83054947853088,0.139862060546875,5493.891823768616,200,-2100532.57251222,False,100000.0,0,5498.829524517059
19,4501650.795086806,1400014.62452297,0.015309810638427734,91.80200719833374,0.15517187118530273,5585.6938309669495,200,-1800498.8062003718,False,100000.0,0,5590.786427497864
