feature,n_instances,min,p25,median,p75,max
trip_count,40,29.0,89.0,151.5,395.25,947.0
duty_count,40,2.0,3.0,8.0,14.75,40.0
deadhead_density,40,0.048436896950984173,0.05356548558563383,0.061874061183001317,0.0848021529543976,0.15103127079174983
deadhead_energy_fraction,40,0.04037325647434083,0.06311076073698639,0.0677770961146727,0.07351616449312492,0.12102846232602178
service_kwh_per_trip,40,14.809214188214286,20.5013334390872,22.453830529370876,23.97211621835752,42.12827562068965
service_kwh_per_duty,40,282.5119989,481.7985928741346,507.957571055,534.97370246825,649.58599484
layover_slack_min,40,0.0,0.0,0.0,0.0,7.0
layover_slack_median,40,1.0,3.0,4.0,5.25,8.0
layover_slack_max,40,25.0,46.0,51.0,57.0,57.0
station_reachability_fraction,40,0.9551886792452831,0.9657114669034508,0.9699852204171637,0.9720486858589581,0.9822161422708618
station_only_bridge_fraction,40,0.8369926813040586,0.8964157713300582,0.9160149224526907,0.9214078642584442,0.9278270937861829
representable_fraction_soc15_b10,40,0.0,0.11875,0.2,0.25,0.6666666666666666
representable_fraction_soc5_b10,40,0.0,0.2,0.24166666666666667,0.3333333333333333,1.0
representable_fraction_soc2p5_b10,40,0.0,0.23076923076923078,0.3416666666666667,0.4,1.0
representable_fraction_soc1_b10,40,0.0,0.23076923076923078,0.3416666666666667,0.4,1.0
representable_fraction_soc1_b5,40,0.6666666666666666,0.8615384615384616,0.9333333333333333,1.0,1.0
