job_key,paired_cell_key,method_arm,cell_id,scale,selection_replicate,physics_profile,g_kwh,charge_kw,soc_step,block_min,grid_id,grid_role,commensurate,charge_kwh_per_block,credited_charge_kwh_per_block,charge_grid_loss_kwh,trip_count,target_fleet,instance_sha256,status_path,status_present,stop_reason,certified,dag_nodes,dag_arcs,dag_build_wall_s,estimated_dag_nodes_upper,active_arcs,arcflow_variables,arcflow_constraints,arcflow_nonzeros,model_build_wall_s,lp_wall_s,mip_wall_s,peak_rss_mb,iterations_to_certificate,wall_to_certificate,wall_s_total,iterations_observed,master_wall_s_total,pricing_wall_s_total,columns_added_total,pool_columns_final,fleet_lp_bound,lp_gap_buses,integer_fleet,integer_fleet_proven,integer_gap_buses,mip_gap,lp_gap_closed_vs_anchor,integer_gap_closed_vs_anchor,cpu_hours_to_certificate,buses_gap_closed_per_cpu_hour,lp_equality_checked,lp_equal,lp_difference
rc_p240_k02_s1_soc15_b10,p240_k02_s1_soc15_b10,exact_cg,k02_s1,2,1,p240,240.0,240.0,15.0,10.0,soc15_b10,historical_anchor,False,40.0,30.0,10.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc15_b10.json,True,certified,True,16637,458592,0.253617525100708,16713,,,,,,,,186.57421875,238,17.01905131340027,17.06018090248108,238,3.167368677990453,12.76779087900286,1364,1411,2.3406593406593488,0.3406593406593488,,,,,0.0,,0.004727514253722297,0.0,False,,
af_p240_k02_s1_soc15_b10,p240_k02_s1_soc15_b10,arc_flow,k02_s1,2,1,p240,240.0,240.0,15.0,10.0,soc15_b10,historical_anchor,False,40.0,30.0,10.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc15_b10.json,False,missing,False,,,,16713,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc10_b10,p240_k02_s1_soc10_b10,exact_cg,k02_s1,2,1,p240,240.0,240.0,10.0,10.0,soc10_b10,commensurate,True,40.0,40.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc10_b10.json,True,certified,True,24474,687881,0.40548062324523926,24577,,,,,,,,222.04296875,221,21.61222743988037,21.66506290435791,221,5.105900093985838,15.181368967983872,2493,2540,2.2083333333333335,0.20833333333333348,,,,,0.1323260073260153,,0.006003396511077881,22.041856985764348,False,,
af_p240_k02_s1_soc10_b10,p240_k02_s1_soc10_b10,arc_flow,k02_s1,2,1,p240,240.0,240.0,10.0,10.0,soc10_b10,commensurate,True,40.0,40.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc10_b10.json,False,missing,False,,,,24577,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc2p5_b10,p240_k02_s1_soc2p5_b10,exact_cg,k02_s1,2,1,p240,240.0,240.0,2.5,10.0,soc2p5_b10,commensurate,True,40.0,40.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc2p5_b10.json,True,certified,True,95025,2712103,1.5457420349121094,95353,,,,,,,,456.16796875,385,96.92023587226868,97.03937983512878,385,26.15620184405634,67.52533390197641,6058,6101,2.0,0.0,,,,,0.3406593406593488,,0.026922287742296856,12.653432127320606,False,,
af_p240_k02_s1_soc2p5_b10,p240_k02_s1_soc2p5_b10,arc_flow,k02_s1,2,1,p240,240.0,240.0,2.5,10.0,soc2p5_b10,commensurate,True,40.0,40.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc2p5_b10.json,False,missing,False,,,,95353,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc10_b5,p240_k02_s1_soc10_b5,exact_cg,k02_s1,2,1,p240,240.0,240.0,10.0,5.0,soc10_b5,commensurate,True,20.0,20.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc10_b5.json,True,certified,True,47874,1334091,0.8003153800964355,47977,,,,,,,,334.265625,558,89.81568121910095,89.90914344787598,558,27.650089883984037,58.93995998797982,4692,4737,1.999999999999999,0.0,,,,,0.3406593406593499,,0.024948800338639155,13.654337524668785,False,,
af_p240_k02_s1_soc10_b5,p240_k02_s1_soc10_b5,arc_flow,k02_s1,2,1,p240,240.0,240.0,10.0,5.0,soc10_b5,commensurate,True,20.0,20.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc10_b5.json,False,missing,False,,,,47977,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc2p5_b5,p240_k02_s1_soc2p5_b5,exact_cg,k02_s1,2,1,p240,240.0,240.0,2.5,5.0,soc2p5_b5,commensurate,True,20.0,20.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc2p5_b5.json,True,wall_limit,False,185817,5309708,3.340949535369873,186145,,,,,,,,695.0625,,,120.3975601196289,296,18.513795171005768,96.78527683800348,5572,5603,,,,,,,,,,,False,,
af_p240_k02_s1_soc2p5_b5,p240_k02_s1_soc2p5_b5,arc_flow,k02_s1,2,1,p240,240.0,240.0,2.5,5.0,soc2p5_b5,commensurate,True,20.0,20.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc2p5_b5.json,False,missing,False,,,,186145,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc10_b2p5,p240_k02_s1_soc10_b2p5,exact_cg,k02_s1,2,1,p240,240.0,240.0,10.0,2.5,soc10_b2p5,commensurate,True,10.0,10.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc10_b2p5.json,True,certified,True,94674,2613199,1.658071756362915,94777,,,,,,,,452.19140625,497,113.41188740730286,113.4742865562439,497,16.451175102996785,92.79254051998214,3366,3410,2.0,0.0,,,,,0.3406593406593488,,0.03150330205758413,10.813448699335256,False,,
af_p240_k02_s1_soc10_b2p5,p240_k02_s1_soc10_b2p5,arc_flow,k02_s1,2,1,p240,240.0,240.0,10.0,2.5,soc10_b2p5,commensurate,True,10.0,10.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/af_p240_k02_s1_soc10_b2p5.json,False,missing,False,,,,94777,,,,,,,,,,,,0,,,,,,,,False,,,,,,,False,,
rc_p240_k02_s1_soc2p5_b2p5,p240_k02_s1_soc2p5_b2p5,exact_cg,k02_s1,2,1,p240,240.0,240.0,2.5,2.5,soc2p5_b2p5,commensurate,True,10.0,10.0,0.0,47,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,/workspace/results/resolution_cost_local_20260820/outputs/rc_p240_k02_s1_soc2p5_b2p5.json,True,wall_limit,False,367401,10412660,6.315443277359009,367729,,,,,,,,1116.08203125,,,120.48842883110046,162,3.748490326008323,109.33921280796858,2381,2428,,,,,,,,,,,False,,
