elapsed_s,iteration,lp_obj,route_weight,artificials,min_rc,pool_columns
2.54,1,18300000.000000,183.000000000,0.000000,-5399910.064000,183
2.82,2,12900089.936000,129.000000000,0.000000,-3499901.136000,211
3.11,3,12900089.936000,129.000000000,0.000000,-4399910.600000,240
3.42,4,11575142.322000,115.750000000,0.000000,-4199899.320000,270
3.71,5,10812675.721000,108.125000000,0.000000,-4699912.504000,287
3.97,6,10185898.630857,101.857142857,0.000000,-3499918.576000,303
4.27,7,9685911.130286,96.857142857,0.000000,-3028463.379429,333
4.58,8,9680754.565778,96.805555556,0.000000,-4108223.510667,358
4.88,9,9518960.172500,95.187500000,0.000000,-3718577.136500,370
5.19,10,9468072.358286,94.678571429,0.000000,-4062333.830000,395
5.50,11,9195594.369556,91.953703704,0.000000,-3583233.308000,422
5.80,12,9168339.541101,91.681159420,0.000000,-3983754.138551,432
6.11,13,9048601.980558,90.483720930,0.000000,-3998023.513209,449
6.46,14,9006482.743722,90.062500000,0.000000,-3293645.916722,468
6.75,15,8938875.058768,89.386342805,0.000000,-3658728.806187,488
7.07,16,8844576.125715,88.443305187,0.000000,-3886605.065464,518
7.39,17,8712147.231330,87.118927973,0.000000,-3592850.710030,548
7.72,18,8631597.386689,86.313394635,0.000000,-3512721.664091,578
8.04,19,8563825.389424,85.635625000,0.000000,-3686312.478336,595
8.33,20,8520492.612517,85.202277294,0.000000,-3353522.322524,619
8.62,21,8436631.930667,84.363636364,0.000000,-3128650.748540,649
8.96,22,8392651.306096,83.923809241,0.000000,-3104681.098373,679
9.26,23,8357251.309757,83.569783975,0.000000,-3354899.126253,705
9.56,24,8259850.101675,82.595762445,0.000000,-3060036.091340,735
9.94,25,8215609.568918,82.153356072,0.000000,-3045195.559632,765
10.28,26,8162922.323102,81.626452218,0.000000,-2797316.874929,795
10.61,27,8084911.723298,80.846346191,0.000000,-3099878.488000,820
10.93,28,7995475.159947,79.951951536,0.000000,-3178035.003496,842
11.23,29,7907888.551999,79.076062884,0.000000,-2910604.221481,872
11.52,30,7824572.546526,78.242885548,0.000000,-2798893.784721,902
11.86,31,7750335.129039,77.500469700,0.000000,-3017516.341058,932
12.19,32,7693280.145404,76.929887855,0.000000,-3101848.627112,961
12.50,33,7641697.517697,76.414060158,0.000000,-3163683.285622,991
12.87,34,7575013.433208,75.747194930,0.000000,-3011654.040517,1021
13.17,35,7537913.605215,75.376185234,0.000000,-3058813.559450,1051
13.54,36,7514801.286485,75.145046118,0.000000,-2646249.038198,1081
13.82,37,7497159.814272,74.968626807,0.000000,-2827595.028291,1104
14.15,38,7474490.414739,74.741928551,0.000000,-2839631.733253,1134
14.54,39,7464398.956683,74.641011106,0.000000,-2743793.210801,1164
14.91,40,7411955.004500,74.116537209,0.000000,-3260401.857750,1192
15.28,41,7384762.422876,73.844601592,0.000000,-3096384.499634,1217
15.64,42,7352829.374351,73.525254670,0.000000,-3045845.108980,1240
16.00,43,7325667.813410,73.253637008,0.000000,-3045873.265755,1264
16.36,44,7265893.447593,72.655867323,0.000000,-2769064.034856,1288
16.73,45,7248448.273750,72.481404424,0.000000,-2871476.620334,1318
17.10,46,7225905.692849,72.255976692,0.000000,-2687430.104899,1347
17.45,47,7183702.288097,71.833931557,0.000000,-2761443.438311,1372
17.87,48,7140239.551126,71.399284490,0.000000,-2997640.470664,1402
18.23,49,7078071.200172,70.777568555,0.000000,-2742411.739575,1432
18.55,50,7025324.409453,70.250084937,0.000000,-2939905.347286,1462
18.87,51,6981390.575236,69.810724111,0.000000,-2702685.022316,1492
19.21,52,6910237.413784,69.099177462,0.000000,-2810780.107536,1522
19.57,53,6894090.689771,68.937700967,0.000000,-2758427.763291,1552
19.90,54,6860528.946357,68.602071844,0.000000,-2674753.864834,1582
20.26,55,6801264.314481,68.009409200,0.000000,-2757424.817810,1612
20.59,56,6769117.621289,67.687929940,0.000000,-2943453.305508,1642
20.91,57,6733989.254168,67.336650155,0.000000,-2820094.539533,1672
21.31,58,6698934.027448,66.986080250,0.000000,-2530623.043838,1702
21.68,59,6665647.591204,66.653194843,0.000000,-2838792.800608,1732
22.02,60,6647842.708164,66.475140870,0.000000,-2947364.904447,1762
22.35,61,6630201.597074,66.298721763,0.000000,-2598169.247831,1792
22.68,62,6594212.664480,65.938810529,0.000000,-2838709.076500,1822
23.04,63,6556562.054459,65.562300572,0.000000,-2653009.203787,1852
23.41,64,6498295.869072,64.979612017,0.000000,-2598071.548289,1882
23.76,65,6436234.857197,64.358976009,0.000000,-2599938.166000,1912
24.10,66,6352713.557661,63.523732984,0.000000,-2682669.913039,1942
24.44,67,6306264.241253,63.059231998,0.000000,-2366081.978335,1972
24.79,68,6244426.189118,62.440834279,0.000000,-2614081.458377,2002
25.15,69,6204228.203058,62.038842324,0.000000,-2605555.385481,2032
25.53,70,6198781.395954,61.984369848,0.000000,-2457775.846892,2062
26.00,71,6192814.662098,61.924699294,0.000000,-2499931.848000,2092
26.38,72,6184503.664554,61.841587411,0.000000,-2510411.057738,2122
26.77,73,6168212.394615,61.678668666,0.000000,-2574304.855734,2152
27.19,74,6145848.368031,61.455023965,0.000000,-2493463.161995,2182
27.64,75,6119859.377915,61.195128816,0.000000,-2656373.944897,2211
28.04,76,6097214.082991,60.968667099,0.000000,-2460202.014339,2236
28.42,77,6081682.870517,60.813348680,0.000000,-2540479.490865,2266
28.83,78,6047825.746937,60.474759191,0.000000,-2685407.058807,2296
29.22,79,6006149.080858,60.057975405,0.000000,-2406301.625605,2326
29.66,80,5942937.866622,59.425826953,0.000000,-2579044.850981,2356
30.08,81,5866602.084549,58.662437131,0.000000,-2630629.988049,2386
30.48,82,5834623.661369,58.342646307,0.000000,-2494849.860075,2416
30.93,83,5810757.434966,58.103974978,0.000000,-2655711.383977,2446
31.32,84,5787644.096560,57.872837473,0.000000,-2441933.588844,2476
31.74,85,5732530.121968,57.321681212,0.000000,-2470693.754686,2506
32.14,86,5654194.176550,56.538283878,0.000000,-2507099.648174,2536
32.55,87,5628947.525838,56.285812474,0.000000,-2415117.931185,2566
33.06,88,5607913.031067,56.075466177,0.000000,-2483766.824075,2596
33.48,89,5548399.616211,55.480306965,0.000000,-2464277.452452,2617
33.95,90,5527495.739788,55.271261360,0.000000,-2453275.298301,2647
34.36,91,5505820.334876,55.054495457,0.000000,-2333813.427986,2677
34.80,92,5479921.079247,54.795492490,0.000000,-2469681.883311,2707
35.24,93,5451551.244299,54.511772503,0.000000,-2422298.106747,2737
35.75,94,5426085.146907,54.257096287,0.000000,-2430441.542597,2767
36.24,95,5403204.241217,54.028283094,0.000000,-2280628.807692,2797
36.66,96,5382261.497959,53.818840991,0.000000,-2316929.814173,2827
37.19,97,5365604.529616,53.652265883,0.000000,-2278095.010867,2857
37.67,98,5347253.689725,53.468737495,0.000000,-2511303.338214,2887
38.17,99,5332004.071505,53.316229428,0.000000,-2457508.712055,2917
38.65,100,5308254.842349,53.078716058,0.000000,-2234946.743981,2940
39.14,101,5273414.887659,52.730284360,0.000000,-2163177.166325,2970
39.58,102,5223300.289302,52.229119807,0.000000,-2302243.350885,3000
40.03,103,5159752.876131,51.593599980,0.000000,-2309855.399761,3030
40.50,104,5120253.119853,51.198601618,0.000000,-2103693.314279,3060
40.94,105,5081742.271843,50.813474623,0.000000,-2097629.664895,3090
41.45,106,5046781.592305,50.463854852,0.000000,-2227039.193791,3120
41.90,107,5015217.669377,50.148202165,0.000000,-2261502.535556,3150
42.42,108,4968181.238096,49.677811554,0.000000,-2313342.505677,3180
42.86,109,4940224.351921,49.398230962,0.000000,-2297369.725949,3210
43.36,110,4921251.006468,49.208486717,0.000000,-2274150.625255,3240
43.98,111,4889199.997186,48.887971744,0.000000,-2240462.711422,3270
44.60,112,4845168.288006,48.447641604,0.000000,-2001849.099285,3300
45.05,113,4815879.829540,48.154725916,0.000000,-2320816.613896,3330
45.57,114,4782792.603324,47.823842778,0.000000,-2102720.807756,3360
46.04,115,4752065.178425,47.516561119,0.000000,-2080788.080232,3390
46.56,116,4703859.574083,47.034493362,0.000000,-2042726.348744,3420
47.01,117,4690060.000172,46.896493665,0.000000,-1909129.618155,3450
47.59,118,4663048.073890,46.626363518,0.000000,-2068429.574550,3480
48.11,119,4644066.492741,46.436539233,0.000000,-2116297.215544,3497
48.61,120,4616925.279766,46.165108719,0.000000,-2075339.512424,3527
49.08,121,4587479.501640,45.870628040,0.000000,-2280712.471633,3557
49.65,122,4549480.489717,45.490621082,0.000000,-2443099.660297,3587
50.18,123,4518039.045956,45.176200817,0.000000,-2260377.532730,3617
50.80,124,4477521.537484,44.771001680,0.000000,-2162959.713459,3647
51.30,125,4450032.904621,44.496103828,0.000000,-1993350.585171,3677
51.93,126,4429994.239203,44.295702237,0.000000,-2093796.252778,3707
52.46,127,4398513.039736,43.980872908,0.000000,-2166512.808105,3737
53.02,128,4371866.212139,43.714382827,0.000000,-2179989.772475,3767
53.54,129,4348468.527157,43.480398368,0.000000,-2037299.787028,3797
54.05,130,4322944.009487,43.225156509,0.000000,-1912450.397940,3827
54.61,131,4304166.288250,43.037381116,0.000000,-1956093.411817,3857
55.19,132,4285512.433372,42.850830841,0.000000,-1995272.099491,3887
55.73,133,4270490.028987,42.700600295,0.000000,-1949781.365676,3917
56.37,134,4247655.774971,42.472246047,0.000000,-2018198.388966,3947
56.94,135,4230153.840232,42.297217830,0.000000,-1888687.964733,3977
57.52,136,4212154.328665,42.117217403,0.000000,-1902736.052504,4007
58.12,137,4195890.314606,41.954571657,0.000000,-1811275.095177,4037
58.67,138,4162044.288623,41.616105719,0.000000,-1792920.617728,4067
59.22,139,4137303.872970,41.368692842,0.000000,-1861332.613572,4097
59.91,140,4097964.295264,40.975270614,0.000000,-2002149.758802,4127
60.53,141,4070422.947677,40.699832569,0.000000,-1888621.488610,4157
61.23,142,4037992.548189,40.375512428,0.000000,-1943766.471223,4187
61.87,143,4021171.875225,40.207286583,0.000000,-1917460.513126,4217
62.44,144,4001015.265501,40.005705491,0.000000,-1878032.915528,4247
63.02,145,3973929.423657,39.734833397,0.000000,-1812466.808493,4277
63.62,146,3936034.807746,39.355869105,0.000000,-1811703.177412,4307
64.22,147,3877964.685185,38.775129765,0.000000,-1893223.109764,4337
64.89,148,3838944.863785,38.384902060,0.000000,-1855720.440155,4367
65.56,149,3778277.423082,37.778188761,0.000000,-1856612.632963,4397
66.24,150,3737647.107857,37.371881909,0.000000,-1919942.203059,4427
66.85,151,3701090.532085,37.006310033,0.000000,-1514132.049456,4457
67.47,152,3636807.361069,36.363456225,0.000000,-1725068.570236,4487
68.05,153,3605817.592810,36.053531609,0.000000,-1633937.777710,4517
68.66,154,3578745.882399,35.782793102,0.000000,-1853031.508150,4547
69.36,155,3532385.657685,35.319159559,0.000000,-1895254.206862,4577
70.02,156,3505386.827173,35.049145867,0.000000,-1793884.761526,4607
70.71,157,3486046.024060,34.855730010,0.000000,-1813662.100651,4637
71.43,158,3457304.154238,34.568303629,0.000000,-1773930.101399,4667
72.08,159,3435762.902684,34.352885155,0.000000,-1549590.873214,4697
72.67,160,3413822.776852,34.133475733,0.000000,-1497304.244891,4727
73.39,161,3383832.565266,33.833567377,0.000000,-1699131.429479,4757
74.03,162,3352225.305575,33.517460612,0.000000,-1840500.750756,4787
74.71,163,3330362.291798,33.298808660,0.000000,-2103714.542033,4817
75.43,164,3305983.289936,33.054993736,0.000000,-1769256.540442,4847
76.01,165,3277010.235553,32.765251095,0.000000,-1747370.312336,4877
76.71,166,3255948.687679,32.554623319,0.000000,-1706803.530836,4907
77.43,167,3233400.673394,32.329134836,0.000000,-1464885.193524,4937
78.10,168,3219213.699654,32.187260168,0.000000,-1653382.670326,4967
78.79,169,3200097.377832,31.996077465,0.000000,-1517714.792781,4997
79.58,170,3168945.158665,31.684518197,0.000000,-1583035.702273,5027
80.33,171,3143860.937323,31.433669261,0.000000,-1508682.942410,5057
80.99,172,3109650.356652,31.091530158,0.000000,-1621810.735601,5087
81.68,173,3076667.217056,30.761697553,0.000000,-1497463.726617,5117
82.42,174,3011257.839833,30.107561448,0.000000,-1567316.044249,5147
83.13,175,2972491.294691,29.719855464,0.000000,-1584583.339539,5177
83.86,176,2947165.441629,29.466553844,0.000000,-1632076.906520,5207
84.54,177,2925965.219971,29.254537938,0.000000,-1580113.338765,5237
85.23,178,2906195.574398,29.056837158,0.000000,-1443937.808368,5267
85.99,179,2877080.383054,28.765662040,0.000000,-1552118.996486,5297
86.77,180,2853360.155039,28.528446495,0.000000,-1719700.175168,5327
87.37,181,2809227.605245,28.087093250,0.000000,-1643410.905322,5357
87.96,182,2771425.475422,27.709053788,0.000000,-1479517.353296,5387
88.64,183,2760995.004640,27.604741576,0.000000,-1548491.844465,5417
89.36,184,2747451.847272,27.469299647,0.000000,-1430079.300635,5447
90.09,185,2730892.971242,27.303701080,0.000000,-1362723.153759,5477
90.85,186,2718582.438992,27.180587127,0.000000,-1689975.003588,5507
91.74,187,2700298.170118,26.997733841,0.000000,-1723750.071695,5537
92.47,188,2680147.190531,26.796211626,0.000000,-1512200.870905,5560
93.24,189,2652904.578714,26.523773230,0.000000,-1420835.035211,5590
93.92,190,2636788.308543,26.362596881,0.000000,-1293361.598059,5620
94.66,191,2625807.521163,26.252783757,0.000000,-1320124.400224,5650
95.36,192,2609835.574843,26.093059498,0.000000,-1336415.520401,5680
96.10,193,2594549.742373,25.940196689,0.000000,-1371196.123327,5710
96.99,194,2572634.814110,25.721018906,0.000000,-1502839.715550,5740
97.75,195,2545271.356117,25.447376292,0.000000,-1293874.348818,5770
98.49,196,2527860.168631,25.273247965,0.000000,-1587091.394604,5800
99.30,197,2507820.627080,25.072837026,0.000000,-1484561.999088,5830
99.91,198,2484802.411681,24.842637553,0.000000,-1567293.305440,5860
100.57,199,2464995.509369,24.644549565,0.000000,-1357591.490856,5890
101.32,200,2451199.776824,24.506586925,0.000000,-1321176.449904,5920
102.17,201,2439030.048555,24.384890311,0.000000,-1466373.134557,5950
103.14,202,2413932.044502,24.133888816,0.000000,-1605567.275693,5980
103.91,203,2395749.877864,23.952056788,0.000000,-1405995.242930,6010
104.74,204,2379542.513373,23.789972690,0.000000,-1204978.078612,6040
