cell,scale,target_fleet,soc_step_kwh,block_min,route_weight,min_rc,certified,iterations,elapsed_h,pool_columns,reaches_target
k02_s1,2,2,15.0,10,2.1818,0,True,212,0.01,2272,False
k02_s1,2,2,5.0,10,2.0000,0,True,265,0.03,5392,True
k02_s1,2,2,2.5,10,2.0000,0,True,262,0.04,5966,True
k02_s1,2,2,1.0,10,2.0000,0,True,195,0.08,4890,True
k02_s1,2,2,1.0,5,2.0000,0,True,250,0.20,5239,True
k02_s2,2,2,15.0,10,2.1875,0,True,93,0.00,548,False
k02_s2,2,2,5.0,10,2.1667,0,True,69,0.00,557,False
k02_s2,2,2,2.5,10,2.1538,0,True,43,0.00,573,False
k02_s2,2,2,1.0,10,2.1538,0,True,30,0.01,452,False
k02_s2,2,2,1.0,5,2.0000,0,True,88,0.03,930,True
k02_s3,2,2,15.0,10,2.2747,0,True,546,0.03,2906,False
k02_s3,2,2,5.0,10,2.1893,0,True,455,0.05,1672,False
k02_s3,2,2,2.5,10,2.1471,0,True,375,0.08,2497,False
k02_s3,2,2,1.0,10,2.1400,0,True,358,0.19,4107,False
k02_s3,2,2,1.0,5,2.0000,0,True,274,0.28,6636,True
k03_s1,3,3,15.0,10,3.1818,0,True,330,0.02,5412,False
k03_s1,3,3,5.0,10,3.0000,0,True,451,0.06,8270,True
k03_s1,3,3,2.5,10,3.0000,0,True,388,0.07,9792,True
k03_s1,3,3,1.0,10,3.0000,0,True,438,0.22,11948,True
k03_s2,3,3,15.0,10,3.4047,0,True,693,0.06,6285,False
k03_s2,3,3,5.0,10,3.3139,0,True,540,0.09,8253,False
k03_s2,3,3,2.5,10,3.2619,0,True,545,0.20,10346,False
k03_s2,3,3,1.0,10,3.2549,0,True,403,0.31,8613,False
k03_s3,3,3,15.0,10,3.0000,0,True,264,0.01,5036,True
k03_s3,3,3,5.0,10,3.0000,0,True,308,0.03,6646,True
k03_s3,3,3,2.5,10,3.0000,0,True,224,0.05,5606,True
k03_s3,3,3,1.0,10,3.0000,0,True,290,0.14,8100,True
k05_s1,5,5,15.0,10,5.3237,0,True,691,0.16,18515,False
k05_s1,5,5,5.0,10,5.2558,0,True,598,0.21,16880,False
k05_s1,5,5,2.5,10,5.1786,0,True,568,0.30,16396,False
k05_s1,5,5,1.0,10,5.1758,0,True,564,0.58,16118,False
k05_s2,5,5,15.0,10,5.0000,0,True,798,0.18,16689,True
k05_s2,5,5,5.0,10,5.0000,0,True,681,0.24,15500,True
k05_s2,5,5,2.5,10,5.0000,0,True,512,0.21,14159,True
k05_s2,5,5,1.0,10,5.0000,0,True,389,0.52,10975,True
k05_s3,5,5,15.0,10,5.0000,0,True,1671,1.42,43297,True
k05_s3,5,5,5.0,10,5.0000,-0.6808,False,1632,2.00,47953,True
k05_s3,5,5,2.5,10,5.0000,-0.000085,False,1436,1.91,37727,True
k05_s3,5,5,1.0,10,5.0000,0,True,1244,1.73,36161,True
