cell_id,scale,selection_replicate,duty_id,grid_index,soc_step,block_min,trip_count,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,duty_ordered_trip_sequence_sha256,local_to_ordered_trip_mapping_json,physics_json,physics_sha256,tariff_sha256,feasible,certificate_certified,certificate_scope,classification,failure_reason,failed_local_from_trip,failed_local_to_trip,failed_ordered_from_trip,failed_ordered_to_trip,physical_replay_status,producer_code_hashes_json
k02_s1,2,1,13310,0,15.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,"[{""local_trip_id"":0,""ordered_trip_id"":881},{""local_trip_id"":1,""ordered_trip_id"":227},{""local_trip_id"":3,""ordered_trip_id"":230},{""local_trip_id"":5,""ordered_trip_id"":889},{""local_trip_id"":7,""ordered_trip_id"":892},{""local_trip_id"":9,""ordered_trip_id"":376},{""local_trip_id"":10,""ordered_trip_id"":383},{""local_trip_id"":11,""ordered_trip_id"":387},{""local_trip_id"":14,""ordered_trip_id"":390},{""local_trip_id"":15,""ordered_trip_id"":797},{""local_trip_id"":16,""ordered_trip_id"":910},{""local_trip_id"":17,""ordered_trip_id"":261},{""local_trip_id"":19,""ordered_trip_id"":266},{""local_trip_id"":21,""ordered_trip_id"":917},{""local_trip_id"":22,""ordered_trip_id"":812},{""local_trip_id"":24,""ordered_trip_id"":270},{""local_trip_id"":26,""ordered_trip_id"":273},{""local_trip_id"":28,""ordered_trip_id"":525},{""local_trip_id"":30,""ordered_trip_id"":528},{""local_trip_id"":32,""ordered_trip_id"":634},{""local_trip_id"":34,""ordered_trip_id"":637},{""local_trip_id"":36,""ordered_trip_id"":728},{""local_trip_id"":37,""ordered_trip_id"":729},{""local_trip_id"":39,""ordered_trip_id"":220}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":15.0}",931d6eb0036865f6cd361a1548724af236f47f28f087be1ece6e6e3b24eba408,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 21->22,21,22,917,812,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13310,1,5.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,"[{""local_trip_id"":0,""ordered_trip_id"":881},{""local_trip_id"":1,""ordered_trip_id"":227},{""local_trip_id"":3,""ordered_trip_id"":230},{""local_trip_id"":5,""ordered_trip_id"":889},{""local_trip_id"":7,""ordered_trip_id"":892},{""local_trip_id"":9,""ordered_trip_id"":376},{""local_trip_id"":10,""ordered_trip_id"":383},{""local_trip_id"":11,""ordered_trip_id"":387},{""local_trip_id"":14,""ordered_trip_id"":390},{""local_trip_id"":15,""ordered_trip_id"":797},{""local_trip_id"":16,""ordered_trip_id"":910},{""local_trip_id"":17,""ordered_trip_id"":261},{""local_trip_id"":19,""ordered_trip_id"":266},{""local_trip_id"":21,""ordered_trip_id"":917},{""local_trip_id"":22,""ordered_trip_id"":812},{""local_trip_id"":24,""ordered_trip_id"":270},{""local_trip_id"":26,""ordered_trip_id"":273},{""local_trip_id"":28,""ordered_trip_id"":525},{""local_trip_id"":30,""ordered_trip_id"":528},{""local_trip_id"":32,""ordered_trip_id"":634},{""local_trip_id"":34,""ordered_trip_id"":637},{""local_trip_id"":36,""ordered_trip_id"":728},{""local_trip_id"":37,""ordered_trip_id"":729},{""local_trip_id"":39,""ordered_trip_id"":220}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":5.0}",16db79eadfbcd99825f93445f3831c81267ce1f11a4c96d1dca68e07fbbe941d,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 24->26,24,26,270,273,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13310,2,2.5,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,"[{""local_trip_id"":0,""ordered_trip_id"":881},{""local_trip_id"":1,""ordered_trip_id"":227},{""local_trip_id"":3,""ordered_trip_id"":230},{""local_trip_id"":5,""ordered_trip_id"":889},{""local_trip_id"":7,""ordered_trip_id"":892},{""local_trip_id"":9,""ordered_trip_id"":376},{""local_trip_id"":10,""ordered_trip_id"":383},{""local_trip_id"":11,""ordered_trip_id"":387},{""local_trip_id"":14,""ordered_trip_id"":390},{""local_trip_id"":15,""ordered_trip_id"":797},{""local_trip_id"":16,""ordered_trip_id"":910},{""local_trip_id"":17,""ordered_trip_id"":261},{""local_trip_id"":19,""ordered_trip_id"":266},{""local_trip_id"":21,""ordered_trip_id"":917},{""local_trip_id"":22,""ordered_trip_id"":812},{""local_trip_id"":24,""ordered_trip_id"":270},{""local_trip_id"":26,""ordered_trip_id"":273},{""local_trip_id"":28,""ordered_trip_id"":525},{""local_trip_id"":30,""ordered_trip_id"":528},{""local_trip_id"":32,""ordered_trip_id"":634},{""local_trip_id"":34,""ordered_trip_id"":637},{""local_trip_id"":36,""ordered_trip_id"":728},{""local_trip_id"":37,""ordered_trip_id"":729},{""local_trip_id"":39,""ordered_trip_id"":220}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":2.5}",9f18294c5836cfa2bcd50d764cf611e02bffcc288ff550648a2a852f399958aa,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 28->30,28,30,525,528,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13310,3,1.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,"[{""local_trip_id"":0,""ordered_trip_id"":881},{""local_trip_id"":1,""ordered_trip_id"":227},{""local_trip_id"":3,""ordered_trip_id"":230},{""local_trip_id"":5,""ordered_trip_id"":889},{""local_trip_id"":7,""ordered_trip_id"":892},{""local_trip_id"":9,""ordered_trip_id"":376},{""local_trip_id"":10,""ordered_trip_id"":383},{""local_trip_id"":11,""ordered_trip_id"":387},{""local_trip_id"":14,""ordered_trip_id"":390},{""local_trip_id"":15,""ordered_trip_id"":797},{""local_trip_id"":16,""ordered_trip_id"":910},{""local_trip_id"":17,""ordered_trip_id"":261},{""local_trip_id"":19,""ordered_trip_id"":266},{""local_trip_id"":21,""ordered_trip_id"":917},{""local_trip_id"":22,""ordered_trip_id"":812},{""local_trip_id"":24,""ordered_trip_id"":270},{""local_trip_id"":26,""ordered_trip_id"":273},{""local_trip_id"":28,""ordered_trip_id"":525},{""local_trip_id"":30,""ordered_trip_id"":528},{""local_trip_id"":32,""ordered_trip_id"":634},{""local_trip_id"":34,""ordered_trip_id"":637},{""local_trip_id"":36,""ordered_trip_id"":728},{""local_trip_id"":37,""ordered_trip_id"":729},{""local_trip_id"":39,""ordered_trip_id"":220}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":1.0}",509213c66cdbab9a61dcda5c58c555aef76aee3e2ff9672ed7a9a5c24614db48,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 28->30,28,30,525,528,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13310,4,1.0,5,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,dcfe4d18847b249928320cf3a081c134eed6730aed99fa38fc738ff43225c583,"[{""local_trip_id"":0,""ordered_trip_id"":881},{""local_trip_id"":1,""ordered_trip_id"":227},{""local_trip_id"":3,""ordered_trip_id"":230},{""local_trip_id"":5,""ordered_trip_id"":889},{""local_trip_id"":7,""ordered_trip_id"":892},{""local_trip_id"":9,""ordered_trip_id"":376},{""local_trip_id"":10,""ordered_trip_id"":383},{""local_trip_id"":11,""ordered_trip_id"":387},{""local_trip_id"":14,""ordered_trip_id"":390},{""local_trip_id"":15,""ordered_trip_id"":797},{""local_trip_id"":16,""ordered_trip_id"":910},{""local_trip_id"":17,""ordered_trip_id"":261},{""local_trip_id"":19,""ordered_trip_id"":266},{""local_trip_id"":21,""ordered_trip_id"":917},{""local_trip_id"":22,""ordered_trip_id"":812},{""local_trip_id"":24,""ordered_trip_id"":270},{""local_trip_id"":26,""ordered_trip_id"":273},{""local_trip_id"":28,""ordered_trip_id"":525},{""local_trip_id"":30,""ordered_trip_id"":528},{""local_trip_id"":32,""ordered_trip_id"":634},{""local_trip_id"":34,""ordered_trip_id"":637},{""local_trip_id"":36,""ordered_trip_id"":728},{""local_trip_id"":37,""ordered_trip_id"":729},{""local_trip_id"":39,""ordered_trip_id"":220}]","{""block_min"":5,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":1.0}",918519d70d1f824506dc1e55add70efbb637d8c3998e672c68b24e4cdd068ebd,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,True,True,optimal_discretized_charging_for_fixed_trip_sequence,representable_in_named_grid,,,,,,validated,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13316m,0,15.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,"[{""local_trip_id"":2,""ordered_trip_id"":885},{""local_trip_id"":4,""ordered_trip_id"":578},{""local_trip_id"":6,""ordered_trip_id"":582},{""local_trip_id"":8,""ordered_trip_id"":241},{""local_trip_id"":12,""ordered_trip_id"":903},{""local_trip_id"":13,""ordered_trip_id"":905},{""local_trip_id"":18,""ordered_trip_id"":610},{""local_trip_id"":20,""ordered_trip_id"":614},{""local_trip_id"":23,""ordered_trip_id"":618},{""local_trip_id"":25,""ordered_trip_id"":622},{""local_trip_id"":27,""ordered_trip_id"":274},{""local_trip_id"":29,""ordered_trip_id"":280},{""local_trip_id"":31,""ordered_trip_id"":932},{""local_trip_id"":33,""ordered_trip_id"":936},{""local_trip_id"":35,""ordered_trip_id"":293},{""local_trip_id"":38,""ordered_trip_id"":436},{""local_trip_id"":40,""ordered_trip_id"":946},{""local_trip_id"":41,""ordered_trip_id"":950},{""local_trip_id"":42,""ordered_trip_id"":319},{""local_trip_id"":43,""ordered_trip_id"":324},{""local_trip_id"":44,""ordered_trip_id"":738},{""local_trip_id"":45,""ordered_trip_id"":740},{""local_trip_id"":46,""ordered_trip_id"":658}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":15.0}",931d6eb0036865f6cd361a1548724af236f47f28f087be1ece6e6e3b24eba408,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 40->41,40,41,946,950,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13316m,1,5.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,"[{""local_trip_id"":2,""ordered_trip_id"":885},{""local_trip_id"":4,""ordered_trip_id"":578},{""local_trip_id"":6,""ordered_trip_id"":582},{""local_trip_id"":8,""ordered_trip_id"":241},{""local_trip_id"":12,""ordered_trip_id"":903},{""local_trip_id"":13,""ordered_trip_id"":905},{""local_trip_id"":18,""ordered_trip_id"":610},{""local_trip_id"":20,""ordered_trip_id"":614},{""local_trip_id"":23,""ordered_trip_id"":618},{""local_trip_id"":25,""ordered_trip_id"":622},{""local_trip_id"":27,""ordered_trip_id"":274},{""local_trip_id"":29,""ordered_trip_id"":280},{""local_trip_id"":31,""ordered_trip_id"":932},{""local_trip_id"":33,""ordered_trip_id"":936},{""local_trip_id"":35,""ordered_trip_id"":293},{""local_trip_id"":38,""ordered_trip_id"":436},{""local_trip_id"":40,""ordered_trip_id"":946},{""local_trip_id"":41,""ordered_trip_id"":950},{""local_trip_id"":42,""ordered_trip_id"":319},{""local_trip_id"":43,""ordered_trip_id"":324},{""local_trip_id"":44,""ordered_trip_id"":738},{""local_trip_id"":45,""ordered_trip_id"":740},{""local_trip_id"":46,""ordered_trip_id"":658}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":5.0}",16db79eadfbcd99825f93445f3831c81267ce1f11a4c96d1dca68e07fbbe941d,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 44->45,44,45,738,740,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13316m,2,2.5,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,"[{""local_trip_id"":2,""ordered_trip_id"":885},{""local_trip_id"":4,""ordered_trip_id"":578},{""local_trip_id"":6,""ordered_trip_id"":582},{""local_trip_id"":8,""ordered_trip_id"":241},{""local_trip_id"":12,""ordered_trip_id"":903},{""local_trip_id"":13,""ordered_trip_id"":905},{""local_trip_id"":18,""ordered_trip_id"":610},{""local_trip_id"":20,""ordered_trip_id"":614},{""local_trip_id"":23,""ordered_trip_id"":618},{""local_trip_id"":25,""ordered_trip_id"":622},{""local_trip_id"":27,""ordered_trip_id"":274},{""local_trip_id"":29,""ordered_trip_id"":280},{""local_trip_id"":31,""ordered_trip_id"":932},{""local_trip_id"":33,""ordered_trip_id"":936},{""local_trip_id"":35,""ordered_trip_id"":293},{""local_trip_id"":38,""ordered_trip_id"":436},{""local_trip_id"":40,""ordered_trip_id"":946},{""local_trip_id"":41,""ordered_trip_id"":950},{""local_trip_id"":42,""ordered_trip_id"":319},{""local_trip_id"":43,""ordered_trip_id"":324},{""local_trip_id"":44,""ordered_trip_id"":738},{""local_trip_id"":45,""ordered_trip_id"":740},{""local_trip_id"":46,""ordered_trip_id"":658}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":2.5}",9f18294c5836cfa2bcd50d764cf611e02bffcc288ff550648a2a852f399958aa,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 45->46,45,46,740,658,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13316m,3,1.0,10,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,"[{""local_trip_id"":2,""ordered_trip_id"":885},{""local_trip_id"":4,""ordered_trip_id"":578},{""local_trip_id"":6,""ordered_trip_id"":582},{""local_trip_id"":8,""ordered_trip_id"":241},{""local_trip_id"":12,""ordered_trip_id"":903},{""local_trip_id"":13,""ordered_trip_id"":905},{""local_trip_id"":18,""ordered_trip_id"":610},{""local_trip_id"":20,""ordered_trip_id"":614},{""local_trip_id"":23,""ordered_trip_id"":618},{""local_trip_id"":25,""ordered_trip_id"":622},{""local_trip_id"":27,""ordered_trip_id"":274},{""local_trip_id"":29,""ordered_trip_id"":280},{""local_trip_id"":31,""ordered_trip_id"":932},{""local_trip_id"":33,""ordered_trip_id"":936},{""local_trip_id"":35,""ordered_trip_id"":293},{""local_trip_id"":38,""ordered_trip_id"":436},{""local_trip_id"":40,""ordered_trip_id"":946},{""local_trip_id"":41,""ordered_trip_id"":950},{""local_trip_id"":42,""ordered_trip_id"":319},{""local_trip_id"":43,""ordered_trip_id"":324},{""local_trip_id"":44,""ordered_trip_id"":738},{""local_trip_id"":45,""ordered_trip_id"":740},{""local_trip_id"":46,""ordered_trip_id"":658}]","{""block_min"":10,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":1.0}",509213c66cdbab9a61dcda5c58c555aef76aee3e2ff9672ed7a9a5c24614db48,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,False,False,fixed_trip_sequence_infeasible_or_unreachable,deterministically_nonrepresentable_in_named_grid,no fixed-duty transition 45->46,45,46,740,658,not_available,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
k02_s1,2,1,13316m,4,1.0,5,47,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,c23ae04b38aa5cfeee1ecbe9ce9a8cfb669889c2390de772481d08b98a6c26fc,"[{""local_trip_id"":2,""ordered_trip_id"":885},{""local_trip_id"":4,""ordered_trip_id"":578},{""local_trip_id"":6,""ordered_trip_id"":582},{""local_trip_id"":8,""ordered_trip_id"":241},{""local_trip_id"":12,""ordered_trip_id"":903},{""local_trip_id"":13,""ordered_trip_id"":905},{""local_trip_id"":18,""ordered_trip_id"":610},{""local_trip_id"":20,""ordered_trip_id"":614},{""local_trip_id"":23,""ordered_trip_id"":618},{""local_trip_id"":25,""ordered_trip_id"":622},{""local_trip_id"":27,""ordered_trip_id"":274},{""local_trip_id"":29,""ordered_trip_id"":280},{""local_trip_id"":31,""ordered_trip_id"":932},{""local_trip_id"":33,""ordered_trip_id"":936},{""local_trip_id"":35,""ordered_trip_id"":293},{""local_trip_id"":38,""ordered_trip_id"":436},{""local_trip_id"":40,""ordered_trip_id"":946},{""local_trip_id"":41,""ordered_trip_id"":950},{""local_trip_id"":42,""ordered_trip_id"":319},{""local_trip_id"":43,""ordered_trip_id"":324},{""local_trip_id"":44,""ordered_trip_id"":738},{""local_trip_id"":45,""ordered_trip_id"":740},{""local_trip_id"":46,""ordered_trip_id"":658}]","{""block_min"":5,""charge_kw"":300.0,""g_kwh"":300.0,""reserve_kwh"":0.0,""soc_step"":1.0}",918519d70d1f824506dc1e55add70efbb637d8c3998e672c68b24e4cdd068ebd,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,True,True,optimal_discretized_charging_for_fixed_trip_sequence,representable_in_named_grid,,,,,,validated,"{""src/audit_scale_ladder_known_membership.py"":""42f1206e6cf2ca73427b2e367d6e408a65c6400ceb930044433ad4128166acd9"",""src/build_scale_ladder_membership_v2.py"":""8a28281ad9405bc0befcbda4591ba7e3d92c362790c3789aee9e6658b8bce953"",""src/expanded_path_realization.py"":""c952a312bf93f1ea38e21968fc4d1bbf5d30831be66faa521a4ccf6358ef3008"",""src/fixed_duty_expanded_optimizer.py"":""c461955bf7c7137d0cd7333fddb397ab8d0da67491d38e93a0751f61b6397cbb"",""src/rerealize_routes.py"":""aeee15ea0ed6587dcbc5d20eca7567f13dccafd2840340fc726ed75c74a73472""}"
