cell_id,instance_id,tariff_id,tier,treatment,route_order,route_id,stop_index,block_index,station,start_min,end_min,realized_kwh,expanded_grid_kwh,price_per_kwh,tariff_hour,tariff_key
TIER0_GIRO_ORIGINAL-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0,TIER0_GIRO_ORIGINAL-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.09920000000000001,12,PARX:12
TIER0_GIRO_ORIGINAL-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0,TIER0_GIRO_ORIGINAL-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.13941581292321398,12,PARX:12
TIER0_GIRO_ORIGINAL-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0,TIER0_GIRO_ORIGINAL-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.17963162584642797,12,PARX:12
TIER0_GIRO_ORIGINAL-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0,TIER0_GIRO_ORIGINAL-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.26006325169285593,12,PARX:12
TIER0_GIRO_ORIGINAL-peak12_alpha_2p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,0,TIER0_GIRO_ORIGINAL-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.42092650338571186,12,PARX:12
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.09920000000000001,12,PARX:12
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.13941581292321398,12,PARX:12
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.17963162584642797,12,PARX:12
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.26006325169285593,12,PARX:12
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_2p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,0,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-0,0,0,PARX_1,720.0,730.0,10.0,10.0,0.42092650338571186,12,PARX:12
