tariff_id,relative_path,sha256,format,spatial,currency,peak_hour,alpha,alpha_family,peak_window_start_hour,peak_window_end_hour,solar_station,solar_start_hour,solar_end_hour,source_flat_sha256,source_peak_sha256,source_tariff_sha256,coverage_end_hour,extension_policy,has_negative_prices,negative_price_policy,availability
flat,data/tariff_response/flat_h26.csv,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,temporal_hourly,False,model_currency_per_kwh,,,,,,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,,1f51f2e1f6ca303838ebaaf6272a28ff2d6bbee97146cb04d330e10f191f8200,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak08,data/tariff_response/peak08_h26.csv,b461f12cf8ca41ba8a89102b32d46ea16b974566ea05849dd75776a7108f341e,temporal_hourly,False,model_currency_per_kwh,8,,,8,9,,,,,,e5a63861eab532f4b72a490874209f66624da9615f1577bb240fbc06c02c7ee4,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12,data/tariff_response/peak12_h26.csv,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,temporal_hourly,False,model_currency_per_kwh,12,,,12,13,,,,,,f2e542d32ec61c1a3613786a31ce10673591f7af50d4e292a44636a5c64b9ec5,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12_alpha_0p0,data/tariff_response/peak12_alpha_0p0_h26.csv,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,temporal_hourly,False,model_currency_per_kwh,12,0.0,peak12,12,13,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12_alpha_0p25,data/tariff_response/peak12_alpha_0p25_h26.csv,18b53e69530b3f75cd1e3f364b497aba6260fe8102b6e0ef4f2301d6493c4517,temporal_hourly,False,model_currency_per_kwh,12,0.25,peak12,12,13,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12_alpha_0p5,data/tariff_response/peak12_alpha_0p5_h26.csv,1c1776c8b380557357fa96b9a812d80b5abbb1fa2c74662da756e30cf94a6b1f,temporal_hourly,False,model_currency_per_kwh,12,0.5,peak12,12,13,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12_alpha_1p0,data/tariff_response/peak12_alpha_1p0_h26.csv,da1768070afaf448741dc535b67239b2396e19f8a9e53acaf3c7f5978f575b2e,temporal_hourly,False,model_currency_per_kwh,12,1.0,peak12,12,13,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
peak12_alpha_2p0,data/tariff_response/peak12_alpha_2p0_h26.csv,2d925a8b8db3d7e491ca03f32f03f9e06bafd0efb10475db56622c3772556bb1,temporal_hourly,False,model_currency_per_kwh,12,2.0,peak12,12,13,,,,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,8b231a2574fd4e3b4dc94873ad2d6515bfaba09e07afefbb1df43d5f775a8381,,26,explicit_last_source_hour_through_hour_26,True,allow_feasible_consumption_no_export,available
peak18,data/tariff_response/peak18_h26.csv,d70c3c3f9c15b82f26e1262fb2067f9fcc5e41d63e9ffbe877d33b5fa16563a6,temporal_hourly,False,model_currency_per_kwh,18,,,18,19,,,,,,186662f6a7a2ff52ad3c7619b647ed83e26a1c44ee088e088dd478474e0056e1,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
sek,data/tariff_response/sek_h26.csv,fb27288445b2c4b2b3099067f491a28336ea2ceb72bc08ceca8b2cff1ce3e753,temporal_hourly,False,SEK_per_kwh,,,,,,,,,,,691f3998810bda5c333cba146f18094edd2a7bd7572d810dcf93eabe9b04be8a,26,explicit_last_source_hour_through_hour_26,False,allow_feasible_consumption_no_export,available
solar_parx_midday_free,data/tariff_response/spatial_solar_parx_midday_free_h26.csv,d459da2813ba8560b9faaea13c49a950d04ceec06436b9716c57b2b3dce85f40,station_hourly,True,model_currency_per_kwh,,,,11,15,PARX,11,15,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,,,26,explicit_flat_base_with_named_station_solar_override,False,allow_feasible_consumption_no_export,available
