cell_id,instance_id,scale,tariff_id,tariff_sha256,tier,treatment,buses,grid_model_objective,continuous_replay_objective,charging_cost,continuous_charging_cost,total_charged_kwh,peak_window_kwh,charging_kwh_by_hour_json,charging_kwh_by_station_json,charging_starts_by_hour_json,terminal_soc_min_kwh,terminal_soc_max_kwh,terminal_surplus_total_kwh,waiting_min,deadhead_min,deadhead_kwh,charging_stops,discretized_certification_status,physical_replay_status,terminal_soc_policy,runtime_preprocessing_s,runtime_master_s,runtime_pricing_s,runtime_postprocessing_s,certificate_scope,continuous_cost_pricing_certified,charging_only_savings_grid,rerouting_increment_grid,total_price_aware_savings_grid,charging_only_savings_continuous,rerouting_increment_continuous,total_price_aware_savings_continuous,fleet_change_from_tier1,analysis_role,primary_response_eligible,terminal_energy_treatment,availability,availability_reason
TIER0_GIRO_ORIGINAL-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p0,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,2,200005.992,200005.992,5.992,5.992,10.0,10.0,"{""12"": 10.0}","{""PARX_1"": 10.0}","{""12"": 1}",50.0,50.0,100.0,20.0,5.0,2.0,1,not_applicable_synthetic,unavailable_synthetic_recorded,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,none_synthetic_recorded,False,,,,,,,,primary,True,reserve_inequality,available,
TIER0_GIRO_ORIGINAL-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p25,18b53e69530b3f75cd1e3f364b497aba6260fe8102b6e0ef4f2301d6493c4517,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,2,200006.39415812923,200006.39415812923,6.39415812923214,6.39415812923214,10.0,10.0,"{""12"": 10.0}","{""PARX_1"": 10.0}","{""12"": 1}",50.0,50.0,100.0,20.0,5.0,2.0,1,not_applicable_synthetic,unavailable_synthetic_recorded,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,none_synthetic_recorded,False,,,,,,,,primary,True,reserve_inequality,available,
TIER0_GIRO_ORIGINAL-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p5,1c1776c8b380557357fa96b9a812d80b5abbb1fa2c74662da756e30cf94a6b1f,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,2,200006.79631625846,200006.79631625846,6.79631625846428,6.79631625846428,10.0,10.0,"{""12"": 10.0}","{""PARX_1"": 10.0}","{""12"": 1}",50.0,50.0,100.0,20.0,5.0,2.0,1,not_applicable_synthetic,unavailable_synthetic_recorded,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,none_synthetic_recorded,False,,,,,,,,primary,True,reserve_inequality,available,
TIER0_GIRO_ORIGINAL-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_1p0,da1768070afaf448741dc535b67239b2396e19f8a9e53acaf3c7f5978f575b2e,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,2,200007.60063251693,200007.60063251693,7.60063251692856,7.60063251692856,10.0,10.0,"{""12"": 10.0}","{""PARX_1"": 10.0}","{""12"": 1}",50.0,50.0,100.0,20.0,5.0,2.0,1,not_applicable_synthetic,unavailable_synthetic_recorded,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,none_synthetic_recorded,False,,,,,,,,primary,True,reserve_inequality,available,
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p0,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,2,200005.7936,200005.7936,5.7936,5.7936,8.0,8.0,"{""12"": 8.0}","{""PARX_1"": 8.0}","{""12"": 1}",50.0,50.0,100.0,16.0,4.0,1.6,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,synthetic_discretized_fixed_duty,False,,,,,,,,primary,True,reserve_inequality,available,
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p25,18b53e69530b3f75cd1e3f364b497aba6260fe8102b6e0ef4f2301d6493c4517,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,2,200006.11532650338,200006.11532650338,6.115326503385711,6.115326503385711,8.0,8.0,"{""12"": 8.0}","{""PARX_1"": 8.0}","{""12"": 1}",50.0,50.0,100.0,16.0,4.0,1.6,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,synthetic_discretized_fixed_duty,False,,,,,,,,primary,True,reserve_inequality,available,
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p5,1c1776c8b380557357fa96b9a812d80b5abbb1fa2c74662da756e30cf94a6b1f,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,2,200006.43705300678,200006.43705300678,6.437053006771424,6.437053006771424,8.0,8.0,"{""12"": 8.0}","{""PARX_1"": 8.0}","{""12"": 1}",50.0,50.0,100.0,16.0,4.0,1.6,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,synthetic_discretized_fixed_duty,False,,,,,,,,primary,True,reserve_inequality,available,
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_1p0,da1768070afaf448741dc535b67239b2396e19f8a9e53acaf3c7f5978f575b2e,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,2,200007.08050601353,200007.08050601353,7.0805060135428475,7.0805060135428475,8.0,8.0,"{""12"": 8.0}","{""PARX_1"": 8.0}","{""12"": 1}",50.0,50.0,100.0,16.0,4.0,1.6,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.0,0.3,0.1,synthetic_discretized_fixed_duty,False,,,,,,,,primary,True,reserve_inequality,available,
TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p0,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,1,100005.5952,100005.5952,5.5952,5.5952,6.0,6.0,"{""12"": 6.0}","{""PARX_1"": 6.0}","{""12"": 1}",50.0,50.0,50.0,12.0,3.0,1.2,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.2,0.3,0.1,synthetic_finite_augmented_pool,False,,,,,,,-1,primary,True,reserve_inequality,partial,decomposition_unavailable_fleet_or_terminal_policy_changed
TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,2,peak12_alpha_0p25,18b53e69530b3f75cd1e3f364b497aba6260fe8102b6e0ef4f2301d6493c4517,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,1,100005.83649487754,100005.83649487754,5.836494877539284,5.836494877539284,6.0,6.0,"{""12"": 6.0}","{""PARX_1"": 6.0}","{""12"": 1}",50.0,50.0,50.0,12.0,3.0,1.2,1,synthetic_certificate_fixture,validated_all_routes,depot_arrival_soc_at_least_reserve,0.1,0.2,0.3,0.1,synthetic_finite_augmented_pool,False,,,,,,,-1,primary,True,reserve_inequality,partial,decomposition_unavailable_fleet_or_terminal_policy_changed
