instance_id,tier,treatment,metric,alpha_left,alpha_right,arc_elasticity,analysis_role
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,peak_window_kwh,0.25,0.5,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,charging_cost,0.25,0.5,0.0628946174154806,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,peak_window_kwh,0.5,1.0,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER0_GIRO_ORIGINAL,GIRO_ORIGINAL,charging_cost,0.5,1.0,0.11834591385628448,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,peak_window_kwh,0.25,0.5,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,charging_cost,0.25,0.5,0.052609865263545746,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,peak_window_kwh,0.5,1.0,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER1_FIXED_GIRO_OPTIMIZED_CHARGING,FIXED_GIRO,charging_cost,0.5,1.0,0.09996080599220582,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,peak_window_kwh,0.25,0.5,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,charging_cost,0.25,0.5,0.04134242942075806,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,peak_window_kwh,0.5,1.0,0.0,primary
SYNTHETIC-k2-NOT-SCIENTIFIC,TIER2_GIRO40_AUGMENTED_ROUTE_CHARGING,GIRO40-AUGMENTED,charging_cost,0.5,1.0,0.07940217982619723,primary
