case_id,trip_count,station_count,route_count,lp_agrees,integer_agrees,agreement,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0000,11,2,962,True,True,True,132,7,3725,1.1692230550033855
random_0001,11,1,108,True,True,True,45,1,1002,0.056776464996801224
random_0002,13,2,2253,True,True,True,157,4,3786,0.5683378490066389
random_0003,12,2,143,True,True,True,50,2,1534,0.08134649400017224
random_0004,13,1,110,True,True,True,36,1,893,0.06154665700159967
random_0005,11,2,1516,True,True,True,110,4,3051,0.6532159429989406
random_0006,14,2,8880,True,False,False,189,5,4652,1.4415098300014506
random_0007,13,2,7423,True,True,True,23,1,4663,0.9600162220012862
random_0008,8,2,181,True,True,True,62,3,1584,0.1447819780005375
random_0009,13,2,811,True,False,False,119,2,3097,0.45027571500395425
random_0010,13,1,45,True,True,True,25,1,758,0.035007316000701394
random_0011,11,2,1267,True,True,True,116,3,3330,0.5417535390006378
random_0012,11,2,1425,True,True,True,98,2,3408,0.5512407269998221
random_0013,8,1,154,True,True,True,33,3,851,0.12244087799626868
random_0014,14,1,1232,True,True,True,138,7,1800,0.35531777900177985
random_0015,11,1,619,True,True,True,38,3,1663,0.15008529199985787
random_0016,11,2,790,True,True,True,72,3,2641,0.6336029470039648
random_0017,11,2,772,True,True,True,54,2,2548,0.631461199001933
random_0018,13,1,706,True,True,True,95,7,1367,0.1849873840037617
random_0019,13,2,1302,True,False,False,78,3,2649,0.3059391080023488
random_0020,9,1,64,True,True,True,39,1,675,0.031840045005083084
random_0021,11,2,218,True,True,True,38,1,2154,0.1810716570034856
random_0022,11,2,1375,True,False,False,54,3,2544,0.2917020560053061
random_0023,12,1,630,True,False,False,57,5,1339,0.17270980000466807
random_0024,14,1,6442,True,True,True,51,1,2699,0.5301659050019225
random_0025,11,1,983,True,True,True,111,3,1648,0.24788154300040333
random_0026,8,1,160,True,True,True,51,3,1105,0.10880107800039696
random_0027,12,1,648,True,True,True,60,1,1504,0.18584671599819558
random_0028,14,1,1382,True,True,True,170,6,1996,0.5586187950029853
random_0029,11,2,203,True,True,True,60,1,1754,0.18389284099976066
random_0030,12,2,1923,True,False,False,128,6,3892,0.6604598400008399
random_0031,9,1,189,True,True,True,33,1,1003,0.08438767300685868
random_0032,12,1,1689,True,True,True,111,3,2420,0.4726415650002309
random_0033,12,1,1136,True,False,False,119,3,2220,0.6398360949970083
random_0034,9,2,166,True,True,True,26,1,1055,0.09533546800230397
random_0035,9,1,112,True,True,True,31,1,748,0.05346840899437666
random_0036,13,1,3000,True,True,True,67,3,2459,0.40737851999438135
random_0037,13,1,758,True,True,True,118,21,1728,1.1704072860011365
random_0038,8,1,104,True,True,True,34,2,815,0.07399631600128487
random_0039,12,1,1934,True,False,False,74,6,2181,0.42404795000038575
random_0040,8,1,47,True,True,True,33,1,543,0.03636358000221662
random_0041,9,1,208,True,True,True,49,3,934,0.11303948299610056
random_0042,9,2,424,True,True,True,90,6,1997,0.3991803999961121
random_0043,8,2,226,True,True,True,48,4,1883,0.49945834000391187
random_0044,11,2,373,True,True,True,76,4,1662,0.2005280869998387
random_0045,10,2,618,True,True,True,59,4,2461,0.316906480002217
random_0046,10,2,815,True,True,True,124,4,3168,0.9006911120013683
random_0047,14,1,6847,True,True,True,201,4,3639,1.0234104480041424
random_0048,14,2,8096,True,False,False,185,7,5329,2.103261627999018
random_0049,10,1,319,True,True,True,87,4,1019,0.15551657800097018
random_0050,11,2,947,True,True,True,29,1,2537,0.2878557020012522
random_0051,10,2,799,True,True,True,87,2,2943,0.6136815749996458
random_0052,8,1,21,True,True,True,18,1,433,0.02933319899602793
random_0053,9,1,223,True,True,True,62,5,1230,0.2970936960045947
random_0054,13,1,343,True,True,True,77,2,1578,0.34000929100147914
random_0055,11,2,859,True,True,True,107,3,3133,0.8028376740039675
random_0056,12,1,42,True,True,True,24,1,446,0.02342312900145771
random_0057,11,1,807,True,True,True,126,2,1748,0.3057942480008933
random_0058,11,2,1257,True,True,True,104,4,4067,0.8975712760002352
random_0059,11,1,607,True,True,True,70,5,1644,0.5265379389966256
random_0060,10,1,57,True,True,True,27,1,348,0.024817529003485106
random_0061,14,2,15357,True,True,True,199,11,7575,3.801992562999658
random_0062,8,2,46,True,True,True,37,1,385,0.03833027699874947
random_0063,13,1,5322,True,True,True,55,1,2632,0.958275135999429
random_0064,12,1,140,True,True,True,35,1,820,0.045987265002622735
random_0065,12,1,373,True,True,True,45,1,1227,0.09813350899639772
random_0066,10,1,88,True,True,True,43,1,769,0.0532311050046701
random_0067,12,1,287,True,False,False,89,18,1286,0.2429997240033117
