case_id,trip_count,station_count,route_count,soc_step,delayed_charging,tariff_shape,station_reachability_density,lp_agrees,integer_agrees,pricing_agrees,agreement,pricing_samples,pricing_max_absolute_error,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0000,11,2,57,0.5,False,flat,0.25,True,True,True,True,32,5.820766091346741e-11,29,1,209,0.034600212005898356
random_0001,11,1,352,0.5,False,time_varying,0.6363636363636364,True,False,True,False,32,5.820766091346741e-11,57,3,464,0.07440496899653226
random_0002,13,2,376,1.0,True,flat,0.3076923076923077,True,False,True,False,32,1.1641532182693481e-10,104,12,1297,0.22192641800211277
random_0003,12,2,1224,2.0,False,flat,0.5833333333333334,True,True,True,True,32,7.275957614183426e-11,144,6,1439,0.33890139100549277
random_0004,13,1,227,1.0,False,flat,0.5,True,True,True,True,32,4.3655745685100555e-11,50,1,407,0.04514333100087242
random_0005,11,2,1141,2.0,False,flat,0.6363636363636364,True,True,True,True,32,7.275957614183426e-11,61,3,1012,0.1698765680048382
random_0006,14,2,4813,2.0,True,time_varying,0.625,True,True,True,True,32,1.1641532182693481e-10,37,1,3932,1.1047401949981577
random_0007,13,2,5397,2.0,True,time_varying,0.7884615384615384,True,False,True,False,32,5.820766091346741e-11,102,5,4388,1.1891573769971728
random_0008,8,2,121,1.0,False,flat,0.625,True,True,True,True,32,5.820766091346741e-11,27,1,486,0.05112462100078119
random_0009,13,2,8191,1.0,True,flat,0.8653846153846154,True,True,True,True,32,5.093170329928398e-11,31,1,6310,1.7745492959948024
random_0010,13,1,423,1.0,True,flat,0.5384615384615384,True,True,True,True,32,5.820766091346741e-11,42,1,1202,0.1088281510019442
random_0011,11,2,1057,1.0,True,time_varying,0.75,True,True,True,True,32,5.820766091346741e-11,49,1,2685,0.2913916550023714
random_0012,11,2,1293,1.0,True,time_varying,0.6363636363636364,True,True,True,True,32,1.7462298274040222e-10,82,4,3043,0.6818827250026516
random_0013,8,1,145,2.0,False,flat,0.5,True,True,True,True,32,5.820766091346741e-11,35,4,335,0.06794177000119817
random_0014,14,1,982,0.5,False,flat,0.35714285714285715,True,True,True,True,32,5.820766091346741e-11,150,5,471,0.1982592489948729
random_0015,11,1,903,0.5,False,time_varying,0.7272727272727273,True,True,True,True,32,1.1641532182693481e-10,83,5,688,0.16489961699699052
random_0016,11,2,470,0.5,True,time_varying,0.4090909090909091,True,True,True,True,32,5.820766091346741e-11,82,5,2003,0.5373459209949942
random_0017,11,2,1067,1.0,True,time_varying,0.6136363636363636,True,True,True,True,32,1.7462298274040222e-10,110,4,3089,0.597793125998578
random_0018,13,1,1133,0.5,False,flat,0.6923076923076923,True,True,True,True,32,1.1641532182693481e-10,106,1,391,0.09814238199760439
random_0019,13,2,1079,1.0,True,time_varying,0.4807692307692308,True,False,True,False,32,1.1641532182693481e-10,125,2,2216,0.44100382900069235
random_0020,9,1,29,0.5,False,flat,0.2222222222222222,True,True,True,True,32,2.9103830456733704e-11,24,2,119,0.029749989000265487
random_0021,11,2,1120,0.5,True,time_varying,0.7727272727272727,True,True,True,True,32,5.820766091346741e-11,64,3,3028,0.4120742729937774
random_0022,11,2,1709,2.0,True,flat,0.8181818181818182,True,True,True,True,32,1.7462298274040222e-10,86,3,3164,0.5726840860006632
random_0023,12,1,1035,0.5,True,flat,0.75,True,True,True,True,32,1.7462298274040222e-10,109,1,1496,0.23927804399863817
random_0024,14,1,10619,0.5,True,flat,0.8928571428571429,True,False,True,False,32,3.4924596548080444e-10,198,7,3490,1.6903560599967022
random_0025,11,1,1023,1.0,True,flat,0.9545454545454546,True,False,True,False,32,5.820766091346741e-11,113,5,1737,0.40304314200329827
random_0026,8,1,116,1.0,False,time_varying,0.5,True,True,True,True,32,5.820766091346741e-11,51,4,274,0.061218709000968374
random_0027,12,1,476,0.5,False,flat,0.3333333333333333,True,True,True,True,32,5.820766091346741e-11,67,1,385,0.07513004499924136
random_0028,14,1,598,0.5,False,flat,0.42857142857142855,True,True,True,True,32,1.1641532182693481e-10,70,1,461,0.07509737399959704
random_0029,11,2,203,2.0,True,time_varying,0.29545454545454547,True,True,True,True,32,5.820766091346741e-11,63,1,1754,0.21022763600194594
random_0030,12,2,908,1.0,True,flat,0.7083333333333334,True,True,True,True,32,1.1641532182693481e-10,50,2,2346,0.2957266540033743
random_0031,9,1,219,1.0,False,flat,0.7222222222222222,True,False,True,False,32,5.820766091346741e-11,65,4,408,0.07872759100428084
random_0032,12,1,769,1.0,True,flat,0.625,True,True,True,True,32,1.1641532182693481e-10,84,1,1732,0.24460964900208637
random_0033,12,1,774,0.5,True,time_varying,0.6666666666666666,True,True,True,True,32,1.1641532182693481e-10,103,9,1860,0.43789224499778356
random_0034,9,2,129,2.0,False,time_varying,0.6388888888888888,True,True,True,True,32,5.820766091346741e-11,30,2,630,0.057555204002710525
random_0035,9,1,69,1.0,False,flat,0.5555555555555556,True,True,True,True,32,2.9103830456733704e-11,21,1,164,0.024495459998433944
random_0036,13,1,2185,1.0,True,time_varying,0.8461538461538461,True,True,True,True,32,1.1641532182693481e-10,99,5,2273,0.4882632719964022
