time,2.10.25,1.10.25,30.9.25,29.9.25,28.9.25,27.9.25,26.9.25
23:00 - 23:15,933.22,556.68,278.63,240.02,257.53,348.93,550.04
23:15 - 23:30,854.22,519.88,278.63,240.02,257.53,348.93,550.04
23:30 - 23:45,809.54,508.28,278.63,240.02,257.53,348.93,550.04
23:45 - 00:00,811.74,509.93,278.63,240.02,257.53,348.93,550.04
00:00 - 00:15,835.13,501.64,261.85,236.39,254.67,352.9,527.62
00:15 - 00:30,828.85,509.05,261.85,236.39,254.67,352.9,527.62
00:30 - 00:45,796.63,491.03,261.85,236.39,254.67,352.9,527.62
00:45 - 01:00,706.7,442.07,261.85,236.39,254.67,352.9,527.62
01:00 - 01:15,695.23,504.08,242.43,232.98,267.33,376.09,465.66
01:15 - 01:30,695.12,504.85,242.43,232.98,267.33,376.09,465.66
01:30 - 01:45,684.86,504.3,242.43,232.98,267.33,376.09,465.66
01:45 - 02:00,673.05,506.29,242.43,232.98,267.33,376.09,465.66
02:00 - 02:15,695.01,442.07,322.65,239.69,268.43,390.55,581.08
02:15 - 02:30,693.35,441.96,322.65,239.69,268.43,390.55,581.08
02:30 - 02:45,702.4,442.07,322.65,239.69,268.43,390.55,581.08
02:45 - 03:00,749.4,442.07,322.65,239.69,268.43,390.55,581.08
03:00 - 03:15,796.85,441.96,243.2,247.51,243.43,388.01,704.78
03:15 - 03:30,811.19,483.3,243.2,247.51,243.43,388.01,704.78
03:30 - 03:45,803.8,484.29,243.2,247.51,243.43,388.01,704.78
03:45 - 04:00,839.11,574.7,243.2,247.51,243.43,388.01,704.78
04:00 - 04:15,825.2,543.31,596.53,245.2,251.58,392.21,771.83
04:15 - 04:30,838.78,578.01,596.53,245.2,251.58,392.21,771.83
04:30 - 04:45,906.19,774.96,596.53,245.2,251.58,392.21,771.83
04:45 - 05:00,1057.79,787.0,596.53,245.2,251.58,392.21,771.83
05:00 - 05:15,912.15,902.38,899.77,609.19,234.41,363.06,1064.96
05:15 - 05:30,1131.28,1079.32,899.77,609.19,234.41,363.06,1064.96
05:30 - 05:45,1294.68,1222.67,899.77,609.19,234.41,363.06,1064.96
05:45 - 06:00,1625.8,1394.63,899.77,609.19,234.41,363.06,1064.96
06:00 - 06:15,1649.31,1529.36,1909.0,1243.49,250.48,364.94,1272.39
06:15 - 06:30,1831.25,1724.53,1909.0,1243.49,250.48,364.94,1272.39
06:30 - 06:45,1743.31,1809.96,1909.0,1243.49,250.48,364.94,1272.39
