SL,ST,ET,EL,Energy used
4808,7:11,8:11,2190,42.5
4808,7:01,8:01,2190,42.5
4808,6:42,7:40,2190,42.5
4808,20:57,21:49,2190,42.5
4808,12:14,13:09,2190,42.5
4808,11:24,12:19,2190,42.5
4808,16:08,17:07,2190,42.5
4808,8:46,9:42,2190,42.5
4808,5:46,6:38,2190,42.5
4808,6:06,6:59,2190,42.5
4808,7:21,8:21,2190,42.5
4808,7:31,8:31,2190,42.5
4808,12:54,13:50,2190,42.5
4808,22:36,23:27,2190,42.5
4808,23:16,24:06,2190,42.5
4808,14:36,15:32,2190,42.5
4808,9:44,10:39,2190,42.5
4808,14:56,15:53,2190,42.5
4808,9:54,10:49,2190,42.5
4808,22:16,23:07,2190,42.5
2190,10:49,11:47,4808,41.7299995
2190,17:22,18:20,4808,41.7299995
2190,20:04,21:00,4808,41.7299995
2190,22:10,23:05,4808,41.7299995
2190,18:49,19:45,4808,41.7299995
2190,12:09,13:07,4808,41.7299995
4808,15:47,16:46,2190,42.5
2190,19:34,20:30,4808,41.7299995
4808,7:52,8:52,2190,42.5
4808,15:57,16:56,2190,42.5
4808,11:34,12:29,2190,42.5
4808,18:27,19:20,2190,42.5
4808,14:46,15:43,2190,42.5
4808,14:16,15:12,2190,42.5
4808,24:36,25:26,2190,42.5
4808,11:54,12:49,2190,42.5
4808,19:13,20:06,2190,42.5
4808,10:54,11:49,2190,42.5
4808,17:47,18:41,2190,42.5
4808,19:57,20:49,2190,42.5
4808,19:42,20:34,2190,42.5
4808,5:25,6:16,2190,42.5
4808,20:42,21:34,2190,42.5
4808,24:06,24:56,2190,42.5
4808,8:56,9:52,2190,42.5
4808,12:24,13:20,2190,42.5
4808,12:44,13:40,2190,42.5
4808,16:58,17:55,2190,42.5
4808,10:44,11:39,2190,42.5
4808,11:14,12:09,2190,42.5
4808,8:15,9:14,2190,42.5
4808,17:27,18:22,2190,42.5
4808,21:56,22:48,2190,42.5
4808,17:37,18:31,2190,42.5
4808,13:14,14:10,2190,42.5
4808,18:07,19:01,2190,42.5
4808,13:44,14:40,2190,42.5
4808,16:28,17:27,2190,42.5
4808,9:16,10:11,2190,42.5
4808,13:34,14:30,2190,42.5
4808,20:27,21:19,2190,42.5
4808,8:36,9:33,2190,42.5
4808,9:26,10:21,2190,42.5
4808,12:04,12:59,2190,42.5
4808,15:16,16:14,2190,42.5
2190,13:30,14:29,4808,41.7299995
2190,13:50,14:49,4808,41.7299995
2190,4:27,5:19,4808,41.7299995
2190,6:48,7:45,4808,41.7299995
2190,4:47,5:39,4808,41.7299995
2190,5:58,6:53,4808,41.7299995
2190,10:30,11:27,4808,41.7299995
2190,5:07,5:59,4808,41.7299995
2190,16:18,17:21,4808,41.7299995
2190,6:18,7:14,4808,41.7299995
2190,17:32,18:30,4808,41.7299995
2190,20:20,21:15,4808,41.7299995
2190,6:28,7:24,4808,41.7299995
2190,5:26,6:19,4808,41.7299995
2190,14:48,15:50,4808,41.7299995
2190,14:28,15:30,4808,41.7299995
2190,8:20,9:19,4808,41.7299995
2190,12:49,13:47,4808,41.7299995
2190,13:40,14:39,4808,41.7299995
2190,10:00,10:57,4808,41.7299995
2190,11:19,12:17,4808,41.7299995
2190,11:39,12:37,4808,41.7299995
2190,14:19,15:20,4808,41.7299995
2190,17:41,18:38,4808,41.7299995
2190,20:35,21:30,4808,41.7299995
2190,8:09,9:09,4808,41.7299995
2190,19:19,20:15,4808,41.7299995
2190,12:19,13:17,4808,41.7299995
2190,16:49,17:50,4808,41.7299995
2190,10:59,11:57,4808,41.7299995
2190,16:09,17:11,4808,41.7299995
2190,22:50,23:43,4808,41.7299995
2190,12:39,13:37,4808,41.7299995
2190,19:49,20:45,4808,41.7299995
2190,22:30,23:24,4808,41.7299995
2190,18:36,19:32,4808,41.7299995
2190,23:32,24:23,4808,41.7299995
2190,15:09,16:11,4808,41.7299995
2190,23:10,24:01,4808,41.7299995
2190,15:29,16:32,4808,41.7299995
2190,21:50,22:45,4808,41.7299995
2190,21:30,22:25,4808,41.7299995
2190,14:59,16:01,4808,41.7299995
2190,7:49,8:49,4808,41.7299995
2190,6:38,7:35,4808,41.7299995
2190,8:40,9:39,4808,41.7299995
2190,8:50,9:49,4808,41.7299995
2190,9:50,10:47,4808,41.7299995
2190,21:10,22:05,4808,41.7299995
2190,8:00,8:59,4808,41.7299995
2190,10:40,11:37,4808,41.7299995
4808,16:38,17:37,2190,42.5
4808,20:12,21:04,2190,42.5
4808,18:56,19:49,2190,42.5
4808,18:42,19:35,2190,42.5
4808,22:56,23:47,2190,42.5
2190,14:38,15:40,4808,41.7299995
2190,18:02,18:59,4808,41.7299995
2190,15:19,16:22,4808,41.7299995
2190,19:04,20:00,4808,41.7299995
2190,13:20,14:19,4808,41.7299995
4808,17:57,18:51,2190,42.5
4808,17:18,18:14,2190,42.5
4808,15:06,16:04,2190,42.5
4808,16:18,17:17,2190,42.5
4808,21:36,22:28,2190,42.5
4808,17:08,18:04,2190,42.5
4808,13:04,14:00,2190,42.5
4808,14:26,15:22,2190,42.5
4808,10:24,11:19,2190,42.5
4808,13:54,14:50,2190,42.5
4808,7:42,8:42,2190,42.5
4808,8:03,9:03,2190,42.5
4808,8:26,9:24,2190,42.5
4808,9:06,10:02,2190,42.5
4808,18:17,19:10,2190,42.5
4808,13:24,14:20,2190,42.5
4808,15:37,16:36,2190,42.5
4808,21:12,22:04,2190,42.5
4808,12:34,13:30,2190,42.5
4808,9:36,10:31,2190,42.5
4808,19:28,20:20,2190,42.5
4808,11:04,11:59,2190,42.5
4808,10:14,11:09,2190,42.5
4808,16:48,17:46,2190,42.5
4808,10:34,11:29,2190,42.5
4808,11:44,12:39,2190,42.5
4808,4:30,5:21,2190,42.5
4808,4:50,5:41,2190,42.5
4808,5:10,6:01,2190,42.5
4808,23:36,24:26,2190,42.5
4808,5:36,6:27,2190,42.5
4808,10:04,10:59,2190,42.5
4808,5:56,6:48,2190,42.5
4808,14:06,15:02,2190,42.5
4808,6:16,7:10,2190,42.5
4808,6:34,7:31,2190,42.5
4808,15:27,16:26,2190,42.5
4808,6:51,7:49,2190,42.5
2190,25:03,25:53,4808,41.7299995
2190,11:49,12:47,4808,41.7299995
2190,15:38,16:41,4808,41.7299995
2190,13:01,13:59,4808,41.7299995
2190,18:12,19:09,4808,41.7299995
2190,14:10,15:09,4808,41.7299995
2190,16:28,17:30,4808,41.7299995
2190,9:40,10:37,4808,41.7299995
2190,17:00,18:00,4808,41.7299995
2190,10:20,11:17,4808,41.7299995
2190,12:29,13:27,4808,41.7299995
2190,17:11,18:10,4808,41.7299995
2190,7:09,8:08,4808,41.7299995
2190,11:29,12:27,4808,41.7299995
2190,15:48,16:51,4808,41.7299995
2190,13:11,14:09,4808,41.7299995
2190,18:25,19:21,4808,41.7299995
2190,24:32,25:23,4808,41.7299995
2190,8:59,9:57,4808,41.7299995
2190,14:00,14:59,4808,41.7299995
2190,20:50,21:45,4808,41.7299995
2190,15:58,17:01,4808,41.7299995
2190,11:59,12:57,4808,41.7299995
2190,24:02,24:53,4808,41.7299995
2190,16:39,17:40,4808,41.7299995
2190,17:51,18:48,4808,41.7299995
4808,6:26,7:20,2190,42.5
2190,10:10,11:07,4808,41.7299995
2190,6:58,7:56,4808,41.7299995
2190,7:20,8:19,4808,41.7299995
2190,7:39,8:39,4808,41.7299995
2190,7:29,8:29,4808,41.7299995
2190,9:20,10:17,4808,41.7299995
2190,11:09,12:07,4808,41.7299995
2190,8:30,9:29,4808,41.7299995
2190,5:44,6:37,4808,41.7299995
2190,6:08,7:03,4808,41.7299995
2190,9:09,10:07,4808,41.7299995
2190,9:30,10:27,4808,41.7299995
13311,7:21,7:27,PC_7,3.87599993
JON_A,6:45,6:57,PC_7,10.2659998
