TripID,Route,Direction,Start_Loc,Start_Zip,Start_Time,End_Time,End_Loc,End_Zip,Distance,Energy
0,5021,1,2190,,4:27,5:19,4808,,20.865,41.7299995
1,5021,2,4808,,4:30,5:21,2190,,21.25,42.5
2,5021,1,2190,,4:47,5:39,4808,,20.865,41.7299995
3,5021,2,4808,,4:50,5:41,2190,,21.25,42.5
4,5021,1,2190,,5:07,5:59,4808,,20.865,41.7299995
5,5021,2,4808,,5:10,6:01,2190,,21.25,42.5
6,5021,2,4808,,5:25,6:16,2190,,21.25,42.5
7,5021,1,2190,,5:26,6:19,4808,,20.865,41.7299995
8,5021,2,4808,,5:36,6:27,2190,,21.25,42.5
9,5021,1,2190,,5:44,6:37,4808,,20.865,41.7299995
10,5021,2,4808,,5:46,6:38,2190,,21.25,42.5
11,5021,2,4808,,5:56,6:48,2190,,21.25,42.5
12,5021,1,2190,,5:58,6:53,4808,,20.865,41.7299995
13,5021,2,4808,,6:06,6:59,2190,,21.25,42.5
14,5021,1,2190,,6:08,7:03,4808,,20.865,41.7299995
15,5021,2,4808,,6:16,7:10,2190,,21.25,42.5
16,5021,1,2190,,6:18,7:14,4808,,20.865,41.7299995
17,5021,2,4808,,6:26,7:20,2190,,21.25,42.5
18,5021,1,2190,,6:28,7:24,4808,,20.865,41.7299995
19,5021,2,4808,,6:34,7:31,2190,,21.25,42.5
20,5021,1,2190,,6:38,7:35,4808,,20.865,41.7299995
21,5021,2,4808,,6:42,7:40,2190,,21.25,42.5
22,5021,1,2190,,6:48,7:45,4808,,20.865,41.7299995
23,5021,2,4808,,6:51,7:49,2190,,21.25,42.5
24,5021,1,2190,,6:58,7:56,4808,,20.865,41.7299995
25,5021,2,4808,,7:01,8:01,2190,,21.25,42.5
26,5021,1,2190,,7:09,8:08,4808,,20.865,41.7299995
27,5021,2,4808,,7:11,8:11,2190,,21.25,42.5
28,5021,1,2190,,7:20,8:19,4808,,20.865,41.7299995
29,5021,2,4808,,7:21,8:21,2190,,21.25,42.5
30,5021,1,2190,,7:29,8:29,4808,,20.865,41.7299995
31,5021,2,4808,,7:31,8:31,2190,,21.25,42.5
32,5021,1,2190,,7:39,8:39,4808,,20.865,41.7299995
33,5021,2,4808,,7:42,8:42,2190,,21.25,42.5
34,5021,1,2190,,7:49,8:49,4808,,20.865,41.7299995
35,5021,2,4808,,7:52,8:52,2190,,21.25,42.5
36,5021,1,2190,,8:00,8:59,4808,,20.865,41.7299995
37,5021,2,4808,,8:03,9:03,2190,,21.25,42.5
38,5021,1,2190,,8:09,9:09,4808,,20.865,41.7299995
39,5021,2,4808,,8:15,9:14,2190,,21.25,42.5
40,5021,1,2190,,8:20,9:19,4808,,20.865,41.7299995
41,5021,2,4808,,8:26,9:24,2190,,21.25,42.5
42,5021,1,2190,,8:30,9:29,4808,,20.865,41.7299995
43,5021,2,4808,,8:36,9:33,2190,,21.25,42.5
44,5021,1,2190,,8:40,9:39,4808,,20.865,41.7299995
45,5021,2,4808,,8:46,9:42,2190,,21.25,42.5
46,5021,1,2190,,8:50,9:49,4808,,20.865,41.7299995
47,5021,2,4808,,8:56,9:52,2190,,21.25,42.5
48,5021,1,2190,,8:59,9:57,4808,,20.865,41.7299995
49,5021,2,4808,,9:06,10:02,2190,,21.25,42.5
50,5021,1,2190,,9:09,10:07,4808,,20.865,41.7299995
51,5021,2,4808,,9:16,10:11,2190,,21.25,42.5
52,5021,1,2190,,9:20,10:17,4808,,20.865,41.7299995
53,5021,2,4808,,9:26,10:21,2190,,21.25,42.5
54,5021,1,2190,,9:30,10:27,4808,,20.865,41.7299995
55,5021,2,4808,,9:36,10:31,2190,,21.25,42.5
56,5021,1,2190,,9:40,10:37,4808,,20.865,41.7299995
57,5021,2,4808,,9:44,10:39,2190,,21.25,42.5
58,5021,1,2190,,9:50,10:47,4808,,20.865,41.7299995
59,5021,2,4808,,9:54,10:49,2190,,21.25,42.5
60,5021,1,2190,,10:00,10:57,4808,,20.865,41.7299995
61,5021,2,4808,,10:04,10:59,2190,,21.25,42.5
62,5021,1,2190,,10:10,11:07,4808,,20.865,41.7299995
63,5021,2,4808,,10:14,11:09,2190,,21.25,42.5
64,5021,1,2190,,10:20,11:17,4808,,20.865,41.7299995
65,5021,2,4808,,10:24,11:19,2190,,21.25,42.5
66,5021,1,2190,,10:30,11:27,4808,,20.865,41.7299995
67,5021,2,4808,,10:34,11:29,2190,,21.25,42.5
68,5021,1,2190,,10:40,11:37,4808,,20.865,41.7299995
69,5021,2,4808,,10:44,11:39,2190,,21.25,42.5
70,5021,1,2190,,10:49,11:47,4808,,20.865,41.7299995
