Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,0,769.0
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,1,360.0
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,2,363.0
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,3,491.0
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,4,494.0
Regular,PC_7,6:57,7:14,JON_B,5.137,10.2790003,5,779.0
Regular,13421,7:25,7:44,6480,10.809,21.618,6,205.0
Regular,PC_7,10:30,10:54,GMV_G,9.319,18.6380005,7,606.0
Regular,GMV_H,11:02,11:27,PC_7,9.153,18.3059998,8,609.0
Regular,PC_7,11:30,11:54,GMV_G,9.319,18.6380005,9,613.0
Regular,GMV_H,12:02,12:27,PC_7,9.153,18.3059998,10,617.0
Regular,PC_7,12:37,12:54,JON_B,5.137,10.2790003,11,815.0
Regular,JON_A,13:14,13:27,PC_9,6.171,12.342,12,924.0
Regular,PC_3,13:27,13:43,13329,4.783,9.5710001,13,720.0
Regular,13329,13:45,13:57,PC_7,4.645,9.28999996,14,721.0
Regular,PC_7,13:57,14:14,JON_B,5.137,10.2790003,15,823.0
Regular,JON_A,14:25,14:37,PC_7,5.133,10.2659998,16,826.0
Regular,PC_5,14:37,15:08,HED_E,10.088,20.1809998,17,425.0
Regular,HED_D,15:19,15:47,PC_5,9.931,19.8619995,18,432.0
Regular,13215,15:47,16:04,3127,10.033,20.066,19,303.0
Regular,HED_D,16:18,16:47,PC_5,9.931,19.8619995,20,443.0
Regular,PC_10,16:47,17:22,HED_E,11.168,22.3409996,21,315.0
Regular,HED_D,17:35,18:07,PC_10,10.664,21.3279991,22,327.0
Regular,PC_9,18:07,18:22,JON_B,6.191,12.3870001,23,958.0
Regular,JON_A,18:34,18:47,PC_9,6.171,12.342,24,961.0
Regular,PC_7,18:50,19:13,GMV_G,9.319,18.6380005,25,661.0
Regular,GMV_H,19:17,19:42,PC_7,9.153,18.3059998,26,663.0
Regular,PC_9,19:42,19:57,JON_B,6.191,12.3870001,27,966.0
Regular,JON_A,19:59,20:12,PC_9,6.171,12.342,28,967.0
Regular,PC_10,20:12,20:46,HED_E,11.168,22.3409996,29,339.0
Regular,HED_D,21:13,21:42,PC_10,10.664,21.3279991,30,344.0
Regular,PC_7,21:45,22:06,GMV_G,9.319,18.6380005,31,672.0
Regular,GMV_H,22:18,22:42,PC_7,9.153,18.3059998,32,675.0
Regular,PC_7,22:45,23:06,GMV_G,9.319,18.6380005,33,676.0
Regular,GMV_H,23:18,23:42,PC_7,9.153,18.3059998,34,679.0
Regular,PC_7,23:45,24:06,GMV_G,9.319,18.6380005,35,680.0
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,36,570.0
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,37,224.0
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,38,364.0
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,39,775.0
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,40,778.0
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,41,372.0
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,42,243.0
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,43,251.0
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,44,255.0
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,45,907.0
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,46,908.0
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,47,259.0
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,48,264.0
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,49,915.0
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,50,916.0
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,51,267.0
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,52,271.0
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,53,923.0
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,54,926.0
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,55,630.0
