Location,Ref,Depot,Charging Station,,
1310,1310,,,,
13215,13215,,,,
13311,13311,,,,
13329,13329,,,,
13330,13330,,,,
13421,13421,,,,
13722,13722,,,,
2190,2190,,,,
2190L,2190,,1,,
3127,3127,,,,
3127L,3127,,1,,
4808,4808,,1,,
6480,6480,,,,
7880C,7880,,1,,
GMV_G,7581,,,,
GMV_H,7581,,,,
HED_D,3127,,,,
HED_E,3127,,,,
JON_A,13410,,1,,
JON_B,13410,,,,
PARX,13801,1,1,,
PC_10,13215,,,,
PC_3,13215,,,,
PC_5,13215,,,,
PC_6,13215,,,,
PC_7,13215,,,,
PC_9,13215,,,,
ÖS_H,7880,,,,
ÖS_J,7880,,,,
