time_block,cost
0,0.030077177622996682
1,0.03027696394499312
2,0.03088940615807201
3,0.0325557718666327
4,0.03657187199672848
5,0.045121719022505925
6,0.061135675330188766
7,0.08736677996810063
8,0.12458183036498156
9,0.1695404158249015
10,0.21422025066713338
11,0.24763051138633746
12,0.26006325169285593
13,0.24763051138633746
14,0.21422025066713338
15,0.1695404158249015
16,0.12458183036498156
17,0.08736677996810063
18,0.061135675330188766
19,0.045121719022505925
20,0.03657187199672848
21,0.0325557718666327
22,0.03088940615807201
23,0.03027696394499312
24,0.030077177622996682
