Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,4:50,5:41,2190,21.25,42.5,0,3
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,1,489
Regular,2190,5:58,6:53,4808,20.865,41.7299995,2,12
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,3,492
Regular,4808,6:16,7:10,2190,21.25,42.5,4,15
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,5,887
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,6,232
Regular,13329,6:40,7:00,6480,11.706,23.4120007,7,214
Regular,PC_7,6:50,7:14,GMV_G,9.319,18.6380005,8,581
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,9,890
Regular,4808,7:01,8:01,2190,21.25,42.5,10,25
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,11,373
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,12,891
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,13,238
Regular,2190,7:20,8:19,4808,20.865,41.7299995,14,28
Regular,GMV_H,7:20,7:47,PC_7,9.153,18.3059998,15,585
Regular,13311,7:21,7:27,PC_7,1.938,3.87599993,16,782
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,17,783
Regular,PC_9,7:27,7:42,JON_B,6.191,12.3870001,18,893
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,19,784
Regular,13311,7:41,7:47,PC_7,1.938,3.87599993,20,785
Regular,PC_10,7:47,8:24,HED_E,11.168,22.3409996,21,246
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,22,380
Regular,PC_7,7:50,8:14,GMV_G,9.319,18.6380005,23,588
Regular,JON_A,7:53,8:07,PC_9,6.171,12.342,24,898
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,25,249
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,26,788
Regular,PC_5,8:07,8:40,HED_E,10.088,20.1809998,27,382
Regular,PC_7,8:17,8:34,JON_B,5.137,10.2790003,28,789
Regular,2190,8:20,9:19,4808,20.865,41.7299995,29,40
Regular,GMV_H,8:20,8:47,PC_7,9.153,18.3059998,30,591
Regular,13421,8:25,8:43,6480,10.809,21.618,31,207
Regular,4808,8:26,9:24,2190,21.25,42.5,32,41
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,33,592
Regular,PC_7,8:50,9:14,GMV_G,9.319,18.6380005,34,595
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,35,596
Regular,GMV_H,9:22,9:47,PC_7,9.153,18.3059998,36,599
Regular,4808,9:26,10:21,2190,21.25,42.5,37,53
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,38,505
Regular,2190,9:30,10:27,4808,20.865,41.7299995,39,54
Regular,PC_7,9:50,10:14,GMV_G,9.319,18.6380005,40,602
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,41,509
Regular,GMV_H,10:22,10:47,PC_7,9.153,18.3059998,42,605
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,43,706
Regular,2190,10:30,11:27,4808,20.865,41.7299995,44,66
Regular,4808,10:34,11:29,2190,21.25,42.5,45,67
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,46,708
Regular,PC_10,10:47,11:23,HED_E,11.168,22.3409996,47,263
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,48,513
Regular,4808,11:34,12:29,2190,21.25,42.5,49,79
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,50,517
Regular,2190,11:39,12:37,4808,20.865,41.7299995,51,80
Regular,HED_D,11:48,12:17,PC_10,10.664,21.3279991,52,268
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,53,407
Regular,PC_9,12:17,12:32,JON_B,6.191,12.3870001,54,919
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,55,411
Regular,JON_A,12:34,12:47,PC_9,6.171,12.342,56,920
Regular,4808,12:44,13:40,2190,21.25,42.5,57,93
Regular,PC_9,12:47,13:02,JON_B,6.191,12.3870001,58,921
Regular,2190,12:49,13:47,4808,20.865,41.7299995,59,94
Regular,PC_7,12:50,13:14,GMV_G,9.319,18.6380005,60,624
Regular,JON_A,13:05,13:17,PC_7,5.133,10.2659998,61,818
Regular,PC_7,13:17,13:34,JON_B,5.137,10.2790003,62,819
Regular,GMV_H,13:22,13:47,PC_7,9.153,18.3059998,63,627
Regular,JON_A,13:45,13:57,PC_7,5.133,10.2659998,64,822
Regular,PC_9,13:47,14:02,JON_B,6.191,12.3870001,65,927
Regular,2190,13:50,14:49,4808,20.865,41.7299995,66,106
Regular,4808,13:54,14:50,2190,21.25,42.5,67,107
Regular,PC_5,13:57,14:28,HED_E,10.088,20.1809998,68,421
Regular,JON_A,14:13,14:27,PC_9,6.171,12.342,69,931
Regular,PC_3,14:27,14:43,13329,4.783,9.5710001,70,724
Regular,HED_D,14:30,14:57,PC_5,9.931,19.8619995,71,424
Regular,13215,14:42,14:59,3127,10.033,20.066,72,286
Regular,13329,14:45,14:57,PC_3,4.645,9.28999996,73,725
Regular,4808,14:56,15:53,2190,21.25,42.5,74,119
Regular,PC_5,14:57,15:28,HED_E,10.088,20.1809998,75,427
Regular,PC_6,14:57,15:24,ÖS_J,8.581,17.1669998,76,531
Regular,PC_7,14:57,15:14,JON_B,5.137,10.2790003,77,829
Regular,2190,14:59,16:01,4808,20.865,41.7299995,78,120
Regular,HED_D,15:00,15:27,PC_5,9.931,19.8619995,79,428
Regular,HED_D,15:09,15:37,PC_5,9.931,19.8619995,80,430
Regular,JON_A,15:25,15:37,PC_7,5.133,10.2659998,81,832
Regular,PC_10,15:27,16:03,HED_E,11.168,22.3409996,82,298
Regular,13215,15:37,15:54,3127,10.033,20.066,83,301
Regular,PC_5,15:37,16:09,HED_E,10.088,20.1809998,84,434
Regular,HED_D,15:39,16:07,PC_5,9.931,19.8619995,85,435
Regular,6480,15:40,16:01,13330,11.944,23.8880005,86,219
Regular,6480,15:55,16:15,13421,11.116,22.2320004,87,209
Regular,HED_D,15:55,16:27,PC_10,10.664,21.3279991,88,305
Regular,2190,15:58,17:01,4808,20.865,41.7299995,89,132
Regular,PC_10,16:07,16:43,HED_E,11.168,22.3409996,90,308
Regular,4808,16:08,17:07,2190,21.25,42.5,91,133
Regular,HED_D,16:08,16:37,PC_5,9.931,19.8619995,92,440
Regular,PC_7,16:10,16:36,GMV_G,9.319,18.6380005,93,644
Regular,6480,16:25,16:45,13421,11.116,22.2320004,94,210
Regular,PC_10,16:27,17:03,HED_E,11.168,22.3409996,95,311
Regular,HED_D,16:35,17:07,PC_10,10.664,21.3279991,96,312
Regular,GMV_H,16:40,17:07,PC_7,9.153,18.3059998,97,647
Regular,HED_D,16:45,17:17,PC_10,10.664,21.3279991,98,314
Regular,6480,16:55,17:14,13421,11.116,22.2320004,99,211
Regular,PC_10,17:07,17:41,HED_E,11.168,22.3409996,100,321
Regular,4808,17:08,18:04,2190,21.25,42.5,101,145
Regular,HED_D,17:15,17:47,PC_10,10.664,21.3279991,102,322
Regular,13215,17:17,17:34,3127,10.033,20.066,103,323
Regular,HED_D,17:20,17:47,PC_5,9.931,19.8619995,104,452
Regular,2190,17:22,18:20,4808,20.865,41.7299995,105,148
Regular,6480,17:25,17:44,13421,11.116,22.2320004,106,213
Regular,HED_D,17:41,18:07,PC_5,9.931,19.8619995,107,455
Regular,PC_10,17:47,18:21,HED_E,11.168,22.3409996,108,328
Regular,PC_7,17:50,18:14,GMV_G,9.319,18.6380005,109,654
Regular,HED_D,17:56,18:27,PC_10,10.664,21.3279991,110,329
Regular,PC_10,18:07,18:41,HED_E,11.168,22.3409996,111,330
Regular,2190,18:12,19:09,4808,20.865,41.7299995,112,158
Regular,GMV_H,18:22,18:47,PC_7,9.153,18.3059998,113,657
Regular,4808,18:27,19:20,2190,21.25,42.5,114,161
Regular,PC_10,18:27,19:01,HED_E,11.168,22.3409996,115,332
Regular,HED_D,18:42,19:12,PC_10,10.664,21.3279991,116,333
Regular,PC_10,18:47,19:21,HED_E,11.168,22.3409996,117,334
Regular,HED_D,19:03,19:27,PC_5,9.931,19.8619995,118,463
Regular,4808,19:13,20:06,2190,21.25,42.5,119,167
Regular,PC_7,19:15,19:38,GMV_G,9.319,18.6380005,120,662
Regular,PC_5,19:27,19:56,HED_E,10.088,20.1809998,121,464
Regular,HED_D,19:43,20:12,PC_10,10.664,21.3279991,122,338
Regular,GMV_H,19:47,20:12,PC_7,9.153,18.3059998,123,665
Regular,HED_D,20:03,20:27,PC_5,9.931,19.8619995,124,467
Regular,2190,20:04,21:00,4808,20.865,41.7299995,125,174
Regular,PC_9,20:12,20:27,JON_B,6.191,12.3870001,126,968
Regular,PC_7,20:15,20:38,GMV_G,9.319,18.6380005,127,666
Regular,2190,20:20,21:15,4808,20.865,41.7299995,128,176
Regular,PC_6,20:27,20:52,ÖS_J,8.581,17.1669998,129,553
Regular,JON_A,20:29,20:42,PC_9,6.171,12.342,130,969
Regular,PC_9,20:42,20:57,JON_B,6.191,12.3870001,131,970
Regular,GMV_H,20:47,21:12,PC_7,9.153,18.3059998,132,669
Regular,JON_A,21:00,21:12,PC_9,6.171,12.342,133,971
Regular,ÖS_H,21:06,21:27,PC_6,8.205,16.4099998,134,556
Regular,4808,21:12,22:04,2190,21.25,42.5,135,183
Regular,PC_10,21:12,21:44,HED_E,11.168,22.3409996,136,343
Regular,PC_7,21:15,21:36,GMV_G,9.319,18.6380005,137,670
Regular,PC_3,21:27,21:43,13329,4.783,9.5710001,138,754
Regular,13329,21:46,21:57,PC_3,4.645,9.28999996,139,755
Regular,GMV_H,21:48,22:12,PC_7,9.153,18.3059998,140,673
Regular,PC_3,21:57,22:13,13329,4.783,9.5710001,141,756
Regular,2190,22:10,23:05,4808,20.865,41.7299995,142,188
Regular,PC_10,22:12,22:43,HED_E,11.168,22.3409996,143,347
Regular,HED_D,22:13,22:42,PC_10,10.664,21.3279991,144,348
Regular,13329,22:16,22:27,PC_3,4.645,9.28999996,145,757
Regular,PC_5,22:27,22:55,HED_E,10.088,20.1809998,146,476
Regular,PC_9,22:42,22:57,JON_B,6.191,12.3870001,147,978
Regular,JON_A,23:00,23:12,PC_9,6.171,12.342,148,979
Regular,HED_D,23:04,23:27,PC_5,9.931,19.8619995,149,479
Regular,HED_D,23:13,23:42,PC_10,10.664,21.3279991,150,352
Regular,PC_7,23:15,23:36,GMV_G,9.319,18.6380005,151,678
Regular,4808,23:16,24:06,2190,21.25,42.5,152,195
Regular,PC_5,23:27,23:55,HED_E,10.088,20.1809998,153,480
Regular,PC_10,23:42,24:11,HED_E,11.168,22.3409996,154,353
Regular,GMV_H,23:48,24:12,PC_7,9.153,18.3059998,155,681
Regular,HED_D,24:04,24:27,PC_5,9.931,19.8619995,156,483
Regular,PC_7,24:15,24:29,ÖS_J,5.845,11.6899996,157,682
Regular,PC_5,24:27,24:53,HED_E,10.088,20.1809998,158,484
Regular,HED_D,24:31,24:57,PC_10,10.664,21.3279991,159,356
Regular,ÖS_H,24:36,24:57,PC_6,7.642,15.2840004,160,683
Regular,PC_5,24:57,25:23,HED_E,10.088,20.1809998,161,486
Regular,PC_6,25:00,25:19,ÖS_J,8.119,16.2380009,162,684
Regular,HED_D,25:04,25:27,PC_5,9.931,19.8619995,163,487
Regular,PC_7,25:27,25:44,JON_B,5.137,10.2790003,164,879
