Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,4808,4:30,5:21,2190,21.25,42.5,1,1
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,2,569
Regular,2190,4:47,5:39,4808,20.865,41.7299995,3,2
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,4,570
Regular,4808,4:50,5:41,2190,21.25,42.5,5,3
Regular,JON_A,4:59,5:12,PC_9,6.171,12.342,6,880
Regular,2190,5:07,5:59,4808,20.865,41.7299995,7,4
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,8,224
Regular,PC_7,5:15,5:36,GMV_G,9.319,18.6380005,9,571
Regular,JON_A,5:15,5:27,PC_7,5.133,10.2659998,10,770
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,11,572
Regular,4808,5:25,6:16,2190,21.25,42.5,12,6
Regular,2190,5:26,6:19,4808,20.865,41.7299995,13,7
Regular,1310,5:26,5:42,PC_10,5.387,10.7740002,14,225
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,15,489
Regular,PC_3,5:27,5:43,13329,4.783,9.5710001,16,686
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,17,490
Regular,4808,5:36,6:27,2190,21.25,42.5,18,8
Regular,PC_9,5:42,5:57,JON_B,6.191,12.3870001,19,882
Regular,GMV_H,5:43,6:07,PC_7,9.153,18.3059998,20,573
Regular,2190,5:44,6:37,4808,20.865,41.7299995,21,9
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,22,574
Regular,4808,5:46,6:38,2190,21.25,42.5,23,10
Regular,13329,5:47,5:57,PC_3,4.645,9.28999996,24,687
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,25,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,26,883
Regular,4808,5:56,6:48,2190,21.25,42.5,27,11
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,28,228
Regular,PC_3,5:57,6:13,13329,4.783,9.5710001,29,688
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,30,773
Regular,2190,5:58,6:53,4808,20.865,41.7299995,31,12
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,32,575
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,33,492
Regular,JON_A,6:05,6:17,PC_7,5.133,10.2659998,34,774
Regular,4808,6:06,6:59,2190,21.25,42.5,35,13
Regular,PC_9,6:07,6:22,JON_B,6.191,12.3870001,36,884
Regular,PC_7,6:10,6:31,GMV_G,9.319,18.6380005,37,576
Regular,JON_A,6:13,6:27,PC_9,6.171,12.342,38,885
Regular,13329,6:15,6:27,PC_3,4.645,9.28999996,39,689
Regular,4808,6:16,7:10,2190,21.25,42.5,40,15
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,41,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,42,775
Regular,2190,6:18,7:14,4808,20.865,41.7299995,43,16
Regular,GMV_H,6:23,6:47,PC_7,9.153,18.3059998,44,577
Regular,13421,6:25,6:43,6480,10.809,21.618,45,203
Regular,JON_A,6:25,6:37,PC_7,5.133,10.2659998,46,776
Regular,4808,6:26,7:20,2190,21.25,42.5,47,17
Regular,PC_10,6:27,7:01,HED_E,11.168,22.3409996,48,231
Regular,PC_6,6:27,6:53,ÖS_J,8.581,17.1669998,49,493
Regular,PC_3,6:27,6:43,13329,4.783,9.5710001,50,690
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,51,887
