Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,5:10,6:01,2190,21.25,42.5,0,5
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,1,685
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,2,771
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,3,490
Regular,4808,5:36,6:27,2190,21.25,42.5,4,8
Regular,2190,5:44,6:37,4808,20.865,41.7299995,5,9
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,6,772
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,7,228
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,8,365
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,9,773
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,10,575
Regular,2190,6:08,7:03,4808,20.865,41.7299995,11,14
Regular,2190,6:18,7:14,4808,20.865,41.7299995,12,16
Regular,PC_10,6:27,7:01,HED_E,11.168,22.3409996,13,231
Regular,PC_3,6:27,6:43,13329,4.783,9.5710001,14,690
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,15,368
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,16,888
Regular,2190,6:38,7:35,4808,20.865,41.7299995,17,20
Regular,4808,6:42,7:40,2190,21.25,42.5,18,21
Regular,13329,6:45,6:57,PC_3,4.645,9.28999996,19,691
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,20,233
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,21,495
Regular,PC_3,6:57,7:13,13329,4.783,9.5710001,22,692
Regular,HED_D,7:07,7:37,PC_10,10.664,21.3279991,23,235
Regular,4808,7:11,8:11,2190,21.25,42.5,24,27
Regular,13329,7:15,7:27,PC_3,4.645,9.28999996,25,693
Regular,4808,7:21,8:21,2190,21.25,42.5,26,29
Regular,PC_6,7:27,7:54,ÖS_J,8.581,17.1669998,27,497
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,28,377
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,29,498
Regular,PC_10,7:37,8:14,HED_E,11.168,22.3409996,30,244
Regular,4808,7:42,8:42,2190,21.25,42.5,31,33
Regular,2190,7:49,8:49,4808,20.865,41.7299995,32,34
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,33,248
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,34,787
Regular,ÖS_H,8:04,8:27,PC_6,8.205,16.4099998,35,500
Regular,HED_D,8:17,8:47,PC_10,10.664,21.3279991,36,253
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,37,790
Regular,PC_3,8:27,8:43,13329,4.783,9.5710001,38,698
Regular,2190,8:30,9:29,4808,20.865,41.7299995,39,42
Regular,PC_7,8:37,8:54,JON_B,5.137,10.2790003,40,791
Regular,2190,8:40,9:39,4808,20.865,41.7299995,41,44
Regular,13329,8:45,8:57,PC_3,4.645,9.28999996,42,699
Regular,PC_10,8:47,9:23,HED_E,11.168,22.3409996,43,256
Regular,4808,8:56,9:52,2190,21.25,42.5,44,47
Regular,PC_6,8:57,9:23,ÖS_J,8.581,17.1669998,45,503
Regular,2190,8:59,9:57,4808,20.865,41.7299995,46,48
Regular,JON_A,9:05,9:17,PC_7,5.133,10.2659998,47,794
Regular,PC_5,9:17,9:48,HED_E,10.088,20.1809998,48,391
Regular,ÖS_H,9:35,9:57,PC_6,8.205,16.4099998,49,507
Regular,4808,9:36,10:31,2190,21.25,42.5,50,55
Regular,4808,9:44,10:39,2190,21.25,42.5,51,57
Regular,HED_D,9:48,10:17,PC_10,10.664,21.3279991,52,260
Regular,HED_D,9:53,10:17,PC_5,9.931,19.8619995,53,394
Regular,PC_3,9:57,10:13,13329,4.783,9.5710001,54,704
Regular,2190,10:00,10:57,4808,20.865,41.7299995,55,60
Regular,4808,10:04,10:59,2190,21.25,42.5,56,61
Regular,13329,10:15,10:27,PC_3,4.645,9.28999996,57,705
Regular,PC_5,10:17,10:48,HED_E,10.088,20.1809998,58,397
Regular,PC_7,10:17,10:34,JON_B,5.137,10.2790003,59,801
Regular,PC_6,10:27,10:53,ÖS_J,8.581,17.1669998,60,511
Regular,JON_A,10:45,10:57,PC_7,5.133,10.2659998,61,804
Regular,2190,10:49,11:47,4808,20.865,41.7299995,62,70
Regular,HED_D,10:52,11:17,PC_5,9.931,19.8619995,63,400
Regular,PC_5,10:57,11:28,HED_E,10.088,20.1809998,64,401
Regular,2190,10:59,11:57,4808,20.865,41.7299995,65,72
Regular,4808,11:04,11:59,2190,21.25,42.5,66,73
Regular,ÖS_H,11:05,11:27,PC_6,8.205,16.4099998,67,515
Regular,2190,11:09,12:07,4808,20.865,41.7299995,68,74
Regular,PC_7,11:17,11:34,JON_B,5.137,10.2790003,69,807
Regular,PC_3,11:27,11:43,13329,4.783,9.5710001,70,712
Regular,HED_D,11:32,11:57,PC_5,9.931,19.8619995,71,404
Regular,13329,11:45,11:57,PC_3,4.645,9.28999996,72,713
Regular,JON_A,11:45,11:57,PC_7,5.133,10.2659998,73,810
Regular,4808,11:54,12:49,2190,21.25,42.5,74,83
Regular,PC_6,11:57,12:23,ÖS_J,8.581,17.1669998,75,519
Regular,PC_3,11:57,12:13,13329,4.783,9.5710001,76,714
Regular,PC_7,11:57,12:14,JON_B,5.137,10.2790003,77,811
Regular,4808,12:04,12:59,2190,21.25,42.5,78,85
Regular,4808,12:14,13:09,2190,21.25,42.5,79,87
Regular,13329,12:15,12:27,PC_3,4.645,9.28999996,80,715
Regular,JON_A,12:25,12:37,PC_7,5.133,10.2659998,81,814
Regular,PC_6,12:27,12:53,ÖS_J,8.581,17.1669998,82,521
Regular,ÖS_H,12:35,12:57,PC_6,8.205,16.4099998,83,522
Regular,PC_5,12:37,13:08,HED_E,10.088,20.1809998,84,413
Regular,2190,12:39,13:37,4808,20.865,41.7299995,85,92
Regular,PC_3,12:57,13:13,13329,4.783,9.5710001,86,718
Regular,2190,13:01,13:59,4808,20.865,41.7299995,87,96
Regular,ÖS_H,13:05,13:27,PC_6,8.205,16.4099998,88,524
Regular,2190,13:11,14:09,4808,20.865,41.7299995,89,98
Regular,HED_D,13:12,13:37,PC_5,9.931,19.8619995,90,416
Regular,13329,13:15,13:27,PC_3,4.645,9.28999996,91,719
Regular,PC_10,13:27,14:02,HED_E,11.168,22.3409996,92,277
Regular,PC_9,13:27,13:42,JON_B,6.191,12.3870001,93,925
Regular,PC_5,13:37,14:08,HED_E,10.088,20.1809998,94,419
Regular,4808,13:44,14:40,2190,21.25,42.5,95,105
Regular,JON_A,13:54,14:07,PC_9,6.171,12.342,96,928
Regular,2190,14:00,14:59,4808,20.865,41.7299995,97,108
Regular,4808,14:06,15:02,2190,21.25,42.5,98,109
Regular,PC_9,14:07,14:22,JON_B,6.191,12.3870001,99,929
Regular,HED_D,14:10,14:37,PC_5,9.931,19.8619995,100,422
Regular,4808,14:16,15:12,2190,21.25,42.5,101,111
Regular,HED_D,14:16,14:47,PC_10,10.664,21.3279991,102,283
Regular,JON_A,14:33,14:47,PC_9,6.171,12.342,103,934
Regular,PC_7,14:37,14:54,JON_B,5.137,10.2790003,104,827
Regular,PC_9,14:47,15:04,JON_B,6.191,12.3870001,105,935
Regular,PC_7,14:50,15:15,GMV_G,9.319,18.6380005,106,636
Regular,JON_A,15:05,15:17,PC_7,5.133,10.2659998,107,830
Regular,4808,15:06,16:04,2190,21.25,42.5,108,121
Regular,13215,15:07,15:24,3127,10.033,20.066,109,292
Regular,2190,15:09,16:11,4808,20.865,41.7299995,110,122
Regular,JON_A,15:13,15:27,PC_9,6.171,12.342,111,939
Regular,PC_5,15:17,15:48,HED_E,10.088,20.1809998,112,431
Regular,2190,15:19,16:22,4808,20.865,41.7299995,113,124
Regular,GMV_H,15:20,15:47,PC_7,9.153,18.3059998,114,639
Regular,HED_D,15:25,15:57,PC_10,10.664,21.3279991,115,296
Regular,13215,15:27,15:44,3127,10.033,20.066,116,297
Regular,HED_D,15:45,16:17,PC_10,10.664,21.3279991,117,302
Regular,PC_7,15:50,16:16,GMV_G,9.319,18.6380005,118,642
Regular,PC_3,15:57,16:13,13329,4.783,9.5710001,119,730
Regular,HED_D,15:58,16:27,PC_5,9.931,19.8619995,120,439
Regular,2190,16:09,17:11,4808,20.865,41.7299995,121,134
Regular,13329,16:15,16:27,PC_3,4.645,9.28999996,122,731
Regular,PC_7,16:17,16:34,JON_B,5.137,10.2790003,123,837
Regular,2190,16:18,17:21,4808,20.865,41.7299995,124,135
Regular,4808,16:18,17:17,2190,21.25,42.5,125,136
Regular,GMV_H,16:20,16:47,PC_7,9.153,18.3059998,126,645
Regular,PC_6,16:27,16:54,ÖS_J,8.581,17.1669998,127,537
Regular,4808,16:28,17:27,2190,21.25,42.5,128,137
Regular,13215,16:37,16:54,3127,10.033,20.066,129,313
Regular,JON_A,16:45,16:57,PC_7,5.133,10.2659998,130,840
Regular,PC_7,16:50,17:16,GMV_G,9.319,18.6380005,131,648
Regular,HED_D,16:55,17:27,PC_10,10.664,21.3279991,132,317
Regular,PC_7,16:57,17:14,JON_B,5.137,10.2790003,133,841
Regular,ÖS_H,17:04,17:27,PC_6,8.205,16.4099998,134,540
Regular,4808,17:18,18:14,2190,21.25,42.5,135,147
Regular,GMV_H,17:20,17:47,PC_7,9.153,18.3059998,136,651
Regular,JON_A,17:25,17:37,PC_7,5.133,10.2659998,137,844
Regular,4808,17:27,18:22,2190,21.25,42.5,138,149
Regular,PC_6,17:27,17:54,ÖS_J,8.581,17.1669998,139,541
Regular,2190,17:32,18:30,4808,20.865,41.7299995,140,150
Regular,PC_5,17:37,18:08,HED_E,10.088,20.1809998,141,454
Regular,6480,17:40,18:01,13330,11.944,23.8880005,142,223
Regular,2190,17:41,18:38,4808,20.865,41.7299995,143,152
Regular,ÖS_H,18:05,18:27,PC_6,8.205,16.4099998,144,544
Regular,HED_D,18:12,18:37,PC_5,9.931,19.8619995,145,458
Regular,2190,18:25,19:21,4808,20.865,41.7299995,146,160
Regular,PC_6,18:27,18:53,ÖS_J,8.581,17.1669998,147,545
Regular,PC_5,18:37,19:07,HED_E,10.088,20.1809998,148,461
Regular,4808,18:42,19:35,2190,21.25,42.5,149,163
Regular,ÖS_H,19:05,19:27,PC_6,8.205,16.4099998,150,548
Regular,HED_D,19:12,19:42,PC_10,10.664,21.3279991,151,336
Regular,PC_6,19:27,19:53,ÖS_J,8.581,17.1669998,152,549
Regular,4808,19:28,20:20,2190,21.25,42.5,153,169
Regular,PC_7,19:45,20:08,GMV_G,9.319,18.6380005,154,664
Regular,2190,19:49,20:45,4808,20.865,41.7299995,155,172
Regular,ÖS_H,20:06,20:27,PC_6,8.205,16.4099998,156,552
Regular,GMV_H,20:17,20:42,PC_7,9.153,18.3059998,157,667
Regular,PC_5,20:27,20:55,HED_E,10.088,20.1809998,158,468
Regular,PC_10,20:42,21:15,HED_E,11.168,22.3409996,159,341
Regular,4808,20:57,21:49,2190,21.25,42.5,160,181
Regular,HED_D,21:03,21:27,PC_5,9.931,19.8619995,161,471
Regular,PC_7,21:27,21:44,JON_B,5.137,10.2790003,162,863
Regular,4808,21:36,22:28,2190,21.25,42.5,163,185
Regular,HED_D,21:43,22:12,PC_10,10.664,21.3279991,164,346
Regular,JON_A,21:45,21:57,PC_7,5.133,10.2659998,165,864
Regular,PC_6,21:57,22:22,ÖS_J,8.581,17.1669998,166,559
Regular,PC_7,22:15,22:36,GMV_G,9.319,18.6380005,167,674
Regular,2190,22:30,23:24,4808,20.865,41.7299995,168,190
Regular,ÖS_H,22:36,22:57,PC_6,8.205,16.4099998,169,562
Regular,GMV_H,22:48,23:12,PC_7,9.153,18.3059998,170,677
Regular,2190,22:50,23:43,4808,20.865,41.7299995,171,192
Regular,PC_5,22:57,23:25,HED_E,10.088,20.1809998,172,478
Regular,2190,23:10,24:01,4808,20.865,41.7299995,173,194
Regular,PC_10,23:12,23:43,HED_E,11.168,22.3409996,174,351
Regular,HED_D,23:34,23:57,PC_5,9.931,19.8619995,175,481
Regular,4808,23:36,24:26,2190,21.25,42.5,176,197
Regular,HED_D,23:45,24:12,PC_10,10.664,21.3279991,177,354
Regular,PC_3,23:57,24:13,13329,4.783,9.5710001,178,764
Regular,4808,24:06,24:56,2190,21.25,42.5,179,199
Regular,13329,24:16,24:27,PC_3,4.645,9.28999996,180,765
Regular,PC_9,24:27,24:42,JON_B,6.191,12.3870001,181,984
Regular,2190,24:32,25:23,4808,20.865,41.7299995,182,200
Regular,JON_A,24:45,24:57,PC_9,6.171,12.342,183,985
Regular,PC_10,24:57,25:26,HED_E,11.168,22.3409996,184,357
Regular,2190,25:03,25:53,4808,20.865,41.7299995,185,202
