Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,4808,4:30,5:21,2190,21.25,42.5,1,1
Regular,2190,4:47,5:39,4808,20.865,41.7299995,2,2
Regular,4808,4:50,5:41,2190,21.25,42.5,3,3
Regular,2190,5:07,5:59,4808,20.865,41.7299995,4,4
Regular,4808,5:10,6:01,2190,21.25,42.5,5,5
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,6,685
Regular,4808,5:25,6:16,2190,21.25,42.5,7,6
Regular,2190,5:26,6:19,4808,20.865,41.7299995,8,7
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,9,489
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,10,771
Regular,4808,5:36,6:27,2190,21.25,42.5,11,8
Regular,2190,5:44,6:37,4808,20.865,41.7299995,12,9
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,13,574
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,14,772
Regular,4808,5:46,6:38,2190,21.25,42.5,15,10
Regular,4808,5:56,6:48,2190,21.25,42.5,16,11
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,17,365
Regular,2190,5:58,6:53,4808,20.865,41.7299995,18,12
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,19,492
Regular,4808,6:06,6:59,2190,21.25,42.5,20,13
Regular,2190,6:08,7:03,4808,20.865,41.7299995,21,14
Regular,4808,6:16,7:10,2190,21.25,42.5,22,15
Regular,2190,6:18,7:14,4808,20.865,41.7299995,23,16
Regular,GMV_H,6:23,6:47,PC_7,9.153,18.3059998,24,577
Regular,4808,6:26,7:20,2190,21.25,42.5,25,17
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,26,887
Regular,2190,6:28,7:24,4808,20.865,41.7299995,27,18
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,28,368
Regular,4808,6:34,7:31,2190,21.25,42.5,29,19
Regular,2190,6:38,7:35,4808,20.865,41.7299995,30,20
Regular,4808,6:42,7:40,2190,21.25,42.5,31,21
Regular,PC_5,6:47,7:19,HED_E,10.088,20.1809998,32,370
Regular,2190,6:48,7:45,4808,20.865,41.7299995,33,22
Regular,4808,6:51,7:49,2190,21.25,42.5,34,23
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,35,890
Regular,13421,6:55,7:13,6480,10.809,21.618,36,204
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,37,495
Regular,2190,6:58,7:56,4808,20.865,41.7299995,38,24
Regular,4808,7:01,8:01,2190,21.25,42.5,39,25
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,40,373
Regular,2190,7:09,8:08,4808,20.865,41.7299995,41,26
Regular,PC_7,7:10,7:34,GMV_G,9.319,18.6380005,42,584
Regular,4808,7:11,8:11,2190,21.25,42.5,43,27
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,44,239
Regular,2190,7:20,8:19,4808,20.865,41.7299995,45,28
Regular,4808,7:21,8:21,2190,21.25,42.5,46,29
Regular,3127,7:22,7:36,13215,9.735,19.4699993,47,240
Regular,2190,7:29,8:29,4808,20.865,41.7299995,48,30
Regular,4808,7:31,8:31,2190,21.25,42.5,49,31
Regular,JON_A,7:33,7:47,PC_9,6.171,12.342,50,894
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,51,498
Regular,2190,7:39,8:39,4808,20.865,41.7299995,52,32
Regular,GMV_H,7:40,8:07,PC_7,9.153,18.3059998,53,587
