addition_rank,duty_id,base_duty_id,trip_count,included_variant,excluded_variant_id
1,13323,13323,8,True,
2,13408,13408,11,True,
3,13401,13401,12,True,
4,13414,13414,12,True,
5,13405,13405,13,True,
6,13311,13311,14,True,
7,13403,13403,14,True,
8,13406,13406,14,True,
9,13411,13411,14,True,
10,13307,13307,15,True,
11,13410,13410,15,True,
12,13412,13412,15,True,
13,13413,13413,15,True,
14,13314,13314,16,True,
15,13320,13320,16,True,
16,13402,13402,17,True,
17,13404,13404,17,True,
18,13407,13407,17,True,
19,13409,13409,17,True,
20,13324t,13324,18,True,13324muw
21,13316uwt,13316,21,True,13316m
22,13326,13326,21,True,
23,13309,13309,22,True,
24,13321,13321,22,True,
25,13310,13310,24,True,
26,13322,13322,26,True,
27,13319,13319,27,True,
28,13305,13305,30,True,
29,13306,13306,30,True,
30,13308,13308,31,True,
31,13315,13315,31,True,
32,13318,13318,33,True,
33,13301,13301,36,True,
34,13304,13304,37,True,
35,13313,13313,37,True,
36,13317,13317,37,True,
37,13325,13325,42,True,
38,13312,13312,46,True,
39,13302,13302,50,True,
40,13303,13303,54,True,
