Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,2,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,3,572
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,4,490
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,5,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,6,883
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,7,773
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,8,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,9,775
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,10,888
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,11,778
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,12,233
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,13,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,14,372
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,15,375
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,16,377
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,17,243
Regular,3127,7:53,8:07,13215,9.735,19.4699993,18,247
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,19,787
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,20,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,21,899
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,22,790
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,23,902
Regular,PC_7,8:37,8:54,JON_B,5.137,10.2790003,24,791
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,25,255
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,26,700
Regular,JON_A,9:05,9:17,PC_7,5.133,10.2659998,27,794
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,28,701
Regular,PC_5,9:17,9:48,HED_E,10.088,20.1809998,29,391
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,30,907
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,31,702
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,32,908
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,33,703
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,34,259
Regular,HED_D,9:53,10:17,PC_5,9.931,19.8619995,35,394
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,36,508
Regular,PC_7,10:17,10:34,JON_B,5.137,10.2790003,37,801
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,38,512
Regular,JON_A,10:45,10:57,PC_7,5.133,10.2659998,39,804
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,40,264
Regular,PC_5,10:57,11:28,HED_E,10.088,20.1809998,41,401
Regular,PC_3,10:57,11:13,13329,4.783,9.5710001,42,710
Regular,13329,11:15,11:27,PC_3,4.645,9.28999996,43,711
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,44,915
Regular,PC_6,11:27,11:53,ÖS_J,8.581,17.1669998,45,516
Regular,HED_D,11:32,11:57,PC_5,9.931,19.8619995,46,404
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,47,916
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,48,267
Regular,PC_7,11:57,12:14,JON_B,5.137,10.2790003,49,811
Regular,ÖS_H,12:05,12:27,PC_6,8.205,16.4099998,50,520
Regular,JON_A,12:25,12:37,PC_7,5.133,10.2659998,51,814
Regular,PC_3,12:27,12:43,13329,4.783,9.5710001,52,716
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,53,271
Regular,PC_5,12:37,13:08,HED_E,10.088,20.1809998,54,413
Regular,13329,12:45,12:57,PC_3,4.645,9.28999996,55,717
Regular,PC_6,12:57,13:23,ÖS_J,8.581,17.1669998,56,523
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,57,923
Regular,HED_D,13:12,13:37,PC_5,9.931,19.8619995,58,416
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,59,926
Regular,ÖS_H,13:35,13:57,PC_6,8.205,16.4099998,60,526
Regular,PC_5,13:37,14:08,HED_E,10.088,20.1809998,61,419
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,62,630
Regular,PC_6,13:57,14:24,ÖS_J,8.581,17.1669998,63,527
Regular,HED_D,14:10,14:37,PC_5,9.931,19.8619995,64,422
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,65,633
Regular,ÖS_H,14:35,14:57,PC_6,8.205,16.4099998,66,530
Regular,PC_7,14:37,14:54,JON_B,5.137,10.2790003,67,827
Regular,PC_10,14:47,15:22,HED_E,11.168,22.3409996,68,288
Regular,PC_3,14:57,15:13,13329,4.783,9.5710001,69,726
