addition_rank,duty_id,base_duty_id,trip_count,included_variant,excluded_variant_id
1,13303,13303,54,True,
2,13302,13302,50,True,
3,13312,13312,46,True,
4,13325,13325,42,True,
5,13304,13304,37,True,
6,13313,13313,37,True,
7,13317,13317,37,True,
8,13301,13301,36,True,
9,13318,13318,33,True,
10,13308,13308,31,True,
11,13315,13315,31,True,
12,13305,13305,30,True,
13,13306,13306,30,True,
14,13319,13319,27,True,
15,13322,13322,26,True,
16,13310,13310,24,True,
17,13309,13309,22,True,
18,13321,13321,22,True,
19,13316uwt,13316,21,True,13316m
20,13326,13326,21,True,
21,13324t,13324,18,True,13324muw
22,13402,13402,17,True,
23,13404,13404,17,True,
24,13407,13407,17,True,
25,13409,13409,17,True,
26,13314,13314,16,True,
27,13320,13320,16,True,
28,13307,13307,15,True,
29,13410,13410,15,True,
30,13412,13412,15,True,
31,13413,13413,15,True,
32,13311,13311,14,True,
33,13403,13403,14,True,
34,13406,13406,14,True,
35,13411,13411,14,True,
36,13405,13405,13,True,
37,13401,13401,12,True,
38,13414,13414,12,True,
39,13408,13408,11,True,
40,13323,13323,8,True,
