VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5517.0,1.0,13329,,5:17,5:27,PC_3,13215.0,0.1,0.0,96.8202133,,4.645,9.28999996,92.9333496,0,685.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5518.0,2.0,PC_7,13215.0,5:27,5:44,JON_B,13410.0,0.17,0.0,92.9333496,,5.137,10.2790003,88.6326904,1,771.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5514.0,1.0,PC_6,13215.0,5:27,5:52,ÖS_J,7880.0,0.25,0.0,98.8284988,,8.581,17.1669998,91.6459579,2,489.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5519.0,1.0,JON_A,13410.0,5:29,5:42,PC_9,13215.0,0.13,0.0,94.644577,,6.171,12.342,89.4807739,3,881.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5510.0,2.0,HED_D,3127.0,5:37,6:07,PC_10,13215.0,0.3,0.0,91.2974396,,10.664,21.3279991,82.3739624,4,226.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5510.0,1.0,PC_10,13215.0,5:42,6:15,HED_E,3127.0,0.33,0.0,89.4807739,,11.168,22.3409996,80.1334686,5,227.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5518.0,1.0,JON_A,13410.0,5:45,5:57,PC_7,13215.0,0.12,0.0,88.5490112,,5.133,10.2659998,84.2537918,6,772.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5515.0,1.0,PC_7,13215.0,5:45,6:06,GMV_G,7581.0,0.21,0.0,98.8284988,,9.319,18.6380005,91.0304947,7,574.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5513.0,1.0,PC_5,13215.0,5:57,6:27,HED_E,3127.0,0.3,0.0,84.2537918,,10.088,20.1809998,75.8102112,8,365.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,6:04,6:27,PC_6,13215.0,0.23,0.0,91.6208572,,8.205,16.4099998,84.7550354,9,492.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5510.0,1.0,PC_10,13215.0,6:07,6:41,HED_E,3127.0,0.34,0.0,82.3739624,,11.168,22.3409996,73.0266418,10,229.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5519.0,1.0,JON_A,13410.0,6:13,6:27,PC_9,13215.0,0.14,0.03,94.644577,,6.171,12.342,89.4807739,11,886.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5510.0,2.0,HED_D,3127.0,6:17,6:47,PC_10,13215.0,0.3,0.0,80.091629,,10.664,21.3279991,71.1681519,12,230.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5515.0,2.0,GMV_H,7581.0,6:23,6:47,PC_7,13215.0,0.24,0.0,90.8108444,,9.153,18.3059998,83.1517487,13,577.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5519.0,2.0,PC_9,13215.0,6:27,6:42,JON_B,13410.0,0.15,0.03,84.7550354,,6.191,12.3870001,79.5724106,14,887.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,1.0,PC_7,13215.0,6:30,6:54,GMV_G,7581.0,0.24,0.0,89.4786835,,9.319,18.6380005,81.6806793,15,579.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5513.0,2.0,HED_D,3127.0,6:33,6:57,PC_5,13215.0,0.24,0.0,81.0450897,,9.931,19.8619995,72.7349854,16,368.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5519.0,2.0,PC_9,13215.0,6:47,7:02,JON_B,13410.0,0.15,0.03,71.1681519,,6.191,12.3870001,65.9855194,17,889.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,6:47,7:19,HED_E,3127.0,0.32,0.03,98.8284988,,10.088,20.1809998,90.3849182,18,370.0
13321,PARX,6:38,25:30,PARX,17.1,248.411,PARX,Regular,5515.0,1.0,PC_7,13215.0,6:50,7:14,GMV_G,7581.0,0.24,0.0,98.8284988,,9.319,18.6380005,91.0304947,19,581.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5519.0,1.0,JON_A,13410.0,6:53,7:07,PC_9,13215.0,0.14,0.0,86.2521744,,6.171,12.342,81.0883789,20,890.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5501.0,1.0,13421,,6:55,7:13,6480,,0.18,0.0,78.716095,,10.809,21.618,69.6712875,21,204.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5510.0,2.0,HED_D,3127.0,6:57,7:27,PC_10,13215.0,0.3,0.03,89.9641876,,10.664,21.3279991,81.0407028,22,234.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5514.0,1.0,PC_6,13215.0,6:57,7:24,ÖS_J,7880.0,0.27,0.0,72.7349854,,8.581,17.1669998,65.5524368,23,495.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,2.0,GMV_H,7581.0,7:00,7:27,PC_7,13215.0,0.27,0.0,81.4686966,,9.153,18.3059998,73.8096008,24,583.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:07,7:39,HED_E,3127.0,0.32,0.0,81.0883789,,10.088,20.1809998,72.6447983,25,373.0
13323,PARX,6:58,17:45,PARX,7.41,105.793,PARX,Regular,5515.0,1.0,PC_7,13215.0,7:10,7:34,GMV_G,7581.0,0.24,0.0,98.8284988,,9.319,18.6380005,91.0304947,26,584.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5519.0,1.0,JON_A,13410.0,7:13,7:27,PC_9,13215.0,0.14,0.0,77.8760223,,6.171,12.342,72.7122192,27,892.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:17,7:54,HED_E,3127.0,0.37,0.0,98.8284988,,11.168,22.3409996,89.4811935,28,238.0
13321,PARX,6:38,25:30,PARX,17.1,248.411,PARX,Regular,5515.0,2.0,GMV_H,7581.0,7:20,7:47,PC_7,13215.0,0.27,0.0,90.818512,,9.153,18.3059998,83.1594162,29,585.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,1.0,3127,,7:22,7:36,13215,,0.14,0.04,90.3828278,,9.735,19.4699993,82.2367249,30,240.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:27,8:04,HED_E,3127.0,0.37,0.0,73.8096008,,11.168,22.3409996,64.4622955,31,242.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:27,8:01,HED_E,3127.0,0.34,0.0,72.7122192,,10.088,20.1809998,64.2686462,32,376.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5515.0,1.0,PC_7,13215.0,7:30,7:54,GMV_G,7581.0,0.24,0.0,81.0386124,,9.319,18.6380005,73.2406158,33,586.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5519.0,1.0,JON_A,13410.0,7:33,7:47,PC_9,13215.0,0.14,0.0,67.7608109,,6.171,12.342,62.5970116,34,894.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,7:34,7:57,PC_6,13215.0,0.23,0.0,81.7581024,,8.205,16.4099998,74.8922806,35,498.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,2.0,PC_9,13215.0,7:40,7:45,13722,,0.05,0.02,82.2339325,,2.59,5.17999983,80.0666656,36,895.0
13323,PARX,6:58,17:45,PARX,7.41,105.793,PARX,Regular,5515.0,2.0,GMV_H,7581.0,7:40,8:07,PC_7,13215.0,0.27,0.03,90.818512,,9.153,18.3059998,83.1594162,37,587.0
13321,PARX,6:38,25:30,PARX,17.1,248.411,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:47,8:24,HED_E,3127.0,0.37,0.0,83.1594162,,11.168,22.3409996,73.8121109,38,246.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,1.0,13722,,7:47,7:52,PC_9,13215.0,0.05,0.05,80.0652695,,2.518,5.03599977,77.958252,39,896.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:47,8:20,HED_E,3127.0,0.33,0.0,62.5970116,,10.088,20.1809998,54.1534309,40,379.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5513.0,2.0,HED_D,3127.0,7:50,8:17,PC_5,13215.0,0.27,0.0,84.5229187,,9.931,19.8619995,76.2128143,41,380.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,2.0,HED_D,3127.0,7:57,8:27,PC_10,13215.0,0.3,0.03,89.438652,,10.664,21.3279991,80.5151749,42,249.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:57,8:34,HED_E,3127.0,0.37,0.0,74.8922806,,11.168,22.3409996,65.5449753,43,248.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:57,8:30,HED_E,3127.0,0.33,0.0,77.9547653,,10.088,20.1809998,69.5111847,44,381.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5515.0,2.0,GMV_H,7581.0,8:00,8:27,PC_7,13215.0,0.27,0.0,73.0286255,,9.153,18.3059998,65.3695374,45,589.0
13323,PARX,6:58,17:45,PARX,7.41,105.793,PARX,Regular,5515.0,1.0,PC_7,13215.0,8:10,8:34,GMV_G,7581.0,0.24,0.0,83.1573257,,9.319,18.6380005,75.3593292,46,590.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5513.0,2.0,HED_D,3127.0,8:12,8:37,PC_5,13215.0,0.25,0.0,80.0378799,,9.931,19.8619995,71.7277679,47,383.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5501.0,1.0,13421,,8:25,8:43,6480,,0.18,0.0,71.777153,,10.809,21.618,62.7323456,48,207.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5519.0,2.0,PC_9,13215.0,8:27,8:42,JON_B,13410.0,0.15,0.0,65.3695374,,6.191,12.3870001,60.1869049,49,901.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5515.0,1.0,PC_7,13215.0,8:30,8:54,GMV_G,7581.0,0.24,0.0,80.5130844,,9.319,18.6380005,72.7150803,50,592.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,2.0,HED_D,3127.0,8:32,8:57,PC_5,13215.0,0.25,0.13,69.4693375,,9.931,19.8619995,61.1592293,51,386.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5513.0,1.0,PC_5,13215.0,8:37,9:08,HED_E,3127.0,0.31,0.0,71.7277679,,10.088,20.1809998,63.2841873,52,387.0
13323,PARX,6:58,17:45,PARX,7.41,105.793,PARX,Regular,5515.0,2.0,GMV_H,7581.0,8:40,9:07,PC_7,13215.0,0.27,0.0,75.1473389,,9.153,18.3059998,67.4882507,53,594.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5518.0,1.0,JON_A,13410.0,8:45,8:57,PC_7,13215.0,0.12,0.0,60.1018372,,5.133,10.2659998,55.8066177,54,792.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5518.0,2.0,PC_7,13215.0,8:57,9:14,JON_B,13410.0,0.17,0.0,55.8066177,,5.137,10.2790003,51.5059586,55,793.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:02,9:27,PC_7,13215.0,0.25,0.0,72.5017014,,9.153,18.3059998,64.8426132,56,596.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,9:10,9:34,GMV_G,7581.0,0.24,0.0,61.1501617,,9.319,18.6380005,53.3521576,57,598.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5513.0,2.0,HED_D,3127.0,9:12,9:37,PC_5,13215.0,0.25,0.0,63.2409592,,9.931,19.8619995,54.9308434,58,390.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5518.0,1.0,JON_A,13410.0,9:25,9:37,PC_7,13215.0,0.12,0.0,70.1794891,,5.133,10.2659998,65.8842697,59,796.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,1.0,PC_6,13215.0,9:27,9:53,ÖS_J,7880.0,0.26,0.0,64.8426132,,8.581,17.1669998,57.6600685,60,505.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5518.0,2.0,PC_7,13215.0,9:37,9:54,JON_B,13410.0,0.17,0.0,54.9308434,,5.137,10.2790003,50.630188,61,797.0
13309,PARX,5:12,19:05,PARX,13.47,234.487,PARX,Regular,5513.0,1.0,PC_5,13215.0,9:37,10:08,HED_E,3127.0,0.31,0.0,65.8842697,,10.088,20.1809998,57.4406853,62,393.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:42,10:07,PC_7,13215.0,0.25,0.03,53.1387787,,9.153,18.3059998,45.4796867,63,601.0
13310,PARX,5:13,16:43,PARX,11.3,222.461,PARX,Regular,5519.0,1.0,JON_A,13410.0,10:04,10:17,PC_9,13215.0,0.13,0.0,67.3719559,,6.171,12.342,62.2081528,64,910.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,10:05,10:27,PC_6,13215.0,0.22,0.0,79.5610733,,8.205,16.4099998,72.6952515,65,509.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,10:10,10:34,GMV_G,7581.0,0.24,0.0,45.4775963,,9.319,18.6380005,37.6795959,66,604.0
