Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,5:10,6:01,2190,21.25,42.5,0,5
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,1,489
Regular,JON_A,5:29,5:42,PC_9,6.171,12.342,2,881
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,3,490
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,4,227
Regular,HED_D,5:57,6:27,PC_10,10.664,21.3279991,5,228
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,6,773
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,7,492
Regular,2190,6:08,7:03,4808,20.865,41.7299995,8,14
Regular,HED_D,6:17,6:47,PC_10,10.664,21.3279991,9,230
Regular,2190,6:18,7:14,4808,20.865,41.7299995,10,16
Regular,PC_10,6:27,7:01,HED_E,11.168,22.3409996,11,231
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,12,887
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,13,888
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,14,233
Regular,PC_9,6:47,7:02,JON_B,6.191,12.3870001,15,889
Regular,4808,6:51,7:49,2190,21.25,42.5,16,23
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,17,890
Regular,HED_D,7:07,7:37,PC_10,10.664,21.3279991,18,235
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,19,373
Regular,13329,7:10,7:31,6480,11.706,23.4120007,20,215
Regular,4808,7:11,8:11,2190,21.25,42.5,21,27
Regular,JON_A,7:13,7:27,PC_9,6.171,12.342,22,892
Regular,4808,7:21,8:21,2190,21.25,42.5,23,29
Regular,PC_5,7:27,8:01,HED_E,10.088,20.1809998,24,376
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,25,377
Regular,PC_10,7:37,8:14,HED_E,11.168,22.3409996,26,244
Regular,PC_9,7:47,8:02,JON_B,6.191,12.3870001,27,897
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,28,380
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,29,787
Regular,2190,8:00,8:59,4808,20.865,41.7299995,30,36
Regular,HED_D,8:12,8:37,PC_5,9.931,19.8619995,31,383
Regular,JON_A,8:13,8:27,PC_9,6.171,12.342,32,900
Regular,HED_D,8:17,8:47,PC_10,10.664,21.3279991,33,253
Regular,13421,8:25,8:43,6480,10.809,21.618,34,207
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,35,790
Regular,PC_10,8:27,9:03,HED_E,11.168,22.3409996,36,254
Regular,2190,8:30,9:29,4808,20.865,41.7299995,37,42
Regular,PC_5,8:37,9:08,HED_E,10.088,20.1809998,38,387
Regular,PC_7,8:37,8:54,JON_B,5.137,10.2790003,39,791
Regular,2190,8:40,9:39,4808,20.865,41.7299995,40,44
Regular,PC_10,8:47,9:23,HED_E,11.168,22.3409996,41,256
Regular,JON_A,9:05,9:17,PC_7,5.133,10.2659998,42,794
Regular,4808,9:06,10:02,2190,21.25,42.5,43,49
Regular,HED_D,9:12,9:37,PC_5,9.931,19.8619995,44,390
Regular,PC_5,9:17,9:48,HED_E,10.088,20.1809998,45,391
Regular,HED_D,9:18,9:47,PC_10,10.664,21.3279991,46,258
Regular,4808,9:36,10:31,2190,21.25,42.5,47,55
Regular,PC_7,9:37,9:54,JON_B,5.137,10.2790003,48,797
Regular,4808,9:44,10:39,2190,21.25,42.5,49,57
Regular,PC_9,9:47,10:02,JON_B,6.191,12.3870001,50,909
Regular,HED_D,9:48,10:17,PC_10,10.664,21.3279991,51,260
Regular,HED_D,9:53,10:17,PC_5,9.931,19.8619995,52,394
Regular,JON_A,10:04,10:17,PC_9,6.171,12.342,53,910
Regular,JON_A,10:05,10:17,PC_7,5.133,10.2659998,54,800
Regular,PC_10,10:17,10:53,HED_E,11.168,22.3409996,55,261
Regular,PC_5,10:17,10:48,HED_E,10.088,20.1809998,56,397
Regular,PC_7,10:17,10:34,JON_B,5.137,10.2790003,57,801
Regular,PC_9,10:17,10:32,JON_B,6.191,12.3870001,58,911
Regular,JON_A,10:34,10:47,PC_9,6.171,12.342,59,912
Regular,2190,10:40,11:37,4808,20.865,41.7299995,60,68
Regular,JON_A,10:45,10:57,PC_7,5.133,10.2659998,61,804
Regular,PC_9,10:47,11:02,JON_B,6.191,12.3870001,62,913
Regular,2190,10:49,11:47,4808,20.865,41.7299995,63,70
Regular,HED_D,10:52,11:17,PC_5,9.931,19.8619995,64,400
Regular,PC_5,10:57,11:28,HED_E,10.088,20.1809998,65,401
Regular,2190,10:59,11:57,4808,20.865,41.7299995,66,72
Regular,JON_A,11:05,11:17,PC_7,5.133,10.2659998,67,806
Regular,PC_5,11:17,11:48,HED_E,10.088,20.1809998,68,403
Regular,PC_7,11:17,11:34,JON_B,5.137,10.2790003,69,807
Regular,HED_D,11:18,11:47,PC_10,10.664,21.3279991,70,266
Regular,HED_D,11:32,11:57,PC_5,9.931,19.8619995,71,404
Regular,4808,11:44,12:39,2190,21.25,42.5,72,81
Regular,JON_A,11:45,11:57,PC_7,5.133,10.2659998,73,810
Regular,PC_9,11:47,12:02,JON_B,6.191,12.3870001,74,917
Regular,HED_D,11:52,12:17,PC_5,9.931,19.8619995,75,406
Regular,4808,11:54,12:49,2190,21.25,42.5,76,83
Regular,PC_3,11:57,12:13,13329,4.783,9.5710001,77,714
Regular,PC_7,11:57,12:14,JON_B,5.137,10.2790003,78,811
Regular,4808,12:04,12:59,2190,21.25,42.5,79,85
Regular,JON_A,12:05,12:17,PC_7,5.133,10.2659998,80,812
Regular,13329,12:15,12:27,PC_3,4.645,9.28999996,81,715
Regular,PC_10,12:17,12:52,HED_E,11.168,22.3409996,82,270
Regular,PC_7,12:17,12:34,JON_B,5.137,10.2790003,83,813
Regular,JON_A,12:25,12:37,PC_7,5.133,10.2659998,84,814
Regular,PC_6,12:27,12:53,ÖS_J,8.581,17.1669998,85,521
Regular,PC_5,12:37,13:08,HED_E,10.088,20.1809998,86,413
Regular,JON_A,12:45,12:57,PC_7,5.133,10.2659998,87,816
Regular,HED_D,12:57,13:27,PC_10,10.664,21.3279991,88,273
Regular,PC_7,12:57,13:14,JON_B,5.137,10.2790003,89,817
Regular,2190,13:01,13:59,4808,20.865,41.7299995,90,96
Regular,ÖS_H,13:05,13:27,PC_6,8.205,16.4099998,91,524
Regular,2190,13:11,14:09,4808,20.865,41.7299995,92,98
Regular,HED_D,13:12,13:37,PC_5,9.931,19.8619995,93,416
Regular,2190,13:20,14:19,4808,20.865,41.7299995,94,100
Regular,JON_A,13:25,13:37,PC_7,5.133,10.2659998,95,820
Regular,PC_10,13:27,14:02,HED_E,11.168,22.3409996,96,277
Regular,PC_6,13:27,13:53,ÖS_J,8.581,17.1669998,97,525
Regular,PC_5,13:37,14:08,HED_E,10.088,20.1809998,98,419
Regular,PC_7,13:37,13:54,JON_B,5.137,10.2790003,99,821
Regular,ÖS_H,14:05,14:27,PC_6,8.205,16.4099998,100,528
Regular,JON_A,14:05,14:17,PC_7,5.133,10.2659998,101,824
Regular,4808,14:06,15:02,2190,21.25,42.5,102,109
Regular,HED_D,14:10,14:37,PC_5,9.931,19.8619995,103,422
Regular,4808,14:16,15:12,2190,21.25,42.5,104,111
Regular,HED_D,14:16,14:47,PC_10,10.664,21.3279991,105,283
Regular,PC_7,14:17,14:34,JON_B,5.137,10.2790003,106,825
Regular,4808,14:26,15:22,2190,21.25,42.5,107,113
Regular,PC_7,14:30,14:56,GMV_G,9.319,18.6380005,108,634
Regular,PC_7,14:37,14:54,JON_B,5.137,10.2790003,109,827
Regular,JON_A,14:45,14:57,PC_7,5.133,10.2659998,110,828
Regular,PC_9,14:47,15:04,JON_B,6.191,12.3870001,111,935
Regular,13215,14:57,15:14,3127,10.033,20.066,112,290
Regular,PC_5,14:57,15:28,HED_E,10.088,20.1809998,113,427
Regular,GMV_H,15:00,15:27,PC_7,9.153,18.3059998,114,637
Regular,JON_A,15:05,15:17,PC_7,5.133,10.2659998,115,830
Regular,2190,15:09,16:11,4808,20.865,41.7299995,116,122
Regular,JON_A,15:13,15:27,PC_9,6.171,12.342,117,939
Regular,HED_D,15:15,15:47,PC_10,10.664,21.3279991,118,295
Regular,PC_5,15:17,15:48,HED_E,10.088,20.1809998,119,431
Regular,13215,15:27,15:44,3127,10.033,20.066,120,297
Regular,PC_3,15:27,15:43,13329,4.783,9.5710001,121,728
Regular,2190,15:29,16:32,4808,20.865,41.7299995,122,126
Regular,HED_D,15:39,16:07,PC_5,9.931,19.8619995,123,435
Regular,HED_D,15:45,16:17,PC_10,10.664,21.3279991,124,302
Regular,13329,15:45,15:57,PC_3,4.645,9.28999996,125,729
Regular,PC_10,15:47,16:23,HED_E,11.168,22.3409996,126,304
Regular,HED_D,15:58,16:27,PC_5,9.931,19.8619995,127,439
Regular,PC_10,16:07,16:43,HED_E,11.168,22.3409996,128,308
Regular,2190,16:09,17:11,4808,20.865,41.7299995,129,134
Regular,6480,16:10,16:31,13330,11.944,23.8880005,130,220
Regular,PC_7,16:17,16:34,JON_B,5.137,10.2790003,131,837
Regular,4808,16:18,17:17,2190,21.25,42.5,132,136
Regular,PC_6,16:27,16:54,ÖS_J,8.581,17.1669998,133,537
Regular,HED_D,16:28,16:57,PC_5,9.931,19.8619995,134,444
Regular,4808,16:38,17:37,2190,21.25,42.5,135,139
