chain_id,family_replicate,addition_rank,duty_id,removed_when_descending_from_k
nested_probability_1,1,1,13313,1
nested_probability_1,1,2,13310,2
nested_probability_1,1,3,13408,3
nested_probability_1,1,4,13413,4
nested_probability_1,1,5,13324muw,5
nested_probability_1,1,6,13312,6
nested_probability_1,1,7,13319,7
nested_probability_1,1,8,13409,8
nested_probability_1,1,9,13404,9
nested_probability_1,1,10,13403,10
nested_probability_1,1,11,13326,11
nested_probability_1,1,12,13402,12
nested_probability_1,1,13,13318,13
nested_probability_1,1,14,13311,14
nested_probability_1,1,15,13303,15
nested_probability_2,2,1,13311,1
nested_probability_2,2,2,13307,2
nested_probability_2,2,3,13320,3
nested_probability_2,2,4,13406,4
nested_probability_2,2,5,13302,5
nested_probability_2,2,6,13324t,6
nested_probability_2,2,7,13310,7
nested_probability_2,2,8,13321,8
nested_probability_2,2,9,13312,9
nested_probability_2,2,10,13404,10
nested_probability_2,2,11,13414,11
nested_probability_2,2,12,13319,12
nested_probability_2,2,13,13411,13
nested_probability_2,2,14,13303,14
nested_probability_2,2,15,13325,15
nested_probability_3,3,1,13316uwt,1
nested_probability_3,3,2,13309,2
nested_probability_3,3,3,13323,3
nested_probability_3,3,4,13324t,4
nested_probability_3,3,5,13301,5
nested_probability_3,3,6,13321,6
nested_probability_3,3,7,13307,7
nested_probability_3,3,8,13414,8
nested_probability_3,3,9,13304,9
nested_probability_3,3,10,13403,10
nested_probability_3,3,11,13413,11
nested_probability_3,3,12,13411,12
nested_probability_3,3,13,13318,13
nested_probability_3,3,14,13311,14
nested_probability_3,3,15,13326,15
nested_probability_4,4,1,13406,1
nested_probability_4,4,2,13410,2
nested_probability_4,4,3,13311,3
nested_probability_4,4,4,13310,4
nested_probability_4,4,5,13313,5
nested_probability_4,4,6,13322,6
nested_probability_4,4,7,13414,7
nested_probability_4,4,8,13312,8
nested_probability_4,4,9,13307,9
nested_probability_4,4,10,13404,10
nested_probability_4,4,11,13306,11
nested_probability_4,4,12,13401,12
nested_probability_4,4,13,13321,13
nested_probability_4,4,14,13325,14
nested_probability_4,4,15,13308,15
nested_probability_5,5,1,13407,1
nested_probability_5,5,2,13410,2
nested_probability_5,5,3,13322,3
nested_probability_5,5,4,13319,4
nested_probability_5,5,5,13404,5
nested_probability_5,5,6,13317,6
nested_probability_5,5,7,13402,7
nested_probability_5,5,8,13408,8
nested_probability_5,5,9,13320,9
nested_probability_5,5,10,13316uwt,10
nested_probability_5,5,11,13312,11
nested_probability_5,5,12,13413,12
nested_probability_5,5,13,13411,13
nested_probability_5,5,14,13314,14
nested_probability_5,5,15,13305,15
nested_probability_6,6,1,13401,1
nested_probability_6,6,2,13320,2
nested_probability_6,6,3,13408,3
nested_probability_6,6,4,13309,4
nested_probability_6,6,5,13324t,5
nested_probability_6,6,6,13409,6
nested_probability_6,6,7,13407,7
nested_probability_6,6,8,13307,8
nested_probability_6,6,9,13302,9
nested_probability_6,6,10,13311,10
nested_probability_6,6,11,13310,11
nested_probability_6,6,12,13303,12
nested_probability_6,6,13,13312,13
nested_probability_6,6,14,13308,14
nested_probability_6,6,15,13322,15
