Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,0,574
Regular,GMV_H,6:23,6:47,PC_7,9.153,18.3059998,1,577
Regular,PC_7,6:50,7:14,GMV_G,9.319,18.6380005,2,581
Regular,13421,6:55,7:13,6480,10.809,21.618,3,204
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,4,238
Regular,GMV_H,7:20,7:47,PC_7,9.153,18.3059998,5,585
Regular,JON_A,7:33,7:47,PC_9,6.171,12.342,6,894
Regular,PC_10,7:47,8:24,HED_E,11.168,22.3409996,7,246
Regular,PC_5,7:47,8:20,HED_E,10.088,20.1809998,8,379
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,9,249
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,10,592
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,11,596
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,12,505
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,13,509
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,14,706
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,15,708
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,16,513
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,17,517
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,18,407
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,19,411
Regular,PC_5,12:57,13:28,HED_E,10.088,20.1809998,20,415
Regular,HED_D,13:30,13:57,PC_5,9.931,19.8619995,21,418
Regular,PC_3,13:57,14:13,13329,4.783,9.5710001,22,722
Regular,13329,14:15,14:27,PC_3,4.645,9.28999996,23,723
Regular,PC_6,14:27,14:54,ÖS_J,8.581,17.1669998,24,529
Regular,13215,14:42,14:59,3127,10.033,20.066,25,286
Regular,HED_D,15:00,15:27,PC_5,9.931,19.8619995,26,428
Regular,ÖS_H,15:04,15:27,PC_6,8.205,16.4099998,27,532
Regular,HED_D,15:09,15:37,PC_5,9.931,19.8619995,28,430
Regular,PC_10,15:27,16:03,HED_E,11.168,22.3409996,29,298
Regular,PC_6,15:27,15:54,ÖS_J,8.581,17.1669998,30,533
Regular,PC_5,15:37,16:09,HED_E,10.088,20.1809998,31,434
Regular,ÖS_H,16:04,16:27,PC_6,8.205,16.4099998,32,536
Regular,HED_D,16:08,16:37,PC_5,9.931,19.8619995,33,440
Regular,6480,16:25,16:45,13421,11.116,22.2320004,34,210
Regular,6480,16:40,17:02,13330,11.944,23.8880005,35,221
Regular,6480,16:55,17:14,13421,11.116,22.2320004,36,211
Regular,PC_7,17:10,17:36,GMV_G,9.319,18.6380005,37,650
Regular,HED_D,17:20,17:47,PC_5,9.931,19.8619995,38,452
Regular,GMV_H,17:40,18:07,PC_7,9.153,18.3059998,39,653
Regular,PC_10,17:47,18:21,HED_E,11.168,22.3409996,40,328
Regular,HED_D,18:42,19:12,PC_10,10.664,21.3279991,41,333
Regular,PC_7,19:15,19:38,GMV_G,9.319,18.6380005,42,662
Regular,GMV_H,19:47,20:12,PC_7,9.153,18.3059998,43,665
Regular,PC_7,20:15,20:38,GMV_G,9.319,18.6380005,44,666
Regular,GMV_H,20:47,21:12,PC_7,9.153,18.3059998,45,669
Regular,PC_10,21:12,21:44,HED_E,11.168,22.3409996,46,343
Regular,HED_D,22:13,22:42,PC_10,10.664,21.3279991,47,348
Regular,PC_9,22:42,22:57,JON_B,6.191,12.3870001,48,978
Regular,JON_A,23:00,23:12,PC_9,6.171,12.342,49,979
Regular,PC_7,23:15,23:36,GMV_G,9.319,18.6380005,50,678
Regular,GMV_H,23:48,24:12,PC_7,9.153,18.3059998,51,681
Regular,PC_7,24:15,24:29,ÖS_J,5.845,11.6899996,52,682
Regular,ÖS_H,24:36,24:57,PC_6,7.642,15.2840004,53,683
Regular,PC_6,25:00,25:19,ÖS_J,8.119,16.2380009,54,684
