chain_id,family_replicate,addition_rank,duty_id,chain_seed,accepted_draw_attempt,cohort
nested_probability_1,1,1,13313,20260904001,1,replayed_original
nested_probability_1,1,2,13310,20260904001,1,replayed_original
nested_probability_1,1,3,13408,20260904001,1,replayed_original
nested_probability_1,1,4,13413,20260904001,1,replayed_original
nested_probability_1,1,5,13324muw,20260904001,1,replayed_original
nested_probability_1,1,6,13312,20260904001,1,replayed_original
nested_probability_1,1,7,13319,20260904001,1,replayed_original
nested_probability_1,1,8,13409,20260904001,1,replayed_original
nested_probability_1,1,9,13404,20260904001,1,replayed_original
nested_probability_1,1,10,13403,20260904001,1,replayed_original
nested_probability_1,1,11,13326,20260904001,1,replayed_original
nested_probability_1,1,12,13402,20260904001,1,replayed_original
nested_probability_1,1,13,13318,20260904001,1,replayed_original
nested_probability_1,1,14,13311,20260904001,1,replayed_original
nested_probability_1,1,15,13303,20260904001,1,replayed_original
nested_probability_2,2,1,13311,20260904002,1,replayed_original
nested_probability_2,2,2,13307,20260904002,1,replayed_original
nested_probability_2,2,3,13320,20260904002,1,replayed_original
nested_probability_2,2,4,13406,20260904002,1,replayed_original
nested_probability_2,2,5,13302,20260904002,1,replayed_original
nested_probability_2,2,6,13324t,20260904002,1,replayed_original
nested_probability_2,2,7,13310,20260904002,1,replayed_original
nested_probability_2,2,8,13321,20260904002,1,replayed_original
nested_probability_2,2,9,13312,20260904002,1,replayed_original
nested_probability_2,2,10,13404,20260904002,1,replayed_original
nested_probability_2,2,11,13414,20260904002,1,replayed_original
nested_probability_2,2,12,13319,20260904002,1,replayed_original
nested_probability_2,2,13,13411,20260904002,1,replayed_original
nested_probability_2,2,14,13303,20260904002,1,replayed_original
nested_probability_2,2,15,13325,20260904002,1,replayed_original
nested_probability_3,3,1,13316uwt,20260904003,1,replayed_original
nested_probability_3,3,2,13309,20260904003,1,replayed_original
nested_probability_3,3,3,13323,20260904003,1,replayed_original
nested_probability_3,3,4,13324t,20260904003,1,replayed_original
nested_probability_3,3,5,13301,20260904003,1,replayed_original
nested_probability_3,3,6,13321,20260904003,1,replayed_original
nested_probability_3,3,7,13307,20260904003,1,replayed_original
nested_probability_3,3,8,13414,20260904003,1,replayed_original
nested_probability_3,3,9,13304,20260904003,1,replayed_original
nested_probability_3,3,10,13403,20260904003,1,replayed_original
nested_probability_3,3,11,13413,20260904003,1,replayed_original
nested_probability_3,3,12,13411,20260904003,1,replayed_original
nested_probability_3,3,13,13318,20260904003,1,replayed_original
nested_probability_3,3,14,13311,20260904003,1,replayed_original
nested_probability_3,3,15,13326,20260904003,1,replayed_original
nested_probability_4,4,1,13406,20260904004,1,replayed_original
nested_probability_4,4,2,13410,20260904004,1,replayed_original
nested_probability_4,4,3,13311,20260904004,1,replayed_original
nested_probability_4,4,4,13310,20260904004,1,replayed_original
nested_probability_4,4,5,13313,20260904004,1,replayed_original
nested_probability_4,4,6,13322,20260904004,1,replayed_original
nested_probability_4,4,7,13414,20260904004,1,replayed_original
nested_probability_4,4,8,13312,20260904004,1,replayed_original
nested_probability_4,4,9,13307,20260904004,1,replayed_original
nested_probability_4,4,10,13404,20260904004,1,replayed_original
nested_probability_4,4,11,13306,20260904004,1,replayed_original
nested_probability_4,4,12,13401,20260904004,1,replayed_original
nested_probability_4,4,13,13321,20260904004,1,replayed_original
nested_probability_4,4,14,13325,20260904004,1,replayed_original
nested_probability_4,4,15,13308,20260904004,1,replayed_original
nested_probability_5,5,1,13407,20260904005,2,replayed_original
nested_probability_5,5,2,13410,20260904005,2,replayed_original
