cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,nested_chain_id,nested_parent_cell_id,addition_rank_duty,relative_path,instance_file_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min,direct_compatibility_density
k03_p7,3,7,probability,7,fixed_seed_probability_7,nested_probability_7,k02_p7,13310,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p07_20260909.csv,449b3db817380452cc228ed421a1f412711851b008310616534dde940b698f7f,"[""13310"",""13401"",""13412""]",838b38d8bf9678af9f3e464d09b06db25c32c4ce81046c2af8ccbe008b09df22,3,True,f8290f26c2ffa21dc285d6113362bbba48020d85b1a7f74badf49e9600adb866,51,3,1543.42798846,514.475996153,24,0.299942324,7.0,1226,0.066666666667
k03_p8,3,8,probability,8,fixed_seed_probability_8,nested_probability_8,k02_p8,13305,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p08_20260909.csv,594358b09a2da99acfa45f3bf0849a0740112bc5d39fd2b1d0a1d093d661558b,"[""13305"",""13306"",""13319""]",63e0508e1cc85b70ff694a65dd6d4c7b00a9a56cd51e87aedd00269d2dd1f54e,3,True,457b5c738ecf52a46df897d2bc256b9f4f1bf3fe0524433da6d7f6dc0bc8a791,87,3,1369.85298907,456.617663023,30,0.048765985,2.0,1235,0.097834803528
k03_p9,3,9,probability,9,fixed_seed_probability_9,nested_probability_9,k02_p9,13310,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p09_20260909.csv,e47617ce2b1111bf9173efbc57bf06ba80fc1b0e0a81f4ce1331c376d746f99c,"[""13310"",""13312"",""13322""]",45d5e82729f655a8b1a0159d7dd348d80041383a4c59c86a470dbcade96c7026,3,True,09a1783a943e52df29776459b62cce86930bfc28023c8321d322182d46f2d3bd,96,3,1516.88198592,505.62732864,46,0.310409676,2.0,1197,0.106798245614
k03_p10,3,10,probability,10,fixed_seed_probability_10,nested_probability_10,k02_p10,13307,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p10_20260909.csv,44325fc055959c7c8cf0123119285b59823203d0b626c286daa4b40fc2fe3bd2,"[""13307"",""13310"",""13321""]",3c0994fff09b112635deac40f3957e1e283a333dd549b44c605c9ab41130e1c2,3,True,9d8acfa851ff0104468541e2f23231611a895c73b41c60b7cbf5fa5b5ec167c2,61,3,1065.57399118,355.191330393,24,0.189767818,3.0,1202,0.096721311475
k03_p11,3,11,probability,11,fixed_seed_probability_11,nested_probability_11,k02_p11,13307,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p11_20260909.csv,8073f4cff0a39c5fc14d9e92bcca4dd91153b73d82d806de335434d5ebb8e51f,"[""13307"",""13403"",""13412""]",b8b1890d087771c8aad5e798c4baab90377adff40e44fda4fded02dc67f05fe1,3,True,3a495c9984464d5347fcc8e242f377db3c5b5764bf9519d8800dd8d830b09024,44,3,1472.28298982,490.760996607,15,0.032141217,7.0,1206,0.07399577167
k03_p12,3,12,probability,12,fixed_seed_probability_12,nested_probability_12,k02_p12,13304,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p12_20260909.csv,3aa12bd66c6d4252b7893255ade1a80a30bef9a863ca26d5250c7690f3d8bc3d,"[""13304"",""13305"",""13322""]",9366f5e5ba53619c3b7d47560c8b3c2dd4ca7a706048c7f05d2feedad533898a,3,True,cd3d918729936445feea88595baf3d185372eedc7783d81e362ed4edc00fd40c,93,3,1375.31899116,458.43966372,37,0.146647115,2.0,1243,0.094436652641
k03_p13,3,13,probability,13,fixed_seed_probability_13,nested_probability_13,k02_p13,13308,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p13_20260909.csv,0785167b326c7454792d80a8c93dd1d3114adf6cb7927457560ef564774451cd,"[""13308"",""13310"",""13402""]",a77ba79b22c0ba5dca43a75d03682fb8029172b69bb50588c784a0739abcbdec,3,True,707506918f42c384b1e992ce988ce2bdbd32a230480b12b7a08b2362494898ee,72,3,1650.01698786,550.00566262,31,0.238144836,5.0,1137,0.067683881064
k03_p14,3,14,probability,14,fixed_seed_probability_14,nested_probability_14,k02_p14,13324t,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p14_20260909.csv,316c18a9016f6ff4ffdf1b34e5397830e88f379b2b2ba7944033be0c2d93876e,"[""13314"",""13324t"",""13326""]",1d439ea144b0b223c6068ec96e46ff5ecd70de436206692ea85fade1ab264d79,3,True,88807072f5a0cbea13f39a7c12c15410ec4237ad8e492d122533036f0d35953c,55,3,943.35099442,314.450331473,21,0.112080255,3.0,742,0.13468013468
k03_p15,3,15,probability,15,fixed_seed_probability_15,nested_probability_15,k02_p15,13303,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p15_20260909.csv,7a00cf1b4fc4c8a4fab5f88a209a98ac6c95dffe44ff4e6b83cc827aa80be7f1,"[""13303"",""13306"",""13325""]",c246f5816fd1297e7da8d5c7dd1ee6ac5bbc5c497bdaca81d75d199ffd5b5449,3,True,69defc80556c608a9b77c340483a6922274fefe4802fdc7b4333d23643915c3a,126,3,1865.13798518,621.712661727,54,0.233284737,2.0,1257,0.08673015873
k03_p16,3,16,probability,16,fixed_seed_probability_16,nested_probability_16,k02_p16,13319,data/scale_ladder/instances/nested_replication_p7_20_20260909/Practice_Custom_DutyUnion_k03_p16_20260909.csv,fcb55ccedb576d9b059e914f6235d63d7d92c903cc2af5905b040af1f94407b5,"[""13311"",""13319"",""13403""]",e343f47682fbfb122ec24bcad68e48de9096a2a0900b57e7ae5bc93c5efc14f6,3,True,699bae5519c670a37a2f5213fca427c77577be9345b12bbea371af2a6d680185,55,3,1316.20998895,438.736662983,27,0.33426866,7.0,1257,0.081481481481
