scale,selection_replicate,cg_replicates,target_fleet,relative_path,instance_file_sha256,trip_count,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema,duty_count,duties_json,duty_set_sha256,generator_seed,generator_family,weekday_variant_policy,reused_frozen_input
2,1,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r1.csv,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,47,a407961032cd6f499e4e9a705caaa7713955e1ae1dc57748b5afca330bbe8cee,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,92781fae41798dcabf5c91628627a20f3c68223cb2da50bdb844daf9979b6e32,evsp-dr-trip-identity-v1,2,"[""13310"",""13316m""]",25aaf2e6bcda966862fc98df1fe8570171f854b0e57b6bed2dad2c82df3dc721,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
2,2,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r2.csv,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,29,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,d22dfb2adc3de0a6517f8dad765a2104d21bcf25b91f530c686b73b836de7c58,979995f2efbb0cd1e3b793c0ef76ea5c3bc8c4a07df939507a4d196b2b00018d,evsp-dr-trip-identity-v1,2,"[""13406"",""13413""]",af3f0c57a8a89e18bae15173ee7f7aab08994513324820a7dd70bd3d4adc1e31,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
2,3,1,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r3.csv,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,56,64f4365ccabe2c8071141cd370633c431b47182261d5292ef58fb35e9f324ab0,59835c4c63a2976ca7a03da717fa1385f74c9373df697bf4d88d6b0181bf0fbe,2a976be3dbdb9226dd7adaa85342699d69f10ded1e94c7f5a8c057aa41fd8339,evsp-dr-trip-identity-v1,2,"[""13305"",""13322""]",f8a61c3cf8fa6d83e4846130ef81698858976e5e32c1e44e3c4a9f420b1c7ec6,20260803,pair_union_k2_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,1,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r1.csv,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,61,2f3faac2152fde74ffc940b3bc49aafe3bc8b8fbbadd5ac6f0a30fb174d66a71,793ccb3f72f281f1079fdcc2a59de67f31c784d21f31832c86270748fa1a7978,95b4cee1684575e7b83a46f379a8746a07d4beeff3731c95bb5114a3489dcdfb,evsp-dr-trip-identity-v1,3,"[""13310"",""13316m"",""13406""]",9b7646d91830fb166cefba518ca36d6d897b6b54300cd29e9fe6c7e3ac098dee,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,2,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r2.csv,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,71,f43ef331a5c58db428971e6c1062e83f83c15defa8e93fb953de533ca19c9931,3f8ba1ba684e8716db420439c0482e269791fcedcaf91d0fb285a0fed7cd468e,040d23f7228ec3338ab957ed870e3d99daaacf8532e7b7fe5c4f90c4032d7bf0,evsp-dr-trip-identity-v1,3,"[""13305"",""13322"",""13413""]",110721c8770a61e08b1b8670f6a000cb1f329b05608c9e338646e6702c380a5c,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
3,3,1,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r3.csv,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,47,58b741176a2a04a2fdbd97f6b53fa4af47845d2c7b2f16728bc6a75f3d2b9f15,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,5081087f90b625605596d7b21aefe13e7434daf388be109ea8bdfcac5868aa18,evsp-dr-trip-identity-v1,3,"[""13319"",""13323"",""13414""]",f23945a8c392cb2ddb8b8aac7b82f0510ea785e094ae8542e8562013598dbc01,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
5,1,1,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r1.csv,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,105,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1,5,"[""13302"",""13408"",""13410"",""13411"",""13412""]",3a4a18fbebfb57ea6db7c03920f2af89b55d761e3aae498820207c0c9ad0d37b,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
5,2,1,5,data/tariff_response/frozen_instances/Practice_Custom_DutyUnion_k05_r2.csv,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,101,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1,5,"[""13307"",""13315"",""13326"",""13402"",""13407""]",f80b6eeb57d9a13686a624d928ef08ee0b23d77d598eed5daaa8975d9e461680,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,True
5,3,1,5,data/scale_ladder/instances/Practice_Custom_DutyUnion_k05_r3.csv,4a783b4f96ec47e28a693b921d51a4453ecfb1107d8c181a7739f42c41fd8500,125,cda19abd3781818d58246ead5c9c056ed1f700cedb2c0fa611157104251bc28d,412d8c9efa78943b471bf0a5b89a5ee9a0d88709908462406472e96e73693ceb,1c6f5f781dbf75d3fb5415863eb14ccf2270f659eac9524ce12d9b00ae3fc77c,evsp-dr-trip-identity-v1,5,"[""13304"",""13305"",""13308"",""13413"",""13414""]",61f6986b6f8170ba5af930662f92b7f12712e44c77cc5607c682b363930aa8d8,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
8,1,1,8,data/scale_ladder/instances/Practice_Custom_DutyUnion_k08_r1.csv,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,203,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1,8,"[""13301"",""13305"",""13316m"",""13318"",""13325"",""13403"",""13405"",""13414""]",cfb8023b01ab3fe64676545f71695d8b99819b77250f5e46533e17265e99a1ca,20260803,small_3_5_8_13_per6_seed20260803,one_literal_per_numeric_base_no_siblings,False
