Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,4:30,5:21,2190,21.25,42.5,0,1
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,2,224
Regular,2190,5:26,6:19,4808,20.865,41.7299995,3,7
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,4,490
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,5,364
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,6,773
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,7,775
Regular,4808,6:26,7:20,2190,21.25,42.5,8,17
Regular,2190,6:28,7:24,4808,20.865,41.7299995,9,18
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,10,888
Regular,4808,6:34,7:31,2190,21.25,42.5,11,19
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,12,778
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,13,233
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,14,372
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,15,377
Regular,4808,7:31,8:31,2190,21.25,42.5,16,31
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,17,243
Regular,2190,7:39,8:39,4808,20.865,41.7299995,18,32
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,19,787
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,20,251
Regular,2190,8:09,9:09,4808,20.865,41.7299995,21,38
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,22,790
Regular,PC_7,8:37,8:54,JON_B,5.137,10.2790003,23,791
Regular,4808,8:46,9:42,2190,21.25,42.5,24,45
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,25,255
Regular,2190,8:50,9:49,4808,20.865,41.7299995,26,46
Regular,JON_A,9:05,9:17,PC_7,5.133,10.2659998,27,794
Regular,4808,9:16,10:11,2190,21.25,42.5,28,51
Regular,PC_5,9:17,9:48,HED_E,10.088,20.1809998,29,391
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,30,907
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,31,908
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,32,259
Regular,2190,9:50,10:47,4808,20.865,41.7299995,33,58
Regular,HED_D,9:53,10:17,PC_5,9.931,19.8619995,34,394
Regular,4808,9:54,10:49,2190,21.25,42.5,35,59
Regular,PC_7,10:17,10:34,JON_B,5.137,10.2790003,36,801
Regular,2190,10:20,11:17,4808,20.865,41.7299995,37,64
Regular,JON_A,10:45,10:57,PC_7,5.133,10.2659998,38,804
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,39,264
Regular,4808,10:54,11:49,2190,21.25,42.5,40,71
Regular,PC_5,10:57,11:28,HED_E,10.088,20.1809998,41,401
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,42,915
Regular,4808,11:24,12:19,2190,21.25,42.5,43,77
Regular,HED_D,11:32,11:57,PC_5,9.931,19.8619995,44,404
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,45,916
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,46,267
Regular,PC_7,11:57,12:14,JON_B,5.137,10.2790003,47,811
Regular,2190,11:59,12:57,4808,20.865,41.7299995,48,84
Regular,2190,12:09,13:07,4808,20.865,41.7299995,49,86
Regular,JON_A,12:25,12:37,PC_7,5.133,10.2659998,50,814
Regular,2190,12:29,13:27,4808,20.865,41.7299995,51,90
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,52,271
Regular,PC_5,12:37,13:08,HED_E,10.088,20.1809998,53,413
Regular,4808,13:04,14:00,2190,21.25,42.5,54,97
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,55,923
Regular,HED_D,13:12,13:37,PC_5,9.931,19.8619995,56,416
Regular,4808,13:14,14:10,2190,21.25,42.5,57,99
Regular,4808,13:34,14:30,2190,21.25,42.5,58,103
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,59,926
Regular,PC_5,13:37,14:08,HED_E,10.088,20.1809998,60,419
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,61,630
Regular,2190,14:10,15:09,4808,20.865,41.7299995,62,110
Regular,HED_D,14:10,14:37,PC_5,9.931,19.8619995,63,422
Regular,2190,14:19,15:20,4808,20.865,41.7299995,64,112
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,65,633
Regular,PC_7,14:37,14:54,JON_B,5.137,10.2790003,66,827
Regular,PC_10,14:47,15:22,HED_E,11.168,22.3409996,67,288
Regular,2190,14:48,15:50,4808,20.865,41.7299995,68,118
Regular,JON_A,15:05,15:17,PC_7,5.133,10.2659998,69,830
Regular,4808,15:16,16:14,2190,21.25,42.5,70,123
Regular,PC_5,15:17,15:48,HED_E,10.088,20.1809998,71,431
Regular,4808,15:27,16:26,2190,21.25,42.5,72,125
Regular,HED_D,15:29,15:57,PC_5,9.931,19.8619995,73,433
Regular,4808,15:57,16:56,2190,21.25,42.5,74,131
Regular,PC_7,15:57,16:14,JON_B,5.137,10.2790003,75,835
Regular,HED_D,15:58,16:27,PC_5,9.931,19.8619995,76,439
