Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,2190,4:47,5:39,4808,20.865,41.7299995,1,2
Regular,2190,5:07,5:59,4808,20.865,41.7299995,2,4
Regular,4808,5:25,6:16,2190,21.25,42.5,3,6
Regular,4808,5:46,6:38,2190,21.25,42.5,4,10
Regular,4808,6:06,6:59,2190,21.25,42.5,5,13
Regular,2190,6:48,7:45,4808,20.865,41.7299995,6,22
Regular,2190,7:09,8:08,4808,20.865,41.7299995,7,26
Regular,PC_7,7:10,7:34,GMV_G,9.319,18.6380005,8,584
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,9,238
Regular,2190,7:29,8:29,4808,20.865,41.7299995,10,30
Regular,GMV_H,7:40,8:07,PC_7,9.153,18.3059998,11,587
Regular,4808,7:52,8:52,2190,21.25,42.5,12,35
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,13,249
Regular,PC_7,8:10,8:34,GMV_G,9.319,18.6380005,14,590
Regular,4808,8:15,9:14,2190,21.25,42.5,15,39
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,16,592
Regular,4808,8:36,9:33,2190,21.25,42.5,17,43
Regular,GMV_H,8:40,9:07,PC_7,9.153,18.3059998,18,594
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,19,596
Regular,2190,9:20,10:17,4808,20.865,41.7299995,20,52
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,21,505
Regular,2190,9:40,10:37,4808,20.865,41.7299995,22,56
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,23,509
Regular,2190,10:10,11:07,4808,20.865,41.7299995,24,62
Regular,4808,10:24,11:19,2190,21.25,42.5,25,65
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,26,706
Regular,4808,10:44,11:39,2190,21.25,42.5,27,69
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,28,708
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,29,513
Regular,4808,11:14,12:09,2190,21.25,42.5,30,75
Regular,2190,11:29,12:27,4808,20.865,41.7299995,31,78
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,32,517
Regular,2190,11:49,12:47,4808,20.865,41.7299995,33,82
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,34,407
Regular,2190,12:19,13:17,4808,20.865,41.7299995,35,88
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,36,411
Regular,4808,12:34,13:30,2190,21.25,42.5,37,91
Regular,4808,12:54,13:50,2190,21.25,42.5,38,95
Regular,4808,13:24,14:20,2190,21.25,42.5,39,101
Regular,2190,13:40,14:39,4808,20.865,41.7299995,40,104
Regular,2190,14:28,15:30,4808,20.865,41.7299995,41,114
Regular,2190,14:38,15:40,4808,20.865,41.7299995,42,116
Regular,13215,14:42,14:59,3127,10.033,20.066,43,286
Regular,4808,14:46,15:43,2190,21.25,42.5,44,117
Regular,HED_D,15:00,15:27,PC_5,9.931,19.8619995,45,428
Regular,6480,15:25,15:44,13421,11.116,22.2320004,46,208
Regular,PC_10,15:27,16:03,HED_E,11.168,22.3409996,47,298
Regular,4808,15:37,16:36,2190,21.25,42.5,48,127
Regular,4808,15:47,16:46,2190,21.25,42.5,49,129
Regular,2190,15:48,16:51,4808,20.865,41.7299995,50,130
Regular,HED_D,16:05,16:37,PC_10,10.664,21.3279991,51,306
Regular,HED_D,16:08,16:37,PC_5,9.931,19.8619995,52,440
Regular,PC_5,16:37,17:08,HED_E,10.088,20.1809998,53,445
Regular,2190,16:49,17:50,4808,20.865,41.7299995,54,142
Regular,6480,16:55,17:14,13421,11.116,22.2320004,55,211
Regular,4808,16:58,17:55,2190,21.25,42.5,56,143
Regular,2190,17:00,18:00,4808,20.865,41.7299995,57,144
Regular,HED_D,17:10,17:37,PC_5,9.931,19.8619995,58,450
Regular,4808,17:57,18:51,2190,21.25,42.5,59,155
Regular,2190,18:02,18:59,4808,20.865,41.7299995,60,156
Regular,4808,18:07,19:01,2190,21.25,42.5,61,157
Regular,2190,19:34,20:30,4808,20.865,41.7299995,62,170
Regular,4808,20:42,21:34,2190,21.25,42.5,63,179
