Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,6480,5:09,5:27,PC_5,8.062,16.1240005,2,361
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,3,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,4,572
Regular,PC_5,5:27,5:56,HED_E,10.088,20.1809998,5,362
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,6,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,7,883
Regular,HED_D,6:13,6:37,PC_5,9.931,19.8619995,8,366
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,9,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,10,775
Regular,PC_7,6:37,6:54,JON_B,5.137,10.2790003,11,777
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,12,778
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,13,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,14,372
Regular,JON_A,7:05,7:17,PC_7,5.133,10.2659998,15,780
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,16,375
Regular,PC_7,7:17,7:34,JON_B,5.137,10.2790003,17,781
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,18,243
Regular,13329,7:40,8:01,6480,11.706,23.4120007,19,216
Regular,13311,7:41,7:47,PC_7,1.938,3.87599993,20,785
Regular,JON_A,7:45,7:57,PC_7,5.133,10.2659998,21,786
Regular,PC_7,7:50,8:14,GMV_G,9.319,18.6380005,22,588
Regular,3127,7:53,8:07,13215,9.735,19.4699993,23,247
Regular,PC_3,7:57,8:13,13329,4.783,9.5710001,24,696
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,25,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,26,899
Regular,13329,8:15,8:27,PC_3,4.645,9.28999996,27,697
Regular,PC_5,8:17,8:49,HED_E,10.088,20.1809998,28,384
Regular,GMV_H,8:20,8:47,PC_7,9.153,18.3059998,29,591
Regular,PC_6,8:27,8:54,ÖS_J,8.581,17.1669998,30,501
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,31,902
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,32,255
Regular,PC_7,8:50,9:14,GMV_G,9.319,18.6380005,33,595
Regular,HED_D,8:52,9:17,PC_5,9.931,19.8619995,34,388
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,35,700
Regular,ÖS_H,9:05,9:27,PC_6,8.205,16.4099998,36,504
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,37,701
Regular,PC_7,9:17,9:34,JON_B,5.137,10.2790003,38,795
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,39,907
Regular,GMV_H,9:22,9:47,PC_7,9.153,18.3059998,40,599
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,41,702
Regular,PC_7,9:30,9:54,GMV_G,9.319,18.6380005,42,600
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,43,908
Regular,13329,9:45,9:57,PC_3,4.645,9.28999996,44,703
Regular,JON_A,9:45,9:57,PC_7,5.133,10.2659998,45,798
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,46,259
Regular,PC_7,9:50,10:14,GMV_G,9.319,18.6380005,47,602
Regular,PC_5,9:57,10:28,HED_E,10.088,20.1809998,48,395
Regular,PC_6,9:57,10:23,ÖS_J,8.581,17.1669998,49,508
Regular,GMV_H,10:02,10:27,PC_7,9.153,18.3059998,50,603
Regular,GMV_H,10:22,10:47,PC_7,9.153,18.3059998,51,605
Regular,HED_D,10:33,10:57,PC_5,9.931,19.8619995,52,398
Regular,ÖS_H,10:35,10:57,PC_6,8.205,16.4099998,53,512
Regular,PC_5,10:37,11:08,HED_E,10.088,20.1809998,54,399
Regular,PC_10,10:47,11:23,HED_E,11.168,22.3409996,55,263
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,56,264
Regular,PC_3,10:57,11:13,13329,4.783,9.5710001,57,710
Regular,PC_7,10:57,11:14,JON_B,5.137,10.2790003,58,805
Regular,HED_D,11:12,11:37,PC_5,9.931,19.8619995,59,402
Regular,13329,11:15,11:27,PC_3,4.645,9.28999996,60,711
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,61,915
Regular,JON_A,11:25,11:37,PC_7,5.133,10.2659998,62,808
Regular,PC_6,11:27,11:53,ÖS_J,8.581,17.1669998,63,516
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,64,916
Regular,PC_5,11:37,12:08,HED_E,10.088,20.1809998,65,405
Regular,PC_7,11:37,11:54,JON_B,5.137,10.2790003,66,809
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,67,267
Regular,HED_D,11:48,12:17,PC_10,10.664,21.3279991,68,268
Regular,JON_A,12:04,12:17,PC_9,6.171,12.342,69,918
