Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,6480,5:09,5:27,PC_5,8.062,16.1240005,1,361
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,2,572
Regular,PC_5,5:27,5:56,HED_E,10.088,20.1809998,3,362
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,4,489
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,5,490
Regular,HED_D,5:37,6:07,PC_10,10.664,21.3279991,6,226
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,7,883
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,8,773
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,9,492
Regular,PC_10,6:07,6:41,HED_E,11.168,22.3409996,10,229
Regular,HED_D,6:13,6:37,PC_5,9.931,19.8619995,11,366
Regular,4808,6:16,7:10,2190,21.25,42.5,12,15
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,13,367
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,14,887
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,15,888
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,16,232
Regular,PC_7,6:37,6:54,JON_B,5.137,10.2790003,17,777
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,18,233
Regular,PC_5,6:47,7:19,HED_E,10.088,20.1809998,19,370
Regular,PC_7,6:50,7:14,GMV_G,9.319,18.6380005,20,581
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,21,371
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,22,890
Regular,HED_D,6:57,7:27,PC_10,10.664,21.3279991,23,234
Regular,JON_A,7:05,7:17,PC_7,5.133,10.2659998,24,780
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,25,373
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,26,891
Regular,13329,7:10,7:31,6480,11.706,23.4120007,27,215
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,28,375
Regular,PC_7,7:17,7:34,JON_B,5.137,10.2790003,29,781
Regular,2190,7:20,8:19,4808,20.865,41.7299995,30,28
Regular,GMV_H,7:20,7:47,PC_7,9.153,18.3059998,31,585
Regular,3127,7:22,7:36,13215,9.735,19.4699993,32,240
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,33,783
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,34,377
Regular,PC_7,7:30,7:54,GMV_G,9.319,18.6380005,35,586
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,36,784
