Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,6480,5:09,5:27,PC_5,8.062,16.1240005,2,361
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,3,224
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,4,572
Regular,1310,5:26,5:42,PC_10,5.387,10.7740002,5,225
Regular,PC_5,5:27,5:56,HED_E,10.088,20.1809998,6,362
Regular,JON_A,5:29,5:42,PC_9,6.171,12.342,7,881
Regular,4808,5:36,6:27,2190,21.25,42.5,8,8
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,9,227
Regular,PC_9,5:42,5:57,JON_B,6.191,12.3870001,10,882
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,11,574
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,12,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,13,883
Regular,JON_A,6:05,6:17,PC_7,5.133,10.2659998,14,774
Regular,HED_D,6:13,6:37,PC_5,9.931,19.8619995,15,366
Regular,4808,6:16,7:10,2190,21.25,42.5,16,15
Regular,HED_D,6:17,6:47,PC_10,10.664,21.3279991,17,230
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,18,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,19,775
Regular,GMV_H,6:23,6:47,PC_7,9.153,18.3059998,20,577
Regular,13421,6:25,6:43,6480,10.809,21.618,21,203
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,22,232
Regular,PC_7,6:37,6:54,JON_B,5.137,10.2790003,23,777
Regular,2190,6:38,7:35,4808,20.865,41.7299995,24,20
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,25,778
Regular,PC_9,6:47,7:02,JON_B,6.191,12.3870001,26,889
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,27,371
Regular,13421,6:55,7:13,6480,10.809,21.618,28,204
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,29,372
Regular,JON_A,7:05,7:17,PC_7,5.133,10.2659998,30,780
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,31,891
Regular,HED_D,7:10,7:37,PC_5,9.931,19.8619995,32,374
Regular,JON_A,7:13,7:27,PC_9,6.171,12.342,33,892
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,34,375
Regular,PC_7,7:17,7:34,JON_B,5.137,10.2790003,35,781
Regular,2190,7:20,8:19,4808,20.865,41.7299995,36,28
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,37,783
Regular,PC_5,7:27,8:01,HED_E,10.088,20.1809998,38,376
Regular,JON_A,7:33,7:47,PC_9,6.171,12.342,39,894
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,40,243
Regular,PC_5,7:37,8:11,HED_E,10.088,20.1809998,41,378
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,42,784
Regular,13329,7:40,8:01,6480,11.706,23.4120007,43,216
Regular,4808,7:42,8:42,2190,21.25,42.5,44,33
Regular,JON_A,7:45,7:57,PC_7,5.133,10.2659998,45,786
Regular,PC_5,7:47,8:20,HED_E,10.088,20.1809998,46,379
Regular,3127,7:53,8:07,13215,9.735,19.4699993,47,247
Regular,PC_3,7:57,8:13,13329,4.783,9.5710001,48,696
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,49,788
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,50,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,51,899
Regular,HED_D,8:12,8:37,PC_5,9.931,19.8619995,52,383
Regular,3127,8:13,8:27,13215,9.735,19.4699993,53,252
Regular,13329,8:15,8:27,PC_3,4.645,9.28999996,54,697
Regular,PC_5,8:17,8:49,HED_E,10.088,20.1809998,55,384
Regular,PC_7,8:17,8:34,JON_B,5.137,10.2790003,56,789
Regular,4808,8:26,9:24,2190,21.25,42.5,57,41
Regular,PC_5,8:27,8:59,HED_E,10.088,20.1809998,58,385
Regular,PC_6,8:27,8:54,ÖS_J,8.581,17.1669998,59,501
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,60,902
Regular,PC_5,8:37,9:08,HED_E,10.088,20.1809998,61,387
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,62,255
Regular,HED_D,8:52,9:17,PC_5,9.931,19.8619995,63,388
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,64,700
Regular,2190,8:59,9:57,4808,20.865,41.7299995,65,48
Regular,ÖS_H,9:05,9:27,PC_6,8.205,16.4099998,66,504
Regular,HED_D,9:12,9:37,PC_5,9.931,19.8619995,67,390
Regular,13329,9:15,9:27,PC_3,4.645,9.28999996,68,701
Regular,PC_7,9:17,9:34,JON_B,5.137,10.2790003,69,795
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,70,907
Regular,PC_3,9:27,9:43,13329,4.783,9.5710001,71,702
