scale,candidate_rank,duties_json,duty_set_sha256,candidate_seed,selected_family,selected_role,trip_count,peak_concurrency_lb,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
2,1,"[""13312"",""13314""]",a430c7c1d36c389d8a4df1dc51d17fb3408f0763a3a872d5b987e26f048fdf61,2026090302,probability,fixed_seed_probability_1,62,2,996.59599212,498.29799606,46,0.483870968,2.0,1192
2,2,"[""13306"",""13318""]",d4b564edc0d5d0059d8d1e8dffb50ae26c3c2fe9d67639a6ba3e57571eada6a4,2026090302,probability,fixed_seed_probability_2,63,2,1006.91899044,503.45949522,33,0.047619048,2.0,1208
2,3,"[""13407"",""13412""]",4746dd68ac9d9924bfb58bf1af615406befbdf9aadb1ded224dabc19c43e2ff0,2026090302,probability,fixed_seed_probability_3,32,2,1346.9099915,673.45499575,17,0.0625,10.5,1179
2,4,"[""13303"",""13401""]",2b67cfb46533ee63d87f70f493e15756c1dd5eabf738cca2f78f030ec3bda841,2026090302,probability,fixed_seed_probability_4,66,2,1233.0989927,616.54949635,54,0.636363636,2.5,1216
2,5,"[""13322"",""13409""]",4d0639cef6c6c6bec4f2cb4e01d2d07f1e7e4ed5c176d980b25c1da7015962a3,2026090302,probability,fixed_seed_probability_5,43,2,1107.8929938,553.9464969,26,0.209302326,7.0,1170
2,6,"[""13315"",""13404""]",5c9ecf810e2f31db48f0c57f8cfbff536597ca244a22e5081bb3bce063fd63e5,2026090302,probability,fixed_seed_probability_6,48,2,1142.40999566,571.20499783,31,0.291666667,4.5,1156
2,7,"[""13303"",""13320""]",c79b90cadbad9c72106e161ee7a83041f2828e4c20aab45fa7e206bfae7ffe57,2026090302,,,70,2,993.6299923,496.81499615,54,0.542857143,2.0,1198
2,8,"[""13311"",""13319""]",6210b3038752dd608ef81b4ada429c07fe7dc2ef38a9cf440ba2e2715d0ac6a3,2026090302,,,41,2,726.59999245,363.299996225,27,0.317073171,3.0,1217
2,9,"[""13301"",""13409""]",7b777a35e7ff8289c40c76760fbe40a74f894522f7f8ae6c8cc06e4f484c9420,2026090302,,,53,2,1314.27499386,657.13749693,36,0.358490566,7.0,1241
2,10,"[""13305"",""13307""]",94aa9ab5b6eff9db30a905c58921f12b72ab0d3410ef156cc30da55dea096d88,2026090302,,,45,2,689.09599406,344.54799703,30,0.333333333,2.0,772
