Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,1,769
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,2,360
Regular,2190,5:07,5:59,4808,20.865,41.7299995,3,4
Regular,6480,5:09,5:27,PC_5,8.062,16.1240005,4,361
Regular,JON_A,5:15,5:27,PC_7,5.133,10.2659998,5,770
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,6,685
Regular,4808,5:25,6:16,2190,21.25,42.5,7,6
Regular,PC_5,5:27,5:56,HED_E,10.088,20.1809998,8,362
Regular,PC_3,5:27,5:43,13329,4.783,9.5710001,9,686
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,10,771
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,11,363
Regular,PC_7,5:45,6:06,GMV_G,9.319,18.6380005,12,574
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,13,772
Regular,13329,5:47,5:57,PC_3,4.645,9.28999996,14,687
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,15,365
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,16,491
Regular,PC_3,5:57,6:13,13329,4.783,9.5710001,17,688
Regular,GMV_H,6:03,6:27,PC_7,9.153,18.3059998,18,575
Regular,4808,6:06,6:59,2190,21.25,42.5,19,13
Regular,HED_D,6:13,6:37,PC_5,9.931,19.8619995,20,366
Regular,JON_A,6:13,6:27,PC_9,6.171,12.342,21,886
Regular,13329,6:15,6:27,PC_3,4.645,9.28999996,22,689
Regular,2190,6:18,7:14,4808,20.865,41.7299995,23,16
Regular,GMV_H,6:23,6:47,PC_7,9.153,18.3059998,24,577
Regular,PC_6,6:27,6:53,ÖS_J,8.581,17.1669998,25,493
Regular,PC_3,6:27,6:43,13329,4.783,9.5710001,26,690
Regular,PC_7,6:30,6:54,GMV_G,9.319,18.6380005,27,579
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,28,368
Regular,4808,6:34,7:31,2190,21.25,42.5,29,19
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,30,494
Regular,PC_7,6:37,6:54,JON_B,5.137,10.2790003,31,777
Regular,13329,6:40,7:00,6480,11.706,23.4120007,32,214
Regular,13329,6:45,6:57,PC_3,4.645,9.28999996,33,691
Regular,2190,6:48,7:45,4808,20.865,41.7299995,34,22
