cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,candidate_rank,candidate_seed,relative_path,instance_file_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,direct_compatibility_density,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
k11_p1,11,1,probability,1,fixed_seed_probability_1,1,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p01_20260904.csv,bc39ae8e93660cf2e00a68604e80fefc0212591b22610af7f2e18fe5c5b7a246,"[""13303"",""13304"",""13309"",""13310"",""13314"",""13317"",""13318"",""13401"",""13402"",""13404"",""13409""]",6ec6c4a5f70efae42aba4a4a6510f90d1049c72a2cea7489463c0ae66c8f8020,11,True,ed4af2db3e8922ef29637fe425e5006c1f25a1b8190fec84bf3a6b77578fc124,286,11,0.05312231628,6117.27896062,556.116269147,54,0.468766249,4.0,1275
k11_p2,11,2,probability,2,fixed_seed_probability_2,2,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p02_20260904.csv,4af0a0bf1b708f36b8799bf94011314e2dee26036cf3aae97d1a20da43f6b47e,"[""13302"",""13309"",""13312"",""13315"",""13325"",""13326"",""13401"",""13404"",""13406"",""13410"",""13411""]",c9817f5268db9f6f6ed1576c9973757f6763110f37a09df7851197ead4796a99,11,True,41c442a7b19705798445621137ddcdcabf067772d5290b5924aed909776459cb,284,11,0.051236749117,6353.83195401,577.621086728,50,0.520126562,4.0,1286
k11_p3,11,3,probability,3,fixed_seed_probability_3,3,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p03_20260904.csv,58b2290e6250b18adaaf980ae7e3a7713b25fe3bb4e953039985b894b573148f,"[""13301"",""13302"",""13303"",""13307"",""13313"",""13314"",""13315"",""13316m"",""13319"",""13323"",""13412""]",196f4cb052ce1d0835f49fa0418a812c1c38ccc7b473970fc9bcfb972abed9af,11,True,605e210e9e39c5826849fe7ade52d1a3c90e289dedad7e4b49f59a36f48c187f,312,11,0.072141149312,5332.62195873,484.78381443,54,0.500923703,3.0,1260
k11_p4,11,4,probability,4,fixed_seed_probability_4,4,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p04_20260904.csv,f56239321b28141f3428696657b0adc42f226e840479cfd68a5b1e6430c57498,"[""13303"",""13309"",""13312"",""13313"",""13319"",""13324t"",""13402"",""13405"",""13408"",""13412"",""13414""]",9c7788b42124c148716d29e4da31b35b681d189993f9d0d7d839ba3415ed55d8,11,True,0aae0c813cafb676fb68ba8cb9a89349cf7fb21dfe08b6cf321872cc788f86f4,272,11,0.052800086824,6134.3449495,557.667722682,54,0.566725288,5.0,1274
k11_p5,11,5,probability,5,fixed_seed_probability_5,5,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p05_20260904.csv,d23abffe60340e7b3fdf533bffddeca520a8666bbda832f8875d4d09a099313d,"[""13307"",""13315"",""13316uwt"",""13317"",""13320"",""13321"",""13324t"",""13325"",""13401"",""13405"",""13407""]",3d53d803b11c01726f4d9eefd51f067fd24d4f9a15c4ebdd6ff55f1763c2f66a,11,True,8812108531202f32094308762d1d0acbb3566cba203f04427e355de695e380d3,244,10,0.059771975983,5041.24696599,458.295178726,42,0.432760493,3.0,1275
k11_p6,11,6,probability,6,fixed_seed_probability_6,6,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_p06_20260904.csv,5a10452650820075dd7f57237fc367049a4d4cd5bace8d16a69638c6f9d6d483,"[""13303"",""13306"",""13309"",""13313"",""13321"",""13325"",""13402"",""13405"",""13406"",""13413"",""13414""]",9f0510ae64e8b5952ab6cc1a31675daf2dd6d5a8f04ad81e4a3997921d9efee3,11,True,76671429db925b8eb887426fd771108d873cb89007121e4407f1897cf66d62d1,278,11,0.050307768226,6310.68395154,573.698541049,54,0.521967112,4.0,1272
k11_xgap,11,7,structural,4,tight_gap,47,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_xgap_20260904.csv,4bf0eb24a65300a29328c93f4a03a4acc516e8b063bb4b64bfceb7303a8d7f27,"[""13301"",""13302"",""13303"",""13304"",""13305"",""13307"",""13310"",""13313"",""13315"",""13405"",""13413""]",5a74cf328094decf53564e49483e63e5e90ab89ae96d2570abfd2f61cdf27223,11,True,1765b3eed1b292fabb182c5c96ea8e359560377a52e92dc5fb2f1b8467daae94,342,11,0.068168956115,6004.90395158,545.900359235,54,0.419689965,2.0,1260
k11_xlight,11,8,structural,1,trip_light,231,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_xlight_20260904.csv,00dafb620a9b12cf46714d0117e321b0982db257c3f4af259fc5a25a81da3a94,"[""13306"",""13307"",""13309"",""13311"",""13314"",""13320"",""13401"",""13403"",""13408"",""13412"",""13414""]",7f78255dbdbaa5e92db6dc40ce8779de9a7aea62994fc39ce547d851718ad878,11,True,36f6b2c6ab068ac0e703a81104870718d0d37f1def574b4328253c15b1e992ed,177,11,0.060670261941,4616.40696636,419.673360578,30,0.323960931,7.0,1226
k11_xenergy,11,9,structural,3,energy_heavy,235,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_xenergy_20260904.csv,5d839bcb5af688ddfa3a65110a1111ea04278d0d4ed82e85cf8f0d6cddaf3fc9,"[""13302"",""13303"",""13313"",""13316m"",""13321"",""13325"",""13404"",""13407"",""13408"",""13409"",""13411""]",871b6e8e6032d2156df3b3ae7a44bf2b179112520a0c648c650fca124813e6fc,11,True,679e16d464a3e47faffb1b1f1bda4a9393f6cdf49131a218909c26acbfe1d3eb,304,11,0.050351745701,6804.84994608,618.622722371,54,0.528265304,4.0,1260
k11_xtrip,11,10,structural,2,trip_heavy,465,2026090411,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k11_xtrip_20260904.csv,e3c209761525c4ace276bf0962a211a389e9da184631d9fd8fd40756394eb817,"[""13301"",""13302"",""13303"",""13304"",""13306"",""13312"",""13313"",""13403"",""13407"",""13408"",""13414""]",082758db99372be8de655a6b1114a16a403f34f32df0ea66b6cd22ef97e871f2,11,True,c7732f61d45f5ae079695f2f980b5cd2758706970875684f1543d2083a4aaef4,344,11,0.057156417384,6768.07894454,615.279904049,54,0.478018716,3.0,1260
k12_p1,12,1,probability,1,fixed_seed_probability_1,1,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p01_20260904.csv,b07246e47badcdf2a295659adde10de764fe82d1efb807ac57947d58b6345508,"[""13304"",""13311"",""13315"",""13316uwt"",""13318"",""13321"",""13324t"",""13326"",""13403"",""13406"",""13408"",""13414""]",83c908386224ce6f7226f26dcd9c542b81725853cdc61d3b71603ac702e635d1,12,True,77695705f5bfbef97f0aa3778e35f3fcde36c7a22107a0fec1681cc9595c12c7,248,11,0.05550476688,5354.39896586,446.199913822,37,0.404031453,4.5,1255
k12_p2,12,2,probability,2,fixed_seed_probability_2,2,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p02_20260904.csv,87ec521e8882c3c1663ad1ed2e004f6c7765cbb254197b5480e42f3c933f99a8,"[""13306"",""13310"",""13311"",""13315"",""13316m"",""13317"",""13318"",""13321"",""13410"",""13411"",""13413"",""13414""]",fac651c00a41e8aaf980b51eacc640cce0a947fa6dbdf5205e5a30acc360d5fd,12,True,a8bf74ad56931c307c619efffccb9cfa421c20e5f0b02c16927fa0a70964e42e,270,12,0.055844692276,5822.12296084,485.176913403,37,0.36717137,4.0,1238
k12_p3,12,3,probability,3,fixed_seed_probability_3,3,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p03_20260904.csv,3d22ba5016f73e0b611e0469750408c1930793f6eb9f366e8dc3d4861ddb1607,"[""13306"",""13307"",""13314"",""13315"",""13319"",""13323"",""13326"",""13401"",""13402"",""13405"",""13406"",""13409""]",28e1d850c134bc0acdbd6313b406b2956b9ae3a35f38fe42dd638757f4d6da85,12,True,692a4b2d40c36275bf7672b165c41e94d8530f8ed9790ffa995397dc5b484814,221,12,0.051748251748,5469.0449688,455.7537474,31,0.381676287,7.0,1277
k12_p4,12,4,probability,4,fixed_seed_probability_4,4,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p04_20260904.csv,8ff0d39888a98c03a587928df83ac96e25892bd80079d1be89c1be83c2339a63,"[""13304"",""13306"",""13308"",""13313"",""13319"",""13324t"",""13401"",""13404"",""13405"",""13408"",""13410"",""13411""]",c358a543bd129ee1e45d7b9b1b0558f7f001bcc2b0257efc58912174ba9607aa,12,True,e8fbd91d299b917f8b582425d10dadf7f0fb1212a4a9aa08b9891308f7504f66,262,12,0.046210991197,6433.58294974,536.131912478,37,0.433638853,6.0,1286
k12_p5,12,5,probability,5,fixed_seed_probability_5,5,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p05_20260904.csv,2ff49b7bc821b0dd42777b8efedfa2768b4ab442e6d8dfe5c1983220919dde93,"[""13302"",""13308"",""13309"",""13311"",""13312"",""13314"",""13320"",""13326"",""13402"",""13407"",""13412"",""13413""]",6dc1427a90a76d91b67b3f21c3adf4352f617102ce622dbeebfac247142723e6,12,True,5d1807f4d6051558a0a8bbeadd21ab7204f07ceec45343a4e6b9fa3c697cba12,280,12,0.053584229391,6261.66395141,521.805329284,50,0.510801691,5.5,1275
k12_p6,12,6,probability,6,fixed_seed_probability_6,6,2026090412,data/scale_ladder/instances/threshold_11_15_20260904/Practice_Custom_DutyUnion_k12_p06_20260904.csv,8468780a402c0a1c7a84406f26017962f9852f7ef8b95442f051337407e53097,"[""13303"",""13314"",""13320"",""13321"",""13322"",""13324muw"",""13325"",""13402"",""13406"",""13407"",""13413"",""13414""]",799474db922eb571f13466e242f12f41174ab1617131a3c7f1e656ba0a10dfd8,12,True,43dab3fe97f052ed79da1cb76220aa75f011670b211739012239f64bf772cebb,268,11,0.051036950081,6206.71595952,517.22632996,54,0.54819008,5.5,1272
