Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,4808,4:30,5:21,2190,21.25,42.5,0,1
Regular,4808,5:10,6:01,2190,21.25,42.5,1,5
Regular,2190,5:26,6:19,4808,20.865,41.7299995,2,7
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,3,489
Regular,4808,5:36,6:27,2190,21.25,42.5,4,8
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,5,492
Regular,2190,6:08,7:03,4808,20.865,41.7299995,6,14
Regular,4808,6:26,7:20,2190,21.25,42.5,7,17
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,8,887
Regular,2190,6:28,7:24,4808,20.865,41.7299995,9,18
Regular,4808,6:34,7:31,2190,21.25,42.5,10,19
Regular,2190,6:38,7:35,4808,20.865,41.7299995,11,20
Regular,PC_5,6:47,7:19,HED_E,10.088,20.1809998,12,370
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,13,890
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,14,373
Regular,4808,7:11,8:11,2190,21.25,42.5,15,27
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,16,239
Regular,3127,7:22,7:36,13215,9.735,19.4699993,17,240
Regular,4808,7:31,8:31,2190,21.25,42.5,18,31
Regular,2190,7:39,8:39,4808,20.865,41.7299995,19,32
Regular,PC_9,7:40,7:45,13722,2.59,5.17999983,20,895
Regular,13311,7:41,7:47,PC_7,1.938,3.87599993,21,785
Regular,4808,7:42,8:42,2190,21.25,42.5,22,33
Regular,13722,7:47,7:52,PC_9,2.518,5.03599977,23,896
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,24,380
Regular,PC_7,7:50,8:14,GMV_G,9.319,18.6380005,25,588
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,26,250
Regular,PC_5,7:57,8:30,HED_E,10.088,20.1809998,27,381
Regular,2190,8:09,9:09,4808,20.865,41.7299995,28,38
Regular,GMV_H,8:20,8:47,PC_7,9.153,18.3059998,29,591
Regular,13421,8:25,8:43,6480,10.809,21.618,30,207
Regular,2190,8:30,9:29,4808,20.865,41.7299995,31,42
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,32,593
Regular,HED_D,8:32,8:57,PC_5,9.931,19.8619995,33,386
Regular,4808,8:46,9:42,2190,21.25,42.5,34,45
Regular,2190,8:50,9:49,4808,20.865,41.7299995,35,46
Regular,PC_7,8:50,9:14,GMV_G,9.319,18.6380005,36,595
Regular,2190,8:59,9:57,4808,20.865,41.7299995,37,48
Regular,GMV_H,9:02,9:27,PC_7,9.153,18.3059998,38,597
Regular,PC_7,9:10,9:34,GMV_G,9.319,18.6380005,39,598
Regular,4808,9:16,10:11,2190,21.25,42.5,40,51
Regular,GMV_H,9:22,9:47,PC_7,9.153,18.3059998,41,599
Regular,PC_6,9:27,9:53,ÖS_J,8.581,17.1669998,42,506
Regular,4808,9:36,10:31,2190,21.25,42.5,43,55
Regular,GMV_H,9:42,10:07,PC_7,9.153,18.3059998,44,601
Regular,2190,9:50,10:47,4808,20.865,41.7299995,45,58
Regular,PC_7,9:50,10:14,GMV_G,9.319,18.6380005,46,602
Regular,4808,9:54,10:49,2190,21.25,42.5,47,59
Regular,4808,10:04,10:59,2190,21.25,42.5,48,61
Regular,ÖS_H,10:05,10:27,PC_6,8.205,16.4099998,49,510
Regular,PC_7,10:10,10:34,GMV_G,9.319,18.6380005,50,604
Regular,2190,10:20,11:17,4808,20.865,41.7299995,51,64
Regular,GMV_H,10:22,10:47,PC_7,9.153,18.3059998,52,605
Regular,PC_3,10:27,10:43,13329,4.783,9.5710001,53,707
Regular,GMV_H,10:42,11:07,PC_7,9.153,18.3059998,54,607
Regular,13329,10:45,10:57,PC_3,4.645,9.28999996,55,709
Regular,PC_10,10:47,11:23,HED_E,11.168,22.3409996,56,263
Regular,4808,10:54,11:49,2190,21.25,42.5,57,71
Regular,PC_6,10:57,11:23,ÖS_J,8.581,17.1669998,58,514
Regular,2190,10:59,11:57,4808,20.865,41.7299995,59,72
Regular,2190,11:09,12:07,4808,20.865,41.7299995,60,74
Regular,4808,11:24,12:19,2190,21.25,42.5,61,77
Regular,ÖS_H,11:35,11:57,PC_6,8.205,16.4099998,62,518
Regular,HED_D,11:48,12:17,PC_10,10.664,21.3279991,63,268
Regular,PC_5,11:57,12:28,HED_E,10.088,20.1809998,64,408
Regular,2190,11:59,12:57,4808,20.865,41.7299995,65,84
Regular,4808,12:04,12:59,2190,21.25,42.5,66,85
Regular,2190,12:09,13:07,4808,20.865,41.7299995,67,86
Regular,4808,12:14,13:09,2190,21.25,42.5,68,87
Regular,PC_9,12:17,12:32,JON_B,6.191,12.3870001,69,919
Regular,2190,12:29,13:27,4808,20.865,41.7299995,70,90
Regular,HED_D,12:32,12:57,PC_5,9.931,19.8619995,71,412
Regular,JON_A,12:34,12:47,PC_9,6.171,12.342,72,920
Regular,PC_9,12:47,13:02,JON_B,6.191,12.3870001,73,921
Regular,4808,13:04,14:00,2190,21.25,42.5,74,97
Regular,JON_A,13:05,13:17,PC_7,5.133,10.2659998,75,818
Regular,2190,13:11,14:09,4808,20.865,41.7299995,76,98
Regular,4808,13:14,14:10,2190,21.25,42.5,77,99
Regular,PC_7,13:17,13:34,JON_B,5.137,10.2790003,78,819
Regular,4808,13:34,14:30,2190,21.25,42.5,79,103
Regular,JON_A,13:45,13:57,PC_7,5.133,10.2659998,80,822
Regular,PC_5,13:57,14:28,HED_E,10.088,20.1809998,81,421
