Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,JON_A,4:45,4:57,PC_7,5.133,10.2659998,1,769
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,2,570
Regular,PC_5,4:57,5:26,HED_E,10.088,20.1809998,3,360
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,4,224
Regular,JON_A,5:15,5:27,PC_7,5.133,10.2659998,5,770
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,6,685
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,7,572
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,8,489
Regular,PC_3,5:27,5:43,13329,4.783,9.5710001,9,686
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,10,771
Regular,JON_A,5:29,5:42,PC_9,6.171,12.342,11,881
Regular,HED_D,5:34,5:57,PC_5,9.931,19.8619995,12,363
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,13,490
Regular,HED_D,5:37,6:07,PC_10,10.664,21.3279991,14,226
Regular,PC_10,5:42,6:15,HED_E,11.168,22.3409996,15,227
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,16,772
Regular,13329,5:47,5:57,PC_3,4.645,9.28999996,17,687
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,18,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,19,883
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,20,365
Regular,PC_6,5:57,6:23,ÖS_J,8.581,17.1669998,21,491
Regular,PC_3,5:57,6:13,13329,4.783,9.5710001,22,688
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,23,773
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,24,492
Regular,PC_10,6:07,6:41,HED_E,11.168,22.3409996,25,229
Regular,PC_7,6:10,6:31,GMV_G,9.319,18.6380005,26,576
Regular,13329,6:15,6:27,PC_3,4.645,9.28999996,27,689
Regular,HED_D,6:17,6:47,PC_10,10.664,21.3279991,28,230
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,29,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,30,775
Regular,PC_6,6:27,6:53,ÖS_J,8.581,17.1669998,31,493
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,32,887
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,33,368
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,34,888
Regular,ÖS_H,6:34,6:57,PC_6,8.205,16.4099998,35,494
Regular,GMV_H,6:43,7:07,PC_7,9.153,18.3059998,36,580
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,37,778
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,38,233
Regular,PC_9,6:47,7:02,JON_B,6.191,12.3870001,39,889
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,40,371
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,41,890
Regular,HED_D,6:57,7:27,PC_10,10.664,21.3279991,42,234
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,43,372
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,44,495
Regular,PC_7,6:57,7:14,JON_B,5.137,10.2790003,45,779
Regular,ÖS_H,7:04,7:27,PC_6,8.205,16.4099998,46,496
Regular,PC_10,7:07,7:44,HED_E,11.168,22.3409996,47,236
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,48,373
Regular,JON_A,7:13,7:27,PC_9,6.171,12.342,49,892
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,50,375
Regular,13421,7:25,7:44,6480,10.809,21.618,51,205
Regular,PC_5,7:27,8:01,HED_E,10.088,20.1809998,52,376
Regular,PC_3,7:27,7:43,13329,4.783,9.5710001,53,694
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,54,377
Regular,PC_7,7:30,7:54,GMV_G,9.319,18.6380005,55,586
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,56,498
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,57,243
Regular,13329,7:45,7:57,PC_3,4.645,9.28999996,58,695
Regular,3127,7:46,8:00,13215,9.735,19.4699993,59,245
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,60,380
Regular,3127,7:53,8:07,13215,9.735,19.4699993,61,247
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,62,248
Regular,PC_6,7:57,8:24,ÖS_J,8.581,17.1669998,63,499
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,64,787
Regular,GMV_H,8:00,8:27,PC_7,9.153,18.3059998,65,589
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,66,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,67,899
Regular,13329,8:10,8:30,6480,11.706,23.4120007,68,217
Regular,HED_D,8:12,8:37,PC_5,9.931,19.8619995,69,383
Regular,13421,8:25,8:43,6480,10.809,21.618,70,207
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,71,790
Regular,PC_9,8:27,8:42,JON_B,6.191,12.3870001,72,901
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,73,902
Regular,ÖS_H,8:34,8:57,PC_6,8.205,16.4099998,74,502
Regular,PC_5,8:37,9:08,HED_E,10.088,20.1809998,75,387
