Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,PC_7,4:45,5:06,GMV_G,9.319,18.6380005,0,569
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,1,570
Regular,JON_A,4:59,5:12,PC_9,6.171,12.342,2,880
Regular,2190,5:07,5:59,4808,20.865,41.7299995,3,4
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,4,224
Regular,PC_7,5:15,5:36,GMV_G,9.319,18.6380005,5,571
Regular,GMV_H,5:18,5:42,PC_7,9.153,18.3059998,6,572
Regular,1310,5:26,5:42,PC_10,5.387,10.7740002,7,225
Regular,ÖS_H,5:34,5:57,PC_6,8.205,16.4099998,8,490
Regular,4808,5:36,6:27,2190,21.25,42.5,9,8
Regular,PC_9,5:42,5:57,JON_B,6.191,12.3870001,10,882
Regular,GMV_H,5:43,6:07,PC_7,9.153,18.3059998,11,573
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,12,364
Regular,JON_A,5:54,6:07,PC_9,6.171,12.342,13,883
Regular,PC_7,5:57,6:14,JON_B,5.137,10.2790003,14,773
Regular,JON_A,6:05,6:17,PC_7,5.133,10.2659998,15,774
Regular,4808,6:06,6:59,2190,21.25,42.5,16,13
Regular,PC_9,6:07,6:22,JON_B,6.191,12.3870001,17,884
Regular,PC_7,6:10,6:31,GMV_G,9.319,18.6380005,18,576
Regular,PC_5,6:17,6:49,HED_E,10.088,20.1809998,19,367
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,20,775
Regular,13421,6:25,6:43,6480,10.809,21.618,21,203
Regular,JON_A,6:25,6:37,PC_7,5.133,10.2659998,22,776
Regular,2190,6:28,7:24,4808,20.865,41.7299995,23,18
Regular,JON_A,6:33,6:47,PC_9,6.171,12.342,24,888
Regular,HED_D,6:37,7:07,PC_10,10.664,21.3279991,25,232
Regular,PC_5,6:37,7:09,HED_E,10.088,20.1809998,26,369
Regular,2190,6:38,7:35,4808,20.865,41.7299995,27,20
Regular,GMV_H,6:43,7:07,PC_7,9.153,18.3059998,28,580
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,29,778
Regular,PC_10,6:47,7:23,HED_E,11.168,22.3409996,30,233
Regular,HED_D,6:53,7:17,PC_5,9.931,19.8619995,31,371
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,32,372
Regular,PC_10,7:07,7:44,HED_E,11.168,22.3409996,33,236
Regular,PC_9,7:07,7:22,JON_B,6.191,12.3870001,34,891
Regular,2190,7:09,8:08,4808,20.865,41.7299995,35,26
Regular,HED_D,7:10,7:37,PC_5,9.931,19.8619995,36,374
Regular,HED_D,7:17,7:47,PC_10,10.664,21.3279991,37,237
Regular,PC_10,7:17,7:54,HED_E,11.168,22.3409996,38,239
Regular,PC_5,7:17,7:50,HED_E,10.088,20.1809998,39,375
Regular,JON_A,7:25,7:37,PC_7,5.133,10.2659998,40,783
Regular,HED_D,7:30,7:57,PC_5,9.931,19.8619995,41,377
Regular,4808,7:31,8:31,2190,21.25,42.5,42,31
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,43,243
Regular,PC_5,7:37,8:11,HED_E,10.088,20.1809998,44,378
Regular,PC_7,7:37,7:54,JON_B,5.137,10.2790003,45,784
Regular,13329,7:40,8:01,6480,11.706,23.4120007,46,216
Regular,4808,7:42,8:42,2190,21.25,42.5,47,33
Regular,3127,7:46,8:00,13215,9.735,19.4699993,48,245
Regular,3127,7:53,8:07,13215,9.735,19.4699993,49,247
Regular,13421,7:55,8:14,6480,10.809,21.618,50,206
Regular,HED_D,7:57,8:27,PC_10,10.664,21.3279991,51,250
Regular,PC_7,7:57,8:14,JON_B,5.137,10.2790003,52,787
Regular,JON_A,8:05,8:17,PC_7,5.133,10.2659998,53,788
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,54,251
Regular,PC_9,8:07,8:22,JON_B,6.191,12.3870001,55,899
Regular,13329,8:10,8:30,6480,11.706,23.4120007,56,217
Regular,3127,8:13,8:27,13215,9.735,19.4699993,57,252
Regular,4808,8:15,9:14,2190,21.25,42.5,58,39
Regular,PC_5,8:17,8:49,HED_E,10.088,20.1809998,59,384
Regular,PC_7,8:17,8:34,JON_B,5.137,10.2790003,60,789
Regular,JON_A,8:25,8:37,PC_7,5.133,10.2659998,61,790
Regular,PC_5,8:27,8:59,HED_E,10.088,20.1809998,62,385
Regular,PC_7,8:30,8:54,GMV_G,9.319,18.6380005,63,593
Regular,JON_A,8:33,8:47,PC_9,6.171,12.342,64,902
Regular,PC_7,8:37,8:54,JON_B,5.137,10.2790003,65,791
Regular,13329,8:40,8:59,6480,11.706,23.4120007,66,218
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,67,255
Regular,PC_9,8:47,9:02,JON_B,6.191,12.3870001,68,904
Regular,2190,8:50,9:49,4808,20.865,41.7299995,69,46
Regular,HED_D,8:52,9:17,PC_5,9.931,19.8619995,70,388
Regular,PC_3,8:57,9:13,13329,4.783,9.5710001,71,700
Regular,2190,8:59,9:57,4808,20.865,41.7299995,72,48
